Name,user_ratings_total,category,rating,Latitude,Longitude,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence
Sugar Bean,476,cafe,4.7,29.2610286,-94.8704183,200,50,200,"11 Evia Main, Galveston",POINT (-94.8704183 29.2610286),Curious,High,No,High
MAC-IES,73,restaurant,5,29.2989118,-94.7913851,1500,1050,1500,"1110 23rd Street, Galveston",POINT (-94.7913851 29.2989118),Curious,High,No,Low
Good Dough,68,bakery,4.6,29.2906119,-94.808531,70,35,70,"1508 39th Street, Galveston",POINT (-94.808531 29.2906119),Curious,High,No,Med
Porch Cafe,332,restaurant,4.1,29.3195806,-94.7501916,300,,100,"1625 East Beach Drive #2A, Galveston",POINT (-94.7501916 29.3195806),Curious,High,No,Low
Coastal Grill,814,restaurant,4.6,29.308158,-94.789455,500,100,500,"1827 The Strand, Galveston",POINT (-94.789455 29.308158),Skeptical,High,No,Med
Texas A&M University at Galveston,121,university,4.6,29.3154967,-94.8182868,?,,?,"200 Seawolf Parkway, Galveston",POINT (-94.8182868 29.3154967),Curious,High,No,High
Rudy & Paco Restaurant and Bar,892,bar,4.7,29.3053363,-94.791081,100,75,100,"2028 Postoffice St, Galveston",POINT (-94.791081 29.3053363),Hesitant,High,No,High
Vargas Cut and Catch (listed above),297,bar,4.8,29.3052268,-94.7913854,35,49,35,"2102 Postoffice Street, Galveston",POINT (-94.7913854 29.3052268),Curious,High,No,High
MarMo Cafe & Lounge,19,bar,4.8,29.3056002,-94.792103,140,35,140,"2121 Market Street suite 101, Galveston",POINT (-94.792103 29.3056002),High,High,No,Med
Toujouse (listed under Tremont House),6,cafe,5,29.3062632,-94.7948312,0,0,625,"2300 Ship Mechanic Row Street, Galveston",POINT (-94.7948312 29.3062632),Curious,High,No,High
The Pink Foyer Sweets Boutique,1,bakery,5,29.3060402,-94.7945911,0,0,112.5,"2315 Mechanic Street, Galveston",POINT (-94.7945911 29.3060402),Curious,High,No,Low
Riondo's Ristorante,758,restaurant,4.5,29.3070258,-94.795454,70,70,70,"2328 The Strand, Galveston",POINT (-94.795454 29.3070258),Fan,High,No,Med
Sugar & Rye,128,restaurant,4.8,29.3031184,-94.7944536,35,70,35,"2401 Church Street, Galveston",POINT (-94.7944536 29.3031184),Curious,High,No,Low
