0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
0.0,716.5,483.9,604.8,589.5,627.1,975.8,4589.0,4432.3,101.7,324.0,377.4,136.5,335.1,428.1,576.6,531.6,514.4,563.7,924.6,626.5,683.0,658.6,1685.9,2793.1,4048.7,4539.0,361.7,1400.2,436.9,10171.0,7573.0,307.8,846.1,7395.5,549.9,642.9,2966.3,1124.1,565.3,1093.0,1832.6,1535.2,889.9,626.6,399.8,392.9,305.7,508.4,1621.4,226.1,4487.4
490.2,0.0,168.8,490.8,475.5,653.3,487.4,4099.4,3942.7,591.9,437.2,626.9,459.2,277.4,452.1,498.7,553.5,505.4,587.7,609.5,650.5,707.0,682.6,795.7,2303.2,3561.4,4440.0,216.4,1549.6,53.2,9681.4,7083.3,331.9,357.7,6906.3,574.0,666.9,2561.4,809.1,592.0,1118.1,875.7,1046.0,432.4,652.7,423.8,276.7,419.0,532.4,1573.0,263.5,4000.1
483.5,168.8,0.0,381.0,365.7,543.5,549.9,4268.2,3956.8,585.2,441.4,631.1,414.4,270.7,445.5,388.9,484.2,395.6,480.6,499.7,542.8,599.3,574.9,812.7,2320.4,3578.6,4457.2,385.3,1542.9,147.9,9850.2,6844.9,408.1,176.7,6923.6,466.8,559.2,2816.1,699.3,482.2,1008.3,892.7,753.0,601.3,542.9,352.8,270.0,423.1,425.2,1698.7,256.9,4017.4
604.4,490.8,381.0,0.0,15.3,163.2,372.2,3982.6,3825.0,770.3,550.2,740.0,572.2,391.6,565.3,185.3,434.2,154.3,197.9,119.4,162.6,219.1,194.7,680.6,2186.7,3446.9,4325.5,705.9,1864.9,469.9,9836.9,7238.8,360.6,417.3,7062.8,211.7,178.9,2616.1,319.2,240.8,767.0,760.5,713.6,919.3,162.6,305.6,415.8,532.0,253.3,2059.9,578.9,3885.7
589.1,475.5,365.7,15.3,0.0,178.5,387.4,3997.8,3951.8,755.0,535.0,724.7,557.0,376.4,550.0,132.3,419.0,139.0,213.2,134.7,177.8,234.3,209.9,807.8,2201.9,3573.6,4452.2,690.6,1849.6,454.7,9852.1,7254.1,345.3,402.0,7078.1,227.0,194.2,2631.4,334.5,225.6,751.7,887.8,698.3,904.1,177.9,290.3,400.5,516.7,268.5,2044.7,563.6,4012.4
627.0,653.5,543.7,163.4,178.7,0.0,443.0,4053.4,3895.3,701.8,508.8,674.9,530.9,453.1,495.8,155.1,365.7,148.6,63.7,44.0,28.3,84.8,60.4,751.4,2257.5,3517.2,4533.1,868.4,2027.6,632.7,9673.7,7075.6,319.2,579.7,6899.6,77.4,44.7,2686.9,185.7,270.0,698.5,831.4,698.5,1084.8,0.7,263.9,374.4,490.6,119.0,2226.6,741.6,3956.0
974.5,486.6,550.0,372.3,387.6,442.9,0.0,3610.4,3452.3,1076.2,932.6,1122.4,905.6,761.8,936.5,465.0,808.6,525.3,477.6,399.1,442.3,498.8,474.4,308.4,1814.5,3074.2,3952.8,673.7,2033.9,539.9,9192.4,6594.3,733.2,385.1,6419.2,491.4,458.6,2243.9,598.7,611.8,1138.0,388.4,255.5,641.8,442.3,677.8,761.0,914.4,533.0,1783.6,747.9,3513.0
4589.7,4099.6,4161.9,3984.2,3999.4,4156.4,3611.8,0.0,549.6,4691.4,4596.6,4655.3,4558.8,4377.0,4476.2,4366.2,4346.2,4304.0,4089.5,4011.0,4184.7,4241.2,4216.8,3337.3,2554.0,1314.5,766.4,4286.7,5547.1,4152.9,5583.5,2985.4,4558.3,3997.0,2851.1,4103.3,4201.0,1632.4,3981.5,4250.4,4678.9,3224.8,3411.9,3899.5,4157.0,4383.9,4376.3,4614.9,4297.9,4594.1,4475.0,259.3
4427.3,3939.0,4001.5,3823.8,3839.1,3996.2,3451.5,507.9,0.0,4529.0,4436.5,4495.2,4563.8,4216.4,4316.1,3916.5,4186.0,4143.8,3929.1,3850.6,4024.5,4081.0,4056.6,3178.1,2394.8,1197.5,1041.5,4126.1,5384.9,3992.2,5931.0,3333.0,4184.7,3836.6,3198.6,3942.9,4040.9,1518.8,3818.6,4090.3,4518.8,3064.3,3251.5,3737.3,3996.9,4223.7,4215.7,4454.7,4137.8,4431.9,4312.6,248.5
101.7,818.2,585.6,706.4,691.2,663.8,1077.5,4690.7,4534.0,0.0,224.3,275.7,173.2,436.8,328.6,613.3,429.9,551.1,600.4,678.9,663.2,719.7,695.3,1787.6,2894.8,4150.3,4640.7,463.3,1501.9,538.6,10199.7,7601.6,344.5,947.8,7425.6,586.6,679.6,3068.0,820.6,562.8,991.3,1934.3,1636.9,991.6,663.3,436.5,315.4,206.0,545.1,1722.7,327.8,4589.1
