Original_Index,Unnamed: 0,Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id,Bike Aggregation Point,Cumulative_Distance,Truck_Load
0,0,Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,,,0,0
111,140,Aquarium Pyramid,-94.85420043,29.27236148,2,1,56,restaurant,3.5,,,750,"1 Hope Blvd Galveston, TX 77554",POINT (-94.8542004275391 29.2723614780696),Skeptical,Med,Yes,High,indoor,Truck,,,800,1
42,57,Schlitterbahn Waterpark Galveston,-94.8517369,29.2703671,8,6,4957,amusement_park,4.3,,,5500,"2109 Gene Lucas Blvd, Galveston",POINT (-94.8517369 29.2703671),Skeptical,Med,No,Med,indoor,Truck,,,2100,7
95,124,Galveston Primetime,-94.8542107,29.2530127,2,2,1321,movie_theater,4.2,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,indoor,Truck,,,4900,9
93,122,Dolphin World Inc No 2,-94.85317,29.25173,1,1,5,restaurant,2,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,indoor,Truck,,,12000,10
98,127,Jimmy's Curbside Restaurant and Grocery,-94.8531793,29.2506985,2,1,8,restaurant,4.5,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,indoor,Truck,,,18900,11
97,126,SEA BEAN Coffee Cafe,-94.8532271,29.2506218,2,1,7,cafe,4.5,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,indoor,Truck,,,0,12
122,159,Seahorse Grill,-94.86803806,29.24448719,1,1,237,restaurant,4.5,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,Truck,,,20600,13
133,170,Seawall Coffee Company,-94.86782336,29.24463873,2,1,47,restaurant,4.5,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,indoor,Truck,,,20618,14
24,33,Cooper's Landing,-94.8780445,29.2407199,1,1,219,restaurant,4.3,700,280,700,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low,indoor,Truck,,,21718,15
113,143,Mario's Pizza,-94.9373606,29.2082758,1,1,219,restaurant,3.5,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,indoor,Truck,,,29118,16
106,135,Hummel's General Store & Deli,-94.9374899,29.20822,2,1,22,convenience store,4.5,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,indoor,Truck,,,29150,17
102,131,Galveston Food Truck Park,-95.0404814,29.1415146,1,1,6,food,5,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,indoor,Truck,,,41650,18
44,60,The West End Marina and Restaurants,-95.0470457,29.1449947,1,1,803,bar,4.1,300,150,300,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med,indoor,Truck,,,42550,19
118,151,The Sandbar Grille,-95.0470522,29.1449775,1,1,292,bar,4,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,indoor,Truck,,,42550,20
