,Name,Address,Coordinates
0,Cajun Greek,"2226 61st St Galveston, TX 77551","{'latitude': 29.2769392, 'longitude': -94.8316408}"
1,Shrimp N Stuff,"3901 Ave O Galveston, TX 77550","{'latitude': 29.28874, 'longitude': -94.80844}"
2,Gypsy Joynt,"6105 Stewart Rd Galveston, TX 77551","{'latitude': 29.274172387748465, 'longitude': -94.83164758225018}"
3,Seahorse Grill,"3802 Cove View Blvd Ste C Galveston, TX 77554","{'latitude': 29.24448719077595, 'longitude': -94.86803805979805}"
4,Bronco Burritos,"4917 Broadway St Galveston, TX 77551","{'latitude': 29.291765642905766, 'longitude': -94.82237832016597}"
5,Jimmy's on the Pier,"9001 Seawall Blvd Galveston, TX 77554","{'latitude': 29.25064, 'longitude': -94.85324}"
6,Viet Cajun,"8910 Seawall Blvd Ste E Galveston, TX 77554","{'latitude': 29.25173, 'longitude': -94.85317}"
7,Sugar Bean Coffee and Cream,"11 Evia Main Ste 101 Galveston, TX 77554","{'latitude': 29.2613716, 'longitude': -94.870235}"
8,Soul 2 Soul Cafe,"5300 Broadway Ave J Galveston, TX 77551","{'latitude': 29.290994381217008, 'longitude': -94.82633813800247}"
9,Yamato Japanese Restaurant,"2104 61st St Galveston, TX 77551","{'latitude': 29.2779048, 'longitude': -94.8321044}"
10,Number 13,"7809 Broadway St Galveston, TX 77554","{'latitude': 29.28501, 'longitude': -94.85752}"
11,Rita's Italian Ice,"6026 Seawall Blvd Ste E Galveston, TX 77551","{'latitude': 29.26708, 'longitude': -94.82605}"
12,Salsas Mexican Restaurant,"4604 Seawall Blvd Galveston, TX 77551","{'latitude': 29.27548, 'longitude': -94.811806}"
13,Papa's Pizza,"4400 Seawall Blvd Galveston, TX 77550","{'latitude': 29.2765, 'longitude': -94.80952}"
14,Pho Tai,"3728 Broadway Galveston, TX 77550","{'latitude': 29.29598, 'longitude': -94.80908}"
15,Sapori Ristorante,"7611 Stewart Rd Galveston, TX 77551","{'latitude': 29.25922, 'longitude': -94.84119}"
16,Yanni’s Gyros And Kebabs,"8027 Harborside Dr Galveston, TX 77554","{'latitude': 29.28896, 'longitude': -94.8627}"
17,Grotto Ristorante,"5222 Seawall Blvd Galveston, TX 77551","{'latitude': 29.272606, 'longitude': -94.818427}"
18,Moody Gardens,"1 Hope Blvd Galveston, TX 77554","{'latitude': 29.275347609953, 'longitude': -94.851790279908}"
19,Leon's World's Finest BBQ,"5427 Broadway St Galveston, TX 77551","{'latitude': 29.29022044472176, 'longitude': -94.8283999}"
20,Mario's Pizza,"13708 Termini-san Luis Pass Rd Galveston, TX 77554","{'latitude': 29.2082758, 'longitude': -94.9373606}"
21,Magic Carpet Golf,"9030 Seawall Blvd Galveston, TX 77554","{'latitude': 29.2510547637939, 'longitude': -94.8545074462891}"
22,Landry's Prime Seafood & Steaks,"5310 Seawall Blvd Galveston, TX 77551","{'latitude': 29.270735202849, 'longitude': -94.8202316880881}"
23,Seawall Coffee Company,"3802 Cove View Blvd Galveston, TX 77554","{'latitude': 29.244638725096042, 'longitude': -94.8678233612548}"
24,Darlene's Shrimp Shack,"1727 61st St Galveston, TX 77551","{'latitude': 29.281213760376, 'longitude': -94.8343124389648}"
25,Teaside Tapioca,"4702 Seawall Blvd Galveston, TX 77551","{'latitude': 29.2741856735096, 'longitude': -94.8132018030099}"
26,Nate's West End,"17515 Termini-San Luis Pass Rd Galveston, TX 77554","{'latitude': 29.175256729126, 'longitude': -94.9850769042969}"
27,Cafe Canela Restaurant,"6105 Stewart Rd ste C Galveston, TX 77551","{'latitude': 29.2743245, 'longitude': -94.8309314}"
