,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,photos,price,hours,transactions,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,location.cross_streets,coordinates.latitude,coordinates.longitude,messaging.url,messaging.use_case_text,special_hours,error.code,error.description,open,hour_type,is_open_now,full_address
0,YAASmrPYP5Hp31kqadx__w,cajun-greek-galveston,Cajun Greek,https://s3-media3.fl.yelpcdn.com/bphoto/LKcJcifFU4V8-WLfd7CXDw/o.jpg,True,False,https://www.yelp.com/biz/cajun-greek-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14097447041,(409) 744-7041,999.0,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'greek', 'title': 'Greek'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/LKcJcifFU4V8-WLfd7CXDw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/OS8KBOES4iI8gkDX8xrqWQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/f2vT4Oh3TBMjjW6eiZJhOg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",delivery,2226 61st St,,,Galveston,77551,US,TX,"['2226 61st St', 'Galveston, TX 77551']",,29.2769392,-94.8316408,,,,,,"[{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]",REGULAR,True,"2226 61st St Galveston, TX 77551"
1,CyhcrbaQ4Wjbud9rd9HJnQ,shrimp-n-stuff-galveston-4,Shrimp N Stuff,https://s3-media4.fl.yelpcdn.com/bphoto/oFhJ9EwNl4tgl0Dr_Zdh5A/o.jpg,True,False,https://www.yelp.com/biz/shrimp-n-stuff-galveston-4?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14097632805,(409) 763-2805,1441.0,"[{'alias': 'seafood', 'title': 'Seafood'}]",4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/oFhJ9EwNl4tgl0Dr_Zdh5A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/QLRHN4JBlHUhCJKreVgjTg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/jXEKYpdOQdNjvI5HPmVy8A/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",pickup,3901 Ave O,,,Galveston,77550,US,TX,"['3901 Ave O', 'Galveston, TX 77550']",,29.28874,-94.80844,,,,,,"[{'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 6}]",REGULAR,True,"3901 Ave O Galveston, TX 77550"
2,doSYFMDc3somcL4YKQb2FA,gypsy-joynt-galveston-2,Gypsy Joynt,https://s3-media1.fl.yelpcdn.com/bphoto/0fZzqvcL76Tnm25xu9Kyvg/o.jpg,True,False,https://www.yelp.com/biz/gypsy-joynt-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14094972069,(409) 497-2069,622.0,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/0fZzqvcL76Tnm25xu9Kyvg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/SP46rp7RqBN_TXTpifrIFw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/JWlUlQsL5RRIPBq3uk_9hg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",delivery,6105 Stewart Rd,,,Galveston,77551,US,TX,"['6105 Stewart Rd', 'Galveston, TX 77551']",,29.274172387748465,-94.83164758225018,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]",REGULAR,True,"6105 Stewart Rd Galveston, TX 77551"
3,C4dQLeweVAez_gVuk9A60g,seahorse-grill-galveston-2,Seahorse Grill,https://s3-media2.fl.yelpcdn.com/bphoto/ZWXpfTDtQFt8-fhp5bzN1g/o.jpg,True,False,https://www.yelp.com/biz/seahorse-grill-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14097418400,(409) 741-8400,237.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/ZWXpfTDtQFt8-fhp5bzN1g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/gcSVzl5sCpXsvlmnkPpqTw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/SodiF-kZvetqTROymk4Jcw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",pickup,3802 Cove View Blvd,Ste C,,Galveston,77554,US,TX,"['3802 Cove View Blvd', 'Ste C', 'Galveston, TX 77554']",,29.24448719077595,-94.86803805979805,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}]",REGULAR,True,"3802 Cove View Blvd Ste C Galveston, TX 77554"
4,oxKepiR0j31RPOL9KcNwdQ,bronco-burritos-galveston,Bronco Burritos,https://s3-media2.fl.yelpcdn.com/bphoto/ouEDxPGwIBwiLjGt2n25JA/o.jpg,True,False,https://www.yelp.com/biz/bronco-burritos-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14097629344,(409) 762-9344,289.0,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'latin', 'title': 'Latin American'}]",4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/ouEDxPGwIBwiLjGt2n25JA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/5wNFo_8y2V9wHW0uJOjmgQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/4JJjxu6OtDKin1-NTYwhcg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",delivery,4917 Broadway St,,,Galveston,77551,US,TX,"['4917 Broadway St', 'Galveston, TX 77551']",,29.291765642905766,-94.82237832016597,,,,,,"[{'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 5}]",REGULAR,False,"4917 Broadway St Galveston, TX 77551"
5,R_chB0qZRoTz4hs-pl-ppw,jimmys-on-the-pier-galveston,Jimmy's on the Pier,https://s3-media2.fl.yelpcdn.com/bphoto/Bun6pJDRWeC-QK130pU_0w/o.jpg,True,False,https://www.yelp.com/biz/jimmys-on-the-pier-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14099744726,(409) 974-4726,951.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'burgers', 'title': 'Burgers'}]",3.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/Bun6pJDRWeC-QK130pU_0w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/GVhQYX7dgMZa1P__2C-oKQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/eRiU3vK83Mb2S_2NXh0zaQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",delivery,9001 Seawall Blvd,,,Galveston,77554,US,TX,"['9001 Seawall Blvd', 'Galveston, TX 77554']",,29.25064,-94.85324,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}]",REGULAR,True,"9001 Seawall Blvd Galveston, TX 77554"
6,ngfKzzzN3IUtVLLwLi1sNQ,viet-cajun-galveston,Viet Cajun,https://s3-media1.fl.yelpcdn.com/bphoto/bYDJL5VlC4ESeJykMDaD2w/o.jpg,True,False,https://www.yelp.com/biz/viet-cajun-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14094972216,(409) 497-2216,224.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'cajun', 'title': 'Cajun/Creole'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/bYDJL5VlC4ESeJykMDaD2w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/vA-Lr_zmkbnr5JcLv6RTMQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/6H9cFt_7714sAvlRx4fsbQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",pickup,8910 Seawall Blvd,Ste E,,Galveston,77554,US,TX,"['8910 Seawall Blvd', 'Ste E', 'Galveston, TX 77554']",,29.25173,-94.85317,https://www.yelp.com/raq/ngfKzzzN3IUtVLLwLi1sNQ?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q#popup%3Araq,Message the Business,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 6}]",REGULAR,False,"8910 Seawall Blvd Ste E Galveston, TX 77554"
7,XpRHPO08QLLXhKEhj2ADTg,sugar-bean-coffee-and-cream-galveston,Sugar Bean Coffee and Cream,https://s3-media1.fl.yelpcdn.com/bphoto/zC7ShFrCbNPrZr2ogO-rng/o.jpg,True,False,https://www.yelp.com/biz/sugar-bean-coffee-and-cream-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14099744473,(409) 974-4473,171.0,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/zC7ShFrCbNPrZr2ogO-rng/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/he4TvEUNBlqSbGKITpaPUw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Wifdg4pg5O8Cgz8c567yww/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",delivery,11 Evia Main,Ste 101,,Galveston,77554,US,TX,"['11 Evia Main', 'Ste 101', 'Galveston, TX 77554']",,29.2613716,-94.870235,,,,,,"[{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 6}]",REGULAR,True,"11 Evia Main Ste 101 Galveston, TX 77554"
8,8zdPEZsyhVHBae7v6llb4g,soul-2-soul-cafe-galveston-2,Soul 2 Soul Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/yaHOrJAy5xHU5ZsnTQTUzw/o.jpg,True,False,https://www.yelp.com/biz/soul-2-soul-cafe-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14095394351,(409) 539-4351,110.0,"[{'alias': 'southern', 'title': 'Southern'}, {'alias': 'soulfood', 'title': 'Soul Food'}]",5.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/yaHOrJAy5xHU5ZsnTQTUzw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RyDtYZbDSvlUhLZVn9JroA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/IMdcU1y1IASUyVqrsUSoPg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",delivery,5300 Broadway Ave J,,,Galveston,77551,US,TX,"['5300 Broadway Ave J', 'Galveston, TX 77551']",,29.290994381217008,-94.82633813800247,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}]",REGULAR,True,"5300 Broadway Ave J Galveston, TX 77551"
9,yETihf0c4nVWWXMhQgd2UA,yamato-japanese-restaurant-galveston,Yamato Japanese Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/g-a6_C5JMh5tmrCZTmKo0Q/o.jpg,True,False,https://www.yelp.com/biz/yamato-japanese-restaurant-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+14097442742,(409) 744-2742,367.0,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/g-a6_C5JMh5tmrCZTmKo0Q/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/a0rUFt48k6YX34_sob4MlQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/0qQlEbYNdWfGgFUCtbgBNw/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",pickup,2104 61st St,,,Galveston,77551,US,TX,"['2104 61st St', 'Galveston, TX 77551']",,29.2779048,-94.8321044,,,,,,"[{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 6}]",REGULAR,False,"2104 61st St Galveston, TX 77551"
