,id,alias,name,image_url,is_claimed,is_closed,url,phone,display_phone,review_count,categories,rating,photos,price,hours,transactions,location.address1,location.address2,location.address3,location.city,location.zip_code,location.country,location.state,location.display_address,location.cross_streets,coordinates.latitude,coordinates.longitude,messaging.url,messaging.use_case_text,special_hours,error.code,error.description,open,hour_type,is_open_now,full_address
0,4kJ8m3FfW2SuiJ1gh44mfg,two-ladies-kitchen-hilo,Two Ladies Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/bhJ9wRvsxfLyfXDDA9qJhw/o.jpg,True,False,https://www.yelp.com/biz/two-ladies-kitchen-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089614766,(808) 961-4766,1098.0,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'desserts', 'title': 'Desserts'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/bhJ9wRvsxfLyfXDDA9qJhw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/kNr2eu5fX6ODm_07L8fycw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/zgFCfyP9OxEk2wS691MypA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,274 Kilauea Ave,,,Hilo,96720,US,HI,"['274 Kilauea Ave', 'Hilo, HI 96720']",,19.7210425,-155.0843,,,,,,"[{'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}]",REGULAR,False,"274 Kilauea Ave Hilo, HI 96720"
1,OCtBAGJ1OJT2NTTvwEw84A,hawaiian-style-cafe-hilo-hilo,Hawaiian Style Cafe Hilo,https://s3-media4.fl.yelpcdn.com/bphoto/lNwVH0CwkoBfbiJ_wHS0_A/o.jpg,True,False,https://www.yelp.com/biz/hawaiian-style-cafe-hilo-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089699265,(808) 969-9265,1804.0,"[{'alias': 'hawaiian', 'title': 'Hawaiian'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/lNwVH0CwkoBfbiJ_wHS0_A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/z-gZfzUJs9PHlODp3HX2fQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/WSrOsZtRUaXm3CrI6F8Pvg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,681 Manono St,Ste 101,,Hilo,96720,US,HI,"['681 Manono St', 'Ste 101', 'Hilo, HI 96720']",,19.7130187547454,-155.069893151522,,,,,,"[{'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 6}]",REGULAR,True,"681 Manono St Ste 101 Hilo, HI 96720"
2,WP2ZjFW41wUK0qeilF--dA,pineapples-island-fresh-cuisine-hilo,Pineapples Island Fresh Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/5T3egRpWlGxhw-FHMf6t1w/o.jpg,True,False,https://www.yelp.com/biz/pineapples-island-fresh-cuisine-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18082385324,(808) 238-5324,1854.0,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/5T3egRpWlGxhw-FHMf6t1w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/pdSeLhE81zNyJmFodNaxbw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/-xkCr8-up2rX_6svXBoyIg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,332 Keawe St,,,Hilo,96720,US,HI,"['332 Keawe St', 'Hilo, HI 96720']",,19.72274,-155.08616,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}]",REGULAR,True,"332 Keawe St Hilo, HI 96720"
3,9qV9988-I90odzitG-G61w,cafe-pesto-hilo-bay-hilo-3,Cafe Pesto Hilo Bay,https://s3-media2.fl.yelpcdn.com/bphoto/cw1f_xtn1vPCO6XxpST65Q/o.jpg,True,False,https://www.yelp.com/biz/cafe-pesto-hilo-bay-hilo-3?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089696640,(808) 969-6640,1440.0,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'seafood', 'title': 'Seafood'}]",4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/cw1f_xtn1vPCO6XxpST65Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/CGYaPRgIPFaYaqeTwPcz4g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/tJDlohtWssAiUmfBOb6Pfg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",pickup,308 Kamehameha Ave,Ste 101,,Hilo,96720,US,HI,"['308 Kamehameha Ave', 'Ste 101', 'Hilo, HI 96720']",,19.723753,-155.085017,,,,,,"[{'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 6}]",REGULAR,True,"308 Kamehameha Ave Ste 101 Hilo, HI 96720"
4,m7P7_44_awlR6XvAg31ctg,pauls-place-hilo,Paul's Place,https://s3-media4.fl.yelpcdn.com/bphoto/mwzdwTpWiemzACXYuGjazw/o.jpg,True,False,https://www.yelp.com/biz/pauls-place-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18082808646,(808) 280-8646,446.0,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"['https://s3-media4.fl.yelpcdn.com/bphoto/mwzdwTpWiemzACXYuGjazw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/V1nejNyNIpOJlvIzk5kFoA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/mbjboU-XR-aVrnB0vge5bg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,132 Punahoa St,,,Hilo,96720,US,HI,"['132 Punahoa St', 'Hilo, HI 96720']",,19.7226009368896,-155.084259033203,,,,,,"[{'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 5}]",REGULAR,False,"132 Punahoa St Hilo, HI 96720"
5,woTmVDFKON5mEizpCCsZoA,kens-house-of-pancakes-hilo,Ken's House Of Pancakes,https://s3-media2.fl.yelpcdn.com/bphoto/-u1o2KdqM2qz3QqvYA8Wuw/o.jpg,True,False,https://www.yelp.com/biz/kens-house-of-pancakes-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089358711,(808) 935-8711,2002.0,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'pancakes', 'title': 'Pancakes'}]",4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/-u1o2KdqM2qz3QqvYA8Wuw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/fW40X5o1tg4kUvAzVT_Jeg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/fApPFIdn2TgzASbmQ10t_g/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,1730 Kamehameha Ave,,,Hilo,96720,US,HI,"['1730 Kamehameha Ave', 'Hilo, HI 96720']",,19.722272,-155.064721,,,,,,"[{'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 6}]",REGULAR,True,"1730 Kamehameha Ave Hilo, HI 96720"
6,112Hk6sKC-IeVuARSdziZg,suisan-fish-market-hilo,Suisan Fish Market,https://s3-media3.fl.yelpcdn.com/bphoto/-LflofJaCnMeKD2hBbnJpg/o.jpg,True,False,https://www.yelp.com/biz/suisan-fish-market-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089359349,(808) 935-9349,648.0,"[{'alias': 'seafoodmarkets', 'title': 'Seafood Markets'}, {'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'poke', 'title': 'Poke'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/-LflofJaCnMeKD2hBbnJpg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lEwrKNr73PRiV-Ta7XHayw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xd623K35sPov0h2HL9a2dQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,93 Lihiwai St,,,Hilo,96720,US,HI,"['93 Lihiwai St', 'Hilo, HI 96720']",,19.7242201,-155.0701728,,,,,,"[{'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 5}]",REGULAR,True,"93 Lihiwai St Hilo, HI 96720"
7,tsUTHQj6ZBriKPQZf10DvQ,jackie-reys-ohana-grill-hilo-hilo,Jackie Rey's Ohana Grill Hilo,https://s3-media4.fl.yelpcdn.com/bphoto/NRTTufRAlj0UomqIAswOoQ/o.jpg,True,False,https://www.yelp.com/biz/jackie-reys-ohana-grill-hilo-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089612572,(808) 961-2572,889.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'hawaiian', 'title': 'Hawaiian'}]",4.5,"['https://s3-media4.fl.yelpcdn.com/bphoto/NRTTufRAlj0UomqIAswOoQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/YDCBJNL2ghyA3zkkbXPYYQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/cL_AzgfZv45F8iuCIRy2_Q/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,64 Keawe St,,,Hilo,96720,US,HI,"['64 Keawe St', 'Hilo, HI 96720']",,19.72598,-155.08826,,,,,,"[{'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 6}]",REGULAR,False,"64 Keawe St Hilo, HI 96720"
8,4J5mcch0dpVQXjQ0un-_cg,moon-and-turtle-hilo-2,Moon & Turtle,https://s3-media1.fl.yelpcdn.com/bphoto/siIk2n04R5mobBDLagCHRg/o.jpg,True,False,https://www.yelp.com/biz/moon-and-turtle-hilo-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18089610599,(808) 961-0599,560.0,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/siIk2n04R5mobBDLagCHRg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/wyOFk-ZX1r_BxJkHhQ3TFg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RQyWxFd5j8JlfmpccCDYtg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",,51 Kalakaua St,,,Hilo,96720,US,HI,"['51 Kalakaua St', 'Hilo, HI 96720']",,19.72525,-155.08712,,,,,,"[{'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 5}]",REGULAR,False,"51 Kalakaua St Hilo, HI 96720"
9,InChSt3S4kV75GGp-h1Nqw,the-booch-bar-hilo,The Booch Bar,https://s3-media3.fl.yelpcdn.com/bphoto/5C5hHAw906hBBVLyxcBOAw/o.jpg,True,False,https://www.yelp.com/biz/the-booch-bar-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,+18084984779,(808) 498-4779,565.0,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/RvPUnzlZrDFWGQzNYCdQDA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/3cLA1Ha5QkbkSgjm2mrrcA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/oyMwS-xj6b-PxwVPtT9Brg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,110 Keawe St,,,Hilo,96720,US,HI,"['110 Keawe St', 'Hilo, HI 96720']",,19.7254665,-155.0878708,https://www.yelp.com/raq/InChSt3S4kV75GGp-h1Nqw?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q#popup%3Araq,Message the Business,,,,"[{'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}]",REGULAR,True,"110 Keawe St Hilo, HI 96720"
