yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours_x,business_hours_text_x,business_hours_y,business_hours_text_y,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,geometry,hours_open
D-wNPKghZDTUUPvzFGs3MQ,1900 Storm Memorial,https://s3-media2.fl.yelpcdn.com/bphoto/zEkxQoKnby1wLc3EJENTvQ/o.jpg,OPERATIONAL,https://www.yelp.com/biz/1900-storm-memorial-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,,2,restaurant,3,"['https://s3-media2.fl.yelpcdn.com/bphoto/zEkxQoKnby1wLc3EJENTvQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/2PH6pzFUX6z0cojWfjZy5w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/8dqW5BTibqNiLyfAURXOmQ/o.jpg']",,,29.27442,-94.81448,,"16710 San Luis Pass Rd Jamaica Beach, TX 77554",,,,,,,,"1900 Storm Memorial16710 San Luis Pass Rd Jamaica Beach, TX 77554","Cajun Greek2226 61st St Galveston, TX 77551",86,POINT (-94.81448 29.27442),
,3 Doors Down Bar,,OPERATIONAL,,,146,bar,4.7,,,,29.3086567,-94.7908946,,"102 20th Street suite a, Galveston",ChIJ138FtmqeP4YRWJN9j6ovhFo,"[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']","[{'close': {'day': 1, 'time': '0200'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 2, 'time': '0200'}, 'open': {'day': 1, 'time': '1600'}}, {'close': {'day': 3, 'time': '0200'}, 'open': {'day': 2, 'time': '1600'}}, {'close': {'day': 4, 'time': '0200'}, 'open': {'day': 3, 'time': '1600'}}, {'close': {'day': 5, 'time': '0200'}, 'open': {'day': 4, 'time': '1600'}}, {'close': {'day': 6, 'time': '0200'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 0, 'time': '0200'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Tuesday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Wednesday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Thursday: 4:00\u202fPM\u2009–\u20092:00\u202fAM', 'Friday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Saturday: 12:00\u202fPM\u2009–\u20092:00\u202fAM', 'Sunday: 12:00\u202fPM\u2009–\u20092:00\u202fAM']",,,"3 Doors Down Bar102 20th Street suite a, Galveston","Tipsy Turtle Seaside Bar & Grill11745 Termini-San Luis Pass Rd Galveston, TX 77554",86,POINT (-94.7908946 29.3086567),
,7 Days Food Store,,OPERATIONAL,,,6,convenience_store,3.3,,,,29.2820312,-94.8005655,,"3428 Seawall Boulevard, Galveston",ChIJodw0L4aeP4YRoSgT-BWZOaA,"[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0600'}}]","['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']","[{'close': {'day': 1, 'time': '0000'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 2, 'time': '0000'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 3, 'time': '0000'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 4, 'time': '0000'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 6, 'time': '0000'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 0, 'time': '0000'}, 'open': {'day': 6, 'time': '0600'}}]","['Monday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Tuesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Wednesday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Thursday: 6:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Saturday: 6:00\u202fAM\u2009–\u200912:00\u202fAM', 'Sunday: 6:00\u202fAM\u2009–\u200912:00\u202fAM']",,,"7 Days Food Store3428 Seawall Boulevard, Galveston","Gmc Food Store1028 Seawall Boulevard, Galveston",87,POINT (-94.8005655 29.2820312),
,A & M Grocery Store,,OPERATIONAL,,,150,grocery_or_supermarket,4.2,,,,29.2927277,-94.8093627,,"1228 39th Street, Galveston",ChIJO0my7HieP4YRyMJnY_lPFkE,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']","[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '0700'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 7:00\u202fAM\u2009–\u20099:00\u202fPM']",,,"A & M Grocery Store1228 39th Street, Galveston","Tipsy Turtle Seaside Bar & Grill11745 Termini-San Luis Pass Rd Galveston, TX 77554",86,POINT (-94.8093627 29.2927277),
,A is for Apple Childcare & Learning Center,,OPERATIONAL,,,14,school,5,,,,29.2984164,-94.8066694,,"721 35th Street, Galveston",ChIJG9v3pM6dP4YRvu-rQmTQhMY,"[{'close': {'day': 1, 'time': '1530'}, 'open': {'day': 1, 'time': '0745'}}, {'close': {'day': 2, 'time': '1530'}, 'open': {'day': 2, 'time': '0745'}}, {'close': {'day': 3, 'time': '1530'}, 'open': {'day': 3, 'time': '0745'}}, {'close': {'day': 4, 'time': '1530'}, 'open': {'day': 4, 'time': '0745'}}]","['Monday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1530'}, 'open': {'day': 1, 'time': '0745'}}, {'close': {'day': 2, 'time': '1530'}, 'open': {'day': 2, 'time': '0745'}}, {'close': {'day': 3, 'time': '1530'}, 'open': {'day': 3, 'time': '0745'}}, {'close': {'day': 4, 'time': '1530'}, 'open': {'day': 4, 'time': '0745'}}]","['Monday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Tuesday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Wednesday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Thursday: 7:45\u202fAM\u2009–\u20093:30\u202fPM', 'Friday: Closed', 'Saturday: Closed', 'Sunday: Closed']",,,"A is for Apple Childcare & Learning Center721 35th Street, Galveston","Cajun Greek2226 61st St Galveston, TX 77551",86,POINT (-94.8066694 29.2984164),
,A&m,,OPERATIONAL,,,,supermarket,,,,,29.2927203,-94.8093725,,"904 41st Street, Galveston",ChIJHzDTowudP4YRpPPYZKb15hQ,,,,,,,"A&m904 41st Street, Galveston","Shrimp N Stuff3901 Ave O Galveston, TX 77550",86,POINT (-94.8093725 29.2927203),
,Aceituno’s,,OPERATIONAL,,,63,restaurant,4.5,,,,29.298305,-94.7969614,,"2709 Broadway Avenue J, Galveston",ChIJ9fs0y52fP4YR_vwxDGKbTMM,"[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '0600'}}]","['Monday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20093:00\u202fPM']","[{'close': {'day': 0, 'time': '1500'}, 'open': {'day': 0, 'time': '0600'}}, {'close': {'day': 1, 'time': '1430'}, 'open': {'day': 1, 'time': '0600'}}, {'close': {'day': 2, 'time': '1430'}, 'open': {'day': 2, 'time': '0600'}}, {'close': {'day': 3, 'time': '1430'}, 'open': {'day': 3, 'time': '0600'}}, {'close': {'day': 4, 'time': '1430'}, 'open': {'day': 4, 'time': '0600'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '0600'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '0600'}}]","['Monday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Tuesday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Wednesday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Thursday: 6:00\u202fAM\u2009–\u20092:30\u202fPM', 'Friday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 6:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: 6:00\u202fAM\u2009–\u20093:00\u202fPM']",,,"Aceituno’s2709 Broadway Avenue J, Galveston","Sugar Bean Coffee and Cream11 Evia Main Ste 101 Galveston, TX 77554",86,POINT (-94.7969614 29.298305),
,Adventist School,,CLOSED_TEMPORARILY,,,,school,,,,,29.2985509,-94.7838299,,"1628 Avenue M 1/2, Galveston",ChIJRzJIukSeP4YRjjShrkq4vuc,,,,,,,"Adventist School1628 Avenue M 1/2, Galveston","Sugar Bean Coffee and Cream11 Evia Main Ste 101 Galveston, TX 77554",86,POINT (-94.7838299 29.2985509),
,AIM College & Career Prep,,OPERATIONAL,,,3,secondary_school,3.7,,,,29.2865142,-94.8234179,,"5200 Avenue North 1/2, Galveston",ChIJPwOl70KeP4YR1NYJBG4BTZQ,,,,,,,"AIM College & Career Prep5200 Avenue North 1/2, Galveston","Lupita2314 45th St Galveston, TX 77550",86,POINT (-94.8234179 29.2865142),
,Alamo Elementary School,,OPERATIONAL,,,2,primary_school,5,,,,29.2864649,-94.8235596,,"5200 Avenue North 1/2, Galveston",ChIJhbRg4sydP4YRbsHKQhuUse0,"[{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']",,,"Alamo Elementary School5200 Avenue North 1/2, Galveston","KFC2227 61st St Galveston, TX 77551",86,POINT (-94.8235596 29.2864649),
