,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,business_hours,business_hours_text
0,Scholes International Airport,ChIJ2zGVL_KcP4YRi-_i6dFG-Ik,"2115 Terminal Drive, Galveston","{'lat': 29.26820749999999, 'lng': -94.8552093}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,36.0,,,,,,,,"[{'open': {'day': 0, 'time': '0000'}}]","['Monday: Open 24 hours', 'Tuesday: Open 24 hours', 'Wednesday: Open 24 hours', 'Thursday: Open 24 hours', 'Friday: Open 24 hours', 'Saturday: Open 24 hours', 'Sunday: Open 24 hours']"
1,Shell Pelican Island Heliport,ChIJBdQCEyOeP4YR_Ry9JwurrT8,Galveston,"{'lat': 29.3227361, 'lng': -94.7868622}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
2,Westwind Helicopters Inc,ChIJKQJ2yP9_QIYR140K_orNtAE,"8426 Farm to Market 2004, Santa Fe","{'lat': 29.32361789999999, 'lng': -95.0603103}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.6,8.0,,,,,,,,,
3,Airport Control Tower,ChIJ_7_ePRWdP4YRPoquvu1aJjc,"8710 Cessna Drive, Galveston","{'lat': 29.263134, 'lng': -94.8562417}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
4,Island Jet Center,ChIJUQ4O_jidP4YRng5QkQ0iBcM,"2115 Terminal Drive, Galveston","{'lat': 29.2681865, 'lng': -94.8553451}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,13.0,,,,,,,,"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20096:00\u202fPM']"
5,Johnnie Volk Field-37TE,ChIJhcv7cgV_P4YRYFGqJgEP2f0,Hitchcock,"{'lat': 29.360259, 'lng': -95.0088859}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,4.7,3.0,,,,,,,,,
6,Galvestonian Heliport,ChIJXWgN8P2fP4YRiIXeL-UbnD4,Galveston,"{'lat': 29.33361109999999, 'lng': -94.73361109999999}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
7,Houston Oil and Minerals Port Bolivar Heliport,ChIJw7aybVR0P4YR4ja6HTqnrow,Port Bolivar,"{'lat': 29.3832897, 'lng': -94.77352909999999}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
8,Old Forker Ultralight Airport,ChIJOV2PLN9_QIYRWXK1TW8a9ho,Santa Fe,"{'lat': 29.3188472, 'lng': -95.0857611}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
9,Houston Oil and Minerals Port Bolivar Number 2 Heliport,ChIJc47b__l0P4YRbRwjq2_LPTg,Port Bolivar,"{'lat': 29.39106719999999, 'lng': -94.7640844}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,,
10,Moody Gardens,ChIJY47Vz1ecP4YR4hJNhlhX9AI,"1 Hope Boulevard, Galveston","{'lat': 29.272762, 'lng': -94.8525073}",OPERATIONAL,"['amusement_park', 'aquarium', 'tourist_attraction', 'zoo', 'park', 'point_of_interest', 'establishment']",,,,,4.4,15573.0,,,,,,,,"[{'close': {'day': 0, 'time': '1600'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']"
