,Name,place_id,Address,Coordinates,business_status,types,category
0,ULULANI village Apartments,ChIJOQ1gC2JLUnkRQoNEVH0Alr8,"10 Ululani St, Hilo","{'lat': 19.7255751, 'lng': -155.0907569}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
1,Riverside Apartments,ChIJY2nliKlMUnkR2dLh_bkmOqM,"333 Ohai St, Hilo","{'lat': 19.7277018, 'lng': -155.0898944}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
2,Hilo Val-Hala Apartments,ChIJb4IPYalMUnkRekS9J-9psHE,"120 Puueo St, Hilo","{'lat': 19.7299063, 'lng': -155.0894607}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
3,City View Apartments,ChIJERvpJDJLUnkRuRJCWO5EuJg,"230 Kapiolani St, Hilo","{'lat': 19.7184097, 'lng': -155.0879586}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
4,Lincoln Courtside,ChIJzU7omfVLUnkRBnZvU4UxYSE,"400 Kinoole St, Hilo","{'lat': 19.7211984, 'lng': -155.0870105}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
5,E Komo Mai Apartments,ChIJaVQAgVpLUnkR6HpL7XUtn9c,"816 Kinoole St # 115, Hilo","{'lat': 19.716106, 'lng': -155.083783}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
6,Central apts,ChIJt6IUFYxLUnkRs330cG9xp-c,"711 Kinoole St, Hilo","{'lat': 19.7180583, 'lng': -155.0840862}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
7,Lehua Apartments,ChIJP8g0wKtMUnkRPWo4BX5mnbk,"349 Lehua St, Hilo","{'lat': 19.7300717, 'lng': -155.0912891}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
8,Del Mar Apartments,ChIJRRZIjFRLUnkR643zPFR622Y,"131 Kukuau St, Hilo","{'lat': 19.7192097, 'lng': -155.0847955}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
9,Puueo Condominiums,ChIJ58HrgKlMUnkRpVR4UD6B3L8,"322 Ohai St, Hilo","{'lat': 19.72822, 'lng': -155.0897047}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
10,Kamana Elderly Apartment,ChIJ9Slpg0ZLUnkRqCjLBq0h3xM,"145 Kamana St # J8, Hilo","{'lat': 19.7091522, 'lng': -155.0803847}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
11,Hale Hoaloha Apartments,ChIJv2hMMUFLUnkRORrzuaumaKQ,"119 W Lanikaula St, Hilo","{'lat': 19.7048654, 'lng': -155.0775897}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
12,Phase÷,ChIJtcEd3_9LUnkRzSAm7yxPo0w,"555 Kupuna Pl, Hilo","{'lat': 19.7057792, 'lng': -155.0944443}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
13,Pikake apts,ChIJk0UYZcdNUnkR5Ehvuh3wGjk,"363 Lehua St, Hilo","{'lat': 19.7300068, 'lng': -155.0916266}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
14,Toiamei,ChIJ0Y4ML1BLUnkRBOXtvmlI2AM,"60 Hema St, Hilo","{'lat': 19.7106788, 'lng': -155.084863}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
15,Haili Elderly Apartments,ChIJ08xcglZLUnkRwOMCSvhp80E,"227 Haili St, Hilo","{'lat': 19.7220714, 'lng': -155.089448}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
16,East Hawaii Property Management,ChIJXSjPtK20U3kRNgMo7G-6HQ8,"726 Waianuenue Ave, Hilo","{'lat': 19.7187807, 'lng': -155.0999498}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
17,Pikake Apartments,ChIJSTPxEcZNUnkR9fJBrEo657E,"222 Wainaku St, Hilo","{'lat': 19.7307387, 'lng': -155.092032}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
18,Hilo Terrace Association,ChIJcV2ojVRLUnkRSUNC-HiYpg0,"485 Waianuenue Ave, Hilo","{'lat': 19.7223152, 'lng': -155.0932107}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
19,MaunaLoa Shores,ChIJ4-_Dr6lMUnkRQkhSEC3jUxE,"Wailuku Building, 2 Kamehameha Ave, Hilo","{'lat': 19.7274783, 'lng': -155.0875226}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
20,Hale Maile,ChIJqZR6AeVLUnkRCDiLBFu3L5w,"963 Kilauea Ave, Hilo","{'lat': 19.7144175, 'lng': -155.077518}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
21,University Palms,ChIJAQBEJUdLUnkRisA9WRV9ttc,"University Palms, 1377 Kapiolani St, Hilo","{'lat': 19.7040156, 'lng': -155.0788342}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
22,Bayshore Towers,ChIJaRDSsK5MUnkRT5j7-aDzko8,"84 Pukihae St # 202, Hilo","{'lat': 19.7316764, 'lng': -155.0885318}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
23,Mohouli Heights Senior Neighborhood,ChIJq5lnqkpLUnkRsO0o5agtoMc,"555 Kupuna Pl, Hilo","{'lat': 19.704076, 'lng': -155.0954943}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
24,Big Island Housing Foundation,ChIJuXhNG1ZLUnkRYqr9Otl7_5k,"688 Kinoole St #102, Hilo","{'lat': 19.7177797, 'lng': -155.084462}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
25,Equity Hawaii Property Management,ChIJf9yGZllLUnkRJjooufa-KSw,Hilo,"{'lat': 19.7241106, 'lng': -155.0868193}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
26,Hawaii Property Management Division,ChIJZcKu36tMUnkRYkRab_qvqBs,Hilo,"{'lat': 19.7296456, 'lng': -155.0900022}",OPERATIONAL,"['local_government_office', 'point_of_interest', 'establishment']",local_government_office
27,Ginoza Realty Inc,ChIJixDF-URLUnkRNvLi1touddQ,"1158 Kinoole St, Hilo","{'lat': 19.7107285, 'lng': -155.0801459}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
28,Polynesia Capri,ChIJkd86OqlMUnkRCYEYl1aafco,"24 Pukihae St, Hilo","{'lat': 19.7301138, 'lng': -155.0883625}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
29,Public Housing Authority,ChIJZcKu36tMUnkRMEBl_iO5Y14,"520 Wailoa St, Hilo","{'lat': 19.7117348, 'lng': -155.0851558}",OPERATIONAL,"['local_government_office', 'point_of_interest', 'establishment']",local_government_office
30,Hale Kawehi Guesthouse,ChIJt1W0SkxLUnkRvrZUvS7bAcQ,"484 Kukuau St, Hilo","{'lat': 19.7120156, 'lng': -155.091406}",OPERATIONAL,"['real_estate_agency', 'travel_agency', 'point_of_interest', 'establishment']",real_estate_agency
31,Scotty Scott,ChIJyQJI8fG1U3kR-g6abHfjG2U,"is Pink House is behind the house pictured, 726 Waianuenue Ave, Hilo","{'lat': 19.7187807, 'lng': -155.0999498}",OPERATIONAL,"['point_of_interest', 'establishment']",point_of_interest
32,Day-Lum Properties,ChIJATXHr6lMUnkR6WTgfsYVk8k,"2 Kamehameha Ave, Hilo","{'lat': 19.727485, 'lng': -155.087508}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']",real_estate_agency
