,Name,place_id,Address,Coordinates,business_status,types,category
0,High Fire Hawaii Gallery & Studio,ChIJ_T9us6lMUnkRlCMwzLC2kgM,"223A Kilauea Avenue, Hilo","{'lat': 19.7217624, 'lng': -155.0848841}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
1,Bryan Booth Fine Furniture Antiques & Restoration,ChIJxe8BcldLUnkRiNArCZcT1rc,"296 Kilauea Avenue, Hilo","{'lat': 19.7209953, 'lng': -155.0843062}",OPERATIONAL,"['furniture_store', 'art_gallery', 'home_goods_store', 'jewelry_store', 'store', 'point_of_interest', 'establishment']",furniture_store
2,Hawaii Arts & Crafts,ChIJZcKu36tMUnkRYDzCccwq9sA,Hilo,"{'lat': 19.7297111, 'lng': -155.0900232}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
3,The Exhibit Gallery Of Art And Events/ Hilo Town Tavern,ChIJmyq9L1ZLUnkRvxM1CLkv5TQ,"168 Keawe Street suite d, Hilo","{'lat': 19.72489089999999, 'lng': -155.087163}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
4,ONE GALLERY,ChIJFxPDp1dLUnkRi5d_DBepDzk,"186 Kamehameha Avenue, Hilo","{'lat': 19.72532709999999, 'lng': -155.0862412}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
5,Banyan Gallery,ChIJleMNUZlMUnkRVXDc7DezkXo,"71 Banyan Drive d, Hilo","{'lat': 19.7282558, 'lng': -155.0666259}",OPERATIONAL,"['art_gallery', 'jewelry_store', 'store', 'general_contractor', 'point_of_interest', 'establishment']",art_gallery
6,Hilo Fine Art Center,ChIJVUmg2ldLUnkRUuKsktYtlMg,"16-643 Kipimana Street #14, Keaau","{'lat': 19.6348278, 'lng': -155.0495821}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
7,Keaau Fine Art Center,ChIJH01rk4BKUnkR3Pym4eBy6SU,"16-643 Kipimana Street #13, Keaau","{'lat': 19.6347931, 'lng': -155.0494718}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
8,Tanglewood Gallery,ChIJu6pDD805UnkRkwxBtOCdPg0,"16-180 Mikahala Place b7, Keaau","{'lat': 19.6362315, 'lng': -155.0532253}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
9,Shewmaker Sculpture,ChIJAQBwEldLUnkRUKsremuDRSE,"194 Kilauea Avenue, Hilo","{'lat': 19.7215621, 'lng': -155.0856272}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
10,East Hawaiʻi Cultural Center,ChIJYf7KIlZLUnkRIVDgf3KEAVU,"141 Kalakaua Street, Hilo","{'lat': 19.724774, 'lng': -155.0882493}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
11,Extreme Exposure Fine Art Gallery,ChIJh5oNM6hMUnkRvc2vPWMzW2g,"224 Kamehameha Avenue #103, Hilo","{'lat': 19.7246244, 'lng': -155.0860191}",OPERATIONAL,"['art_gallery', 'tourist_attraction', 'electronics_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",art_gallery
12,Kamehameha Festival,ChIJgSf_GJlMUnkRBPUV3iJri1k,"Moku Ola (Coconut Island, 77 Keliipio Place, Hilo","{'lat': 19.729624, 'lng': -155.068534}",OPERATIONAL,"['art_gallery', 'bar', 'point_of_interest', 'establishment']",art_gallery
13,TAKAAZE ART GALLERY,ChIJVVVpxENLUnkR6a2zn_N-uLM,"1420 Kilauea Avenue, Hilo","{'lat': 19.7081424, 'lng': -155.0757499}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
14,Live Love,ChIJjfqck59LUnkRjAQXo7UDDEQ,"400 Hualani Street, Hilo","{'lat': 19.7133918, 'lng': -155.0736677}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
15,kristie fujiyama kosmides,ChIJh9uuo2xLUnkRtCBLS-QlfZ8,"166 Kilauea Avenue, Hilo","{'lat': 19.7221043, 'lng': -155.0857083}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
16,Lockey Originals,ChIJ1ZQUlnRLUnkRP0JoGut-98E,"56 Ponahawai Street, Hilo","{'lat': 19.7225375, 'lng': -155.0842908}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
17,Hilo Holi Water,ChIJsW66eQdLUnkR_iHY0pq_y2M,"284 Keawe Street, Hilo","{'lat': 19.7234308, 'lng': -155.0865734}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']",art_gallery
