,name,place_id,address,coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,Name,business_hours,business_hours_text
0,Papa'a Palaoa Bakery,ChIJV30QdVdLUnkRF1oH6Bho5SU,"187 Kilauea Avenue, Hilo","{'lat': 19.7220616, 'lng': -155.085246}",OPERATIONAL,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",,,,1.0,4.7,84.0,,,,,,,,bakery,Papa'a Palaoa Bakery,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0700'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0700'}}]","['Monday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 7:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
1,Low International Food,ChIJzRUOcldLUnkRuVdgapXhlEg,"222 Kilauea Avenue, Hilo","{'lat': 19.7216053, 'lng': -155.0851868}",OPERATIONAL,"['bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,1.0,4.3,116.0,,,,,,,,bakery,Low International Food,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Wednesday: Closed', 'Thursday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20097:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20097:00\u202fPM']"
2,Moonstruck,ChIJB-pawVdLUnkR8krKiIkAgus,"16 Furneaux Lane, Hilo","{'lat': 19.7240477, 'lng': -155.0857916}",OPERATIONAL,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",,,,2.0,4.5,73.0,,,,,,,,bakery,Moonstruck,"[{'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']"
3,Nector Cafe,ChIJj2hxXbdLUnkRftSaRFVgczg,"216 Kamehameha Avenue, Hilo","{'lat': 19.7248671, 'lng': -155.086052}",OPERATIONAL,"['bakery', 'cafe', 'store', 'point_of_interest', 'food', 'establishment']",,,,,4.1,159.0,,,,,,,,bakery,Nector Cafe,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']"
4,Grandma's Cookie Jar,ChIJZcKu36tMUnkR3tp-0kDxS-Y,Hilo,"{'lat': 19.7297152, 'lng': -155.0900154}",OPERATIONAL,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,,,,,,,,,bakery,Grandma's Cookie Jar,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: Closed']"
5,Cafe Pesto Hilo Bay,ChIJ1fgg61dLUnkRfeJrovG6W8M,"308 Kamehameha Avenue #101, Hilo","{'lat': 19.723735, 'lng': -155.0850148}",OPERATIONAL,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.4,1938.0,,,,,,,,restaurant,Cafe Pesto Hilo Bay,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20098:30\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20098:30\u202fPM']"
6,"Sweet Dreams Hawaii Chocolate, Cacao & Coffee Bistro, Closed For Renovations",ChIJ71AfalZLUnkRDmzfP3t3BmA,"180 Kinoole Street #117, Hilo","{'lat': 19.7237906, 'lng': -155.0884072}",OPERATIONAL,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,,,,4.8,34.0,,,,,,,,cafe,"Sweet Dreams Hawaii Chocolate, Cacao & Coffee Bistro, Closed For Renovations","[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1100'}}]","['Monday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
7,Mahiʻai Made,ChIJXTFRp1dLUnkRpnscNAePT2s,"160 Kilauea Avenue, Hilo","{'lat': 19.7221415, 'lng': -155.0857192}",OPERATIONAL,"['cafe', 'store', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.7,152.0,,,,,,,,cafe,Mahiʻai Made,"[{'close': {'day': 2, 'time': '1500'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1500'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1500'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1500'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1500'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20093:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20093:00\u202fPM', 'Sunday: Closed']"
8,Makani’s Magic Pineapple Shack,ChIJXbBlz6lMUnkRJCRYRSuE8VI,"54 Waianuenue Avenue, Hilo","{'lat': 19.72630179999999, 'lng': -155.0876089}",OPERATIONAL,"['cafe', 'store', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.6,840.0,,,,,,,,cafe,Makani’s Magic Pineapple Shack,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1030'}}]","['Monday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:30\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:30\u202fAM\u2009–\u20095:00\u202fPM']"
9,Paul's Place,ChIJKXwphFdLUnkRlMqc9tqEcls,"132 Punahoa Street, Hilo","{'lat': 19.7225955, 'lng': -155.084252}",OPERATIONAL,"['cafe', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,2.0,4.8,293.0,,,,,,,,cafe,Paul's Place,"[{'close': {'day': 3, 'time': '1400'}, 'open': {'day': 3, 'time': '0730'}}, {'close': {'day': 4, 'time': '1400'}, 'open': {'day': 4, 'time': '0730'}}, {'close': {'day': 5, 'time': '1400'}, 'open': {'day': 5, 'time': '0730'}}, {'close': {'day': 6, 'time': '1400'}, 'open': {'day': 6, 'time': '0730'}}]","['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 7:30\u202fAM\u2009–\u20092:00\u202fPM', 'Thursday: 7:30\u202fAM\u2009–\u20092:00\u202fPM', 'Friday: 7:30\u202fAM\u2009–\u20092:00\u202fPM', 'Saturday: 7:30\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']"
