,Unnamed: 0.1,index,Unnamed: 0,yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,geometry,hours_open
0,0,0,0,4kJ8m3FfW2SuiJ1gh44mfg,Two Ladies Kitchen,https://s3-media3.fl.yelpcdn.com/bphoto/bhJ9wRvsxfLyfXDDA9qJhw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/two-ladies-kitchen-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 961-4766,1098.0,restaurant,4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/bhJ9wRvsxfLyfXDDA9qJhw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/kNr2eu5fX6ODm_07L8fycw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/zgFCfyP9OxEk2wS691MypA/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.7210425,-155.0843,REGULAR,"274 Kilauea Ave Hilo, HI 96720",,,,"Two Ladies Kitchen274 Kilauea Ave Hilo, HI 96720","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.0843 19.7210425),
1,1,1,1,OCtBAGJ1OJT2NTTvwEw84A,Hawaiian Style Cafe Hilo,https://s3-media4.fl.yelpcdn.com/bphoto/lNwVH0CwkoBfbiJ_wHS0_A/o.jpg,OPERATIONAL,https://www.yelp.com/biz/hawaiian-style-cafe-hilo-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 969-9265,1804.0,restaurant,4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/lNwVH0CwkoBfbiJ_wHS0_A/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/z-gZfzUJs9PHlODp3HX2fQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/WSrOsZtRUaXm3CrI6F8Pvg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1400', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.7130187547454,-155.069893151522,REGULAR,"681 Manono St Ste 101 Hilo, HI 96720",,,,"Hawaiian Style Cafe Hilo681 Manono St Ste 101 Hilo, HI 96720","Hawaiian Style Cafe Hilo681 Manono Street, Hilo",87,POINT (-155.069893151522 19.7130187547454),
2,2,2,2,WP2ZjFW41wUK0qeilF--dA,Pineapples Island Fresh Cuisine,https://s3-media2.fl.yelpcdn.com/bphoto/5T3egRpWlGxhw-FHMf6t1w/o.jpg,OPERATIONAL,https://www.yelp.com/biz/pineapples-island-fresh-cuisine-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 238-5324,1854.0,restaurant,4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/5T3egRpWlGxhw-FHMf6t1w/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/pdSeLhE81zNyJmFodNaxbw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/-xkCr8-up2rX_6svXBoyIg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.72274,-155.08616,REGULAR,"332 Keawe St Hilo, HI 96720",,,,"Pineapples Island Fresh Cuisine332 Keawe St Hilo, HI 96720","Pineapples Island Fresh Cuisine332 Keawe Street, Hilo",88,POINT (-155.08616 19.72274),
3,3,3,3,9qV9988-I90odzitG-G61w,Cafe Pesto Hilo Bay,https://s3-media2.fl.yelpcdn.com/bphoto/cw1f_xtn1vPCO6XxpST65Q/o.jpg,OPERATIONAL,https://www.yelp.com/biz/cafe-pesto-hilo-bay-hilo-3?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 969-6640,1440.0,restaurant,4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/cw1f_xtn1vPCO6XxpST65Q/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/CGYaPRgIPFaYaqeTwPcz4g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/tJDlohtWssAiUmfBOb6Pfg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.723753,-155.085017,REGULAR,"308 Kamehameha Ave Ste 101 Hilo, HI 96720",,,,"Cafe Pesto Hilo Bay308 Kamehameha Ave Ste 101 Hilo, HI 96720","Cafe 100969 Kilauea Ave Hilo, HI 96720",86,POINT (-155.085017 19.723753),
4,4,4,4,m7P7_44_awlR6XvAg31ctg,Paul's Place,https://s3-media4.fl.yelpcdn.com/bphoto/mwzdwTpWiemzACXYuGjazw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/pauls-place-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 280-8646,446.0,restaurant,4.5,"['https://s3-media4.fl.yelpcdn.com/bphoto/mwzdwTpWiemzACXYuGjazw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/V1nejNyNIpOJlvIzk5kFoA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/mbjboU-XR-aVrnB0vge5bg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0730', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.7226009368896,-155.084259033203,REGULAR,"132 Punahoa St Hilo, HI 96720",,,,"Paul's Place132 Punahoa St Hilo, HI 96720","Makani's Magic Pineapple Shack54 Waianuenue Ave Hilo, HI 96720",86,POINT (-155.084259033203 19.7226009368896),
5,5,5,5,woTmVDFKON5mEizpCCsZoA,Ken's House Of Pancakes,https://s3-media2.fl.yelpcdn.com/bphoto/-u1o2KdqM2qz3QqvYA8Wuw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/kens-house-of-pancakes-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 935-8711,2002.0,restaurant,4.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/-u1o2KdqM2qz3QqvYA8Wuw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/fW40X5o1tg4kUvAzVT_Jeg/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/fApPFIdn2TgzASbmQ10t_g/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '0600', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.722272,-155.064721,REGULAR,"1730 Kamehameha Ave Hilo, HI 96720",,,,"Ken's House Of Pancakes1730 Kamehameha Ave Hilo, HI 96720","Ken's House of Pancakes1730 Kamehameha Avenue, Hilo",87,POINT (-155.064721 19.722272),
6,6,6,6,112Hk6sKC-IeVuARSdziZg,Suisan Fish Market,https://s3-media3.fl.yelpcdn.com/bphoto/-LflofJaCnMeKD2hBbnJpg/o.jpg,OPERATIONAL,https://www.yelp.com/biz/suisan-fish-market-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 935-9349,648.0,restaurant,4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/-LflofJaCnMeKD2hBbnJpg/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/lEwrKNr73PRiV-Ta7XHayw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xd623K35sPov0h2HL9a2dQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1500', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.7242201,-155.0701728,REGULAR,"93 Lihiwai St Hilo, HI 96720",,,,"Suisan Fish Market93 Lihiwai St Hilo, HI 96720","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.0701728 19.7242201),
7,7,7,7,tsUTHQj6ZBriKPQZf10DvQ,Jackie Rey's Ohana Grill Hilo,https://s3-media4.fl.yelpcdn.com/bphoto/NRTTufRAlj0UomqIAswOoQ/o.jpg,OPERATIONAL,https://www.yelp.com/biz/jackie-reys-ohana-grill-hilo-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 961-2572,889.0,restaurant,4.5,"['https://s3-media4.fl.yelpcdn.com/bphoto/NRTTufRAlj0UomqIAswOoQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/YDCBJNL2ghyA3zkkbXPYYQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/cL_AzgfZv45F8iuCIRy2_Q/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 4}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 5}, {'is_overnight': False, 'start': '1600', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.72598,-155.08826,REGULAR,"64 Keawe St Hilo, HI 96720",,,,"Jackie Rey's Ohana Grill Hilo64 Keawe St Hilo, HI 96720","Jackie Rey's Ohana Grill Hilo64 Keawe Street, Hilo",87,POINT (-155.08826 19.72598),
8,8,8,8,4J5mcch0dpVQXjQ0un-_cg,Moon & Turtle,https://s3-media1.fl.yelpcdn.com/bphoto/siIk2n04R5mobBDLagCHRg/o.jpg,OPERATIONAL,https://www.yelp.com/biz/moon-and-turtle-hilo-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 961-0599,560.0,restaurant,4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/siIk2n04R5mobBDLagCHRg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/wyOFk-ZX1r_BxJkHhQ3TFg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RQyWxFd5j8JlfmpccCDYtg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1730', 'end': '2100', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.72525,-155.08712,REGULAR,"51 Kalakaua St Hilo, HI 96720",,,,"Moon & Turtle51 Kalakaua St Hilo, HI 96720","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.08712 19.72525),
9,9,9,9,InChSt3S4kV75GGp-h1Nqw,The Booch Bar,https://s3-media3.fl.yelpcdn.com/bphoto/5C5hHAw906hBBVLyxcBOAw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/the-booch-bar-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 498-4779,565.0,restaurant,4.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/RvPUnzlZrDFWGQzNYCdQDA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/3cLA1Ha5QkbkSgjm2mrrcA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/oyMwS-xj6b-PxwVPtT9Brg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 5}, {'is_overnight': False, 'start': '0800', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.7254665,-155.0878708,,,,,,,Kaumana CemeteryHilo,68,POINT (-155.0878708 19.7254665),
10,10,10,10,Dj7A0zvXye4BozemnrjdBA,Kula Shave Ice,https://s3-media1.fl.yelpcdn.com/bphoto/drAzhipvkuEUJUEC5znewA/o.jpg,OPERATIONAL,https://www.yelp.com/biz/kula-shave-ice-hilo-5?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 464-4821,242.0,restaurant,5.0,"['https://s3-media1.fl.yelpcdn.com/bphoto/drAzhipvkuEUJUEC5znewA/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/mp_8IrJmgzEdVQremAkhIw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/yBrGvW_0xupNZI0MRdpPeg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.72264,-155.08487,,,,,,,Kaumana CemeteryHilo,68,POINT (-155.08487 19.72264),
11,11,11,11,JXZviTF8RNFicsTjFI9uYA,Big Island Top Dogs,https://s3-media1.fl.yelpcdn.com/bphoto/vgv-D9jVidGgvC-DlyAY8g/o.jpg,OPERATIONAL,https://www.yelp.com/biz/big-island-top-dogs-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 657-4469,205.0,restaurant,5.0,"['https://s3-media1.fl.yelpcdn.com/bphoto/vgv-D9jVidGgvC-DlyAY8g/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/hu3j9SDwYes8l_SJ1FJbUA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/0NfI6ZTHP-GhvPT81kXeUg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1600', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.7068837182555,-155.067029220193,REGULAR,"811 Laukapu St Ste 6 Hilo, HI 96720",,,,"Big Island Top Dogs811 Laukapu St Ste 6 Hilo, HI 96720","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.067029220193 19.7068837182555),
