Name,Latitude,Longitude,Category
Cajun Greek,29.2769392,-94.8316408,restaurant
Shrimp N Stuff,29.28874,-94.80844,restaurant
Gypsy Joynt,29.274172387748465,-94.83164758225018,restaurant
Seahorse Grill,29.24448719077595,-94.86803805979804,restaurant
Bronco Burritos,29.29176564290577,-94.82237832016595,restaurant
Jimmy's on the Pier,29.25064,-94.85324,restaurant
Viet Cajun,29.25173,-94.85317,restaurant
Sugar Bean Coffee and Cream,29.2613716,-94.870235,restaurant
Soul 2 Soul Cafe,29.290994381217008,-94.82633813800248,restaurant
Yamato Japanese Restaurant,29.2779048,-94.8321044,restaurant
Number 13,29.28501,-94.85752,restaurant
Rita's Italian Ice,29.26708,-94.82605,restaurant
Salsas Mexican Restaurant,29.27548,-94.811806,restaurant
Papa's Pizza,29.2765,-94.80952,restaurant
Pho Tai,29.29598,-94.80908,restaurant
Sapori Ristorante,29.25922,-94.84119,restaurant
Yanni’s Gyros And Kebabs,29.28896,-94.8627,restaurant
Grotto Ristorante,29.272606,-94.818427,restaurant
Moody Gardens,29.275347609953,-94.851790279908,restaurant
Leon's World's Finest BBQ,29.29022044472176,-94.8283999,restaurant
Mario's Pizza,29.2082758,-94.9373606,restaurant
Magic Carpet Golf,29.2510547637939,-94.8545074462891,restaurant
Landry's Prime Seafood & Steaks,29.270735202849,-94.8202316880881,restaurant
Seawall Coffee Company,29.24463872509604,-94.8678233612548,restaurant
Darlene's Shrimp Shack,29.281213760376,-94.8343124389648,restaurant
Teaside Tapioca,29.2741856735096,-94.8132018030099,restaurant
Nate's West End,29.175256729126,-94.9850769042969,restaurant
Cafe Canela Restaurant,29.2743245,-94.8309314,restaurant
Shearn's Seafood and Prime Steaks,29.270826769182,-94.8504638671875,restaurant
Los Patrones,29.29188137221802,-94.82201358220902,restaurant
The Steakhouse,29.272365,-94.818467,restaurant
Lil' Buffalo Grille,29.261107475744403,-94.87064057468164,restaurant
Mi Abuelitas,29.2866268157959,-94.8146667480469,restaurant
Mario's Ristorante,29.27708,-94.8315,restaurant
Waterman's Restaurant,29.2073822021484,-94.9492416381836,restaurant
Galveston Island State Park,29.1940825995389,-94.9545979499817,beach
Tortuga Mexican Kitchen,29.2674884796143,-94.8255920410156,restaurant
Cooper’s Landing,29.24071,-94.87794,restaurant
Koop's BBQ Kitchen & Catering,29.293170891534057,-94.81733590364456,restaurant
Gino's Italian Restaurant,29.2730365885301,-94.8306729052795,restaurant
Mercadito Y Taqueria,29.29602,-94.80967,restaurant
Texas Pit Stop BBQ - Galveston,29.263709,-94.8317621,restaurant
Kritikos Grill,29.273495016114182,-94.81565133191256,restaurant
Rainforest Cafe,29.27075306734197,-94.820207208395,restaurant
Los Primos Cafe,29.2727249,-94.837071,restaurant
IHOP,29.27119,-94.81943,restaurant
Orange Leaf Frozen Yogurt,29.2637435,-94.8316986,restaurant
Pariah Coffee,29.181794,-94.975648,restaurant
Blake's Bistro,29.27254011753384,-94.8182919630244,restaurant
Nopalera Grill,29.29155,-94.82299,restaurant
Diamond Beach Vacation Rentals,29.24307,-94.86803,beach
Waffle House - Galveston,29.268310483487618,-94.82769747774324,restaurant
Cordray Drug Store,29.293314,-94.8095633,restaurant
Hummel's General Store & Deli,29.20822,-94.9374899,restaurant
Golden Corral - Galveston,29.266223,-94.828269,restaurant
Mel's Blueplate Express,29.260756,-94.840035,restaurant
Los Lazos,29.27466,-94.8339,restaurant
Way West Grill & Pizzeria,29.1814914636468,-94.9759138061438,restaurant
Galveston Pocket Park 2,29.22704,-94.89644,restaurant
Sunny Beach,29.2338480477905,-94.8823580235709,beach
Honduras Food,29.2958377,-94.8090758,restaurant
Shrimp & Stuff Food Truck,29.18254,-94.97353,restaurant
Woody's Bar,29.238427,-94.876953,restaurant
Aquarium Pyramid,29.2723614780696,-94.8542004275391,restaurant
Moody Gardens Golf Course,29.265189216157488,-94.86893274343504,restaurant
Ben & Jerry’s,29.2763179917141,-94.809796,restaurant
Rainforest Pyramid,29.2754847110984,-94.8526015753142,restaurant
Tin Cup's Caddyshack,29.25345,-94.85661,restaurant
Happy Buddha,29.26796,-94.82765,restaurant
El Nopalito's,29.297445,-94.814607,restaurant
China Sea,29.294062,-94.816411,restaurant
Joe's Seafood,29.2961483001709,-94.8084411621094,restaurant
Galveston Island Cigar Lounge,29.280505,-94.833994,restaurant
Taqueria El Jardin Tropical,29.295215794451384,-94.80934127358438,restaurant
Cafe in the Park,29.2730724079183,-94.8508969682617,restaurant
Whataburger,29.27463420774535,-94.83211220666848,restaurant
The Hurricane Cowboy Shaved Ice Company,29.25105,-94.85451,restaurant
H2O Pool + Bar,29.2723853,-94.817417,restaurant
El Rey Mexican Restaurant,29.290184,-94.808862,restaurant
El Gusto Del Pueblo,29.29607,-94.80873,restaurant
Beach Access Point 11,29.2188773679888,-94.9097950157301,beach
Daiquiris To Go On Broadway,29.2946497,-94.8118193,restaurant
Texas Star Bakery,29.2901668548584,-94.8282775878906,restaurant
Hooters,29.2797,-94.83244,restaurant
SEA BEAN Coffee Cafe,29.2506218,-94.8532271,restaurant
Galveston Go Karts and Fun Center,29.2511,-94.8598,restaurant
Starbucks,29.2708403,-94.82791271,restaurant
Terramar Beach,29.2202445,-94.9643114,beach
Lupita,29.28166052681139,-94.81301492883554,restaurant
Galvostonite Bistro,29.181971349288872,-94.97549695530286,restaurant
Pirates Beach,29.2035640434977,-94.9348632618785,beach
Venados Cantina,29.184303500001374,-94.9711226705526,restaurant
Taco Cabana,29.27079,-94.82903,restaurant
Jimmy John's,29.2656203,-94.8286125,restaurant
Old City Cemetery,29.2940186361201,-94.8130095005035,restaurant
Allens Kitchen And Grill,29.2983699869308,-94.8091400787234,restaurant
Babes Beach,29.2645060135914,-94.8299088756065,beach
Wingstop,29.2893436769425,-94.83961509914428,restaurant
Kettle House,29.2035002,-94.946323,restaurant
Papa Johns Pizza,29.2639199349962,-94.8317631143408,restaurant
Arney’s Bayside Grill,29.178744,-94.982415,restaurant
Jetty,29.27279,-94.81661,restaurant
Domino's Pizza,29.27189,-94.829769,restaurant
Subway,29.2736229771926,-94.8154952089475,restaurant
KFC,29.2765291614314,-94.8320118132245,restaurant
Village of Tiki Island,29.25296,-94.86929,restaurant
Jack in the Box,29.2760699922856,-94.8318077623844,restaurant
Marble Slab Creamery,29.271826,-94.829839,restaurant
Sonic Drive-In,29.2643767,-94.8309176,restaurant
Popeyes Louisiana Kitchen,29.26788,-94.82646,restaurant
Bubba's at Tiki,29.30352,-94.90013,restaurant
Subway,29.1844301337215,-94.9712316265384,restaurant
Peking Buffet,29.26892,-94.82852,restaurant
B. Jiggers Lounge,29.2725013,-94.8166683,restaurant
Navarro Bakery,29.29511,-94.8093899,restaurant
Buck's West,29.181966,-94.975483,restaurant
Midtown Tavern,29.2769122665077,-94.8284272716748,restaurant
Tiki Island Village of,29.29959,-94.9081,beach
Taco Bell,29.28956,-94.831,restaurant
Pizza Hut,29.27359603516185,-94.8155883,restaurant
Schlotzsky's,29.27195045845112,-94.82970544309312,restaurant
Silver Spot Saloon,29.2782648248119,-94.8209213465452,restaurant
Crockett Park,29.2772116260936,-94.8216842306912,restaurant
McDonald's,29.2909067856539,-94.8258116841316,restaurant
The Garden Restuarant,29.2760448292325,-94.852215542788,restaurant
Jack in the Box,29.2920772,-94.8237678408623,restaurant
Discovery Pyramid,29.275712709346,-94.8536431856413,restaurant
Starbucks,29.269011,-94.824136,restaurant
McDonald's,29.2674799501405,-94.8264102,restaurant
The City Jamaica Beach,29.1788379102945,-94.9773135781288,beach
Cousins Maine Lobster Truck- Houston,29.54007,-95.12455,restaurant
Schreiber Park,29.2597454041243,-94.8495257645845,restaurant
Starbucks,nan,nan,restaurant
El Sazon Katracho,29.292429,-94.809227,restaurant
Fruit Party Island,29.2935460446157,-94.8182267323136,restaurant
Hard Times & Misery Saloon,29.2809382452295,-94.8106321644174,restaurant
Dizzy Dorado,29.244618,-94.867832,restaurant
Mike’s Beach Bar,29.2072832033466,-94.9295953398374,restaurant
Burger King,29.2889733521398,-94.8328404128551,restaurant
The Island Cakery,29.1818,-94.97633,restaurant
Little Caesars,29.27111,-94.82815,restaurant
It'z Nacho Bizness,29.2927296536051,-94.819210767746,restaurant
Spoony & Billy's,29.18195,-94.97466,restaurant
Sand Castle Beach,29.2281157,-94.896861,beach
Panda Express,29.2755,-94.83056,restaurant
Sweet Home Alabama,29.2769540724025,-94.8284573480487,restaurant
Incredible Cakes,29.280269527858064,-94.8137734,restaurant
Cordray Drug Store,29.29326,-94.80948,restaurant
The Galley,29.318473,-94.815028,restaurant
Subway,29.2764403089912,-94.8310272263167,restaurant
Gloria's Lounge,29.281382,-94.8091866821051,restaurant
Circle K,29.18137,-94.9762,restaurant
1900 Storm Memorial,29.27442,-94.81448,restaurant
Lee and Joe Jamail Bay Park,29.2827607,-94.8345254,restaurant
Wright Cuney Park and Recreation Center,29.29708,-94.81285,restaurant
Dolphin World Inc No 2,29.25173,-94.85317,restaurant
Circle K,29.26268,-94.83428,restaurant
Rosewood Cemetery,29.266692361022532,-94.83010167358508,restaurant
Jones Park,29.2721904155014,-94.84080612743752,restaurant
Britton's Bistro,29.3131588001007,-94.8189222054326,restaurant
Tortilleria La Bendicion De Dios,29.296402645258908,-94.80799190234238,restaurant
Circle K,29.27912,-94.83326,restaurant
Captain's Landing,29.3159563866628,-94.8178551190202,restaurant
The Shiver Shack,29.50165,-95.05698,restaurant
The Wet Whistle,29.141583,-95.040493,restaurant
Bar 43,29.2809684,-94.8108363,restaurant
The King's Court,28.966447,-95.364985,restaurant
Lion's Bar-B-Q,29.87516,-95.77061,restaurant
El Jefe Mexican Food,29.2951775,-94.8093608,restaurant
3018 Texas Clipper Rd Parking,29.3157226,-94.81716879999999,parking
Parking lot,29.3353876,-94.77805839999999,premise
Parking utmb,29.3091755,-94.7820206,parking
UTMB 17E,29.3118539,-94.78024889999999,parking
Premium Covered Parking,29.3143198,-94.78208099999999,parking
"UTMB - Public Parking, Galveston Hospitals",29.3118965,-94.7761922,parking
1201 Harborside Drive Parking,29.3116497,-94.78205550000001,parking
Port of Galveston Cruise Parking Terminal 10 North Lot,29.3136789,-94.78322759999999,parking
Parking Lot P,29.3134791,-94.7749516,parking
Port of Galveston South Lot Cruise Parking Lot,29.31189359999999,-94.7836379,parking
UTMB Parking Garage 3,29.309174,-94.7783749,parking
"Park 2 Cruise Galveston, LLC",29.3105049,-94.7837887,travel_agency
Port of Galveston Pier 14 Parking Lot,29.3134375,-94.78518749999999,parking
Contract Parking,29.3111501,-94.7738605,parking
1301-1399 Mechanic St Parking,29.30937500000001,-94.7828452,parking
Hospital Parking Garage 8,29.3116784,-94.77560109999999,parking
Galv Park Holiday & Seawall Lot,29.3086699,-94.77015279999999,parking
2100 Market St. Parking Garage,29.3061658,-94.79185009999999,parking
Port parking,29.3089947,-94.7892794,parking
Tremont hotel,29.307483,-94.789504,parking
Galv Park,29.3095157,-94.7901916,parking
Strand parking,29.30860830000001,-94.7914609,parking
Ez parking harborside,29.3088172,-94.79172659999999,parking
2083 Mechanic St Parking,29.3071712,-94.7917033,parking
2019-2099 Mechanic Street Parking,29.3065551,-94.79106329999999,parking
SP+ Parking,29.3065367,-94.79106630000001,parking
1909 Market St Parking,29.306246,-94.789535,parking
2028 Mechanic St. Lot,29.3067625,-94.79162009999999,parking
2011 Market St Parking,29.3059209,-94.7907929,parking
Parking,29.30870509999999,-94.792904,parking
102 Kempner St. Lot,29.3082068,-94.7929968,parking
144 22nd St Parking,29.3081835,-94.7930049,parking
ParkPostOffice.com,29.305386,-94.789312,parking
Ampco System Parking,29.3090517,-94.7935826,parking
208 22nd St Parking,29.3071309,-94.7933944,parking
SP+ Parking,29.3080382,-94.7937566,parking
The Strand,29.3079993,-94.79377600000001,parking
2027 Post Office St Parking,29.30494959999999,-94.79084530000002,parking
Pier 21 - Lot 4,29.3083642,-94.7944077,parking
Port of Galveston Pier 25 Cruise Parking,29.308206,-94.7949089,parking
Pier 21 Lot 5,29.3081405,-94.7950123,parking
Suderman Stevedores,29.3096285,-94.7927457,transit_station
Port Of Galveston Parking & Cruise Terminals,29.3065514,-94.79707649999999,parking
EZ Cruise Parking,29.3055923,-94.7982536,parking
81st Dolphin Parking,29.3036021,-94.7997881,parking
Cruise Park,29.3060306,-94.8009659,parking
Galveston Cruise Parking - Lighthouse Cruise Parking,29.3039505,-94.80134749999999,parking
Galveston Park N Cruise,29.3070454,-94.797454,parking
P4003,29.3062136,-94.7948085,parking
Official Port of Galveston - Lot B,29.3034288,-94.80549330000001,parking
Lighthouse parking Lot 3,29.3036021,-94.7997881,parking
Cruise Parking Express Lot,29.3072849,-94.8010348,parking
Galveston wharfs,29.3044129,-94.8032672,parking
Port of Galveston Express Lot Cruise Parking,29.3074851,-94.8003865,parking
225 25th St Parking,29.3058168,-94.79687899999999,parking
Galv Park,29.305824,-94.79682,parking
Lot А - Port Of Galveston Cruise Parking,29.3051314,-94.8040417,parking
Galveston VIP Cruise Parking,29.3071013,-94.7972231,parking
600 26th St Parking,29.3021002,-94.797186,parking
Official Port of Galveston SMP Cruise Parking Garage,29.30724489999999,-94.79675999999999,parking
Rosenberg Library Parking,29.30144699999999,-94.793363,parking
