Name,Latitude,Longitude,Category
Two Ladies Kitchen,19.7210425,-155.0843,restaurant
Hawaiian Style Cafe Hilo,19.7130187547454,-155.069893151522,restaurant
Pineapples Island Fresh Cuisine,19.72274,-155.08616,restaurant
Cafe Pesto Hilo Bay,19.723753,-155.085017,restaurant
Paul's Place,19.7226009368896,-155.084259033203,restaurant
Ken's House Of Pancakes,19.722272,-155.064721,restaurant
Suisan Fish Market,19.7242201,-155.0701728,restaurant
Jackie Rey's Ohana Grill Hilo,19.72598,-155.08826,restaurant
Moon & Turtle,19.72525,-155.08712,restaurant
The Booch Bar,19.7254665,-155.0878708,restaurant
Kula Shave Ice,19.72264,-155.08487,restaurant
Big Island Top Dogs,19.7068837182555,-155.067029220193,restaurant
Sweet Cane Cafe,19.710195,-155.078019,restaurant
Puka Puka Kitchen,19.724236,-155.0856824,restaurant
Dragon Kitchen Sushi,19.7235774993896,-155.085052490234,restaurant
Makani's Magic Pineapple Shack,19.7262534986447,-155.087520196917,restaurant
Da Hawaiian Brain Freeze Shave Ice & Ice Cream,19.71016,-155.076,restaurant
Kamana Kitchen,19.7107785686731,-155.075672920707,restaurant
Pana'ewa Rainforest Zoo & Gardens,19.6535,-155.07339,restaurant
Kawamoto Store,19.71627,-155.07909,restaurant
Cafe 100,19.71427,-155.0772299,restaurant
Tetsumen Ramen,19.71272,-155.06965,restaurant
Hilo Bay Cafe,19.725,-155.070454,restaurant
Hilo Burger Joint,19.716491997242,-155.078912749887,restaurant
Vibe,19.70785,-155.06469,restaurant
Just Cruisin Coffee,19.716162,-155.078149,restaurant
Sombat's Fresh Thai Cuisine,19.72164,-155.06472,restaurant
Moonstruck,19.7240586379477,-155.085698600714,restaurant
Restaurant Kenichi,19.717235,-155.08006,restaurant
Rainbow Falls,19.71915380173882,-155.10860837045746,restaurant
Tina's Garden Cafe,19.7254413001025,-155.086286114896,restaurant
Antics Pizza,19.720587,-155.085942,restaurant
Saucy Dogs,19.7240907147264,-155.08564987254,restaurant
Popover,19.706178,-155.065444,restaurant
Short n Sweet Bakery & Cafe,19.71024574328779,-155.0759721,restaurant
Pho 99,19.7241193,-155.085764,restaurant
Ratana's,19.7220624,-155.0851797,restaurant
Kaumana Caves,19.6868513668558,-155.130405187617,restaurant
Takenoko Sushi,19.712757812177024,-155.06875185244402,restaurant
Ola Brew - Hilo,19.71218,-155.07635,restaurant
Pho Viet,19.7227748,-155.0865827,restaurant
Liko Lehua Cafe,19.71326,-155.10633,restaurant
Scicchitano's Pizzeria,19.69016,-155.06627,restaurant
5-Spice,19.691641,-155.0669464,restaurant
Sushi Ebisuya,19.72237,-155.08532,restaurant
Naung Mai Thai Kitchen,19.72271,-155.08672,restaurant
Miyo's Restaurant,19.713009,-155.0687349,restaurant
Hilo Town Tavern,19.724778,-155.087535,restaurant
Hilo Lunch Shop,19.7201,-155.06652,restaurant
Mohala's Fish and Chips,19.7262744088841,-155.087487845641,restaurant
New Chiang Mai Thai Cuisine,19.72537,-155.0879799,restaurant
The Temple Bar,19.725985,-155.088241,restaurant
Le Yellow Sub,19.7178401947021,-155.087936401367,restaurant
Wilson's By the Bay,19.7222585,-155.0864068,restaurant
Big Island Pearl Tea,19.712744874522496,-155.06877283432388,restaurant
Liliuokalani Gardens,19.7272704541683,-155.067476481199,restaurant
Nana Carlota's Mexican Food Stand,19.7119120406889,-155.076181885821,restaurant
Ma'ona Lunch Counter,19.6378098609769,-155.044449860711,restaurant
Nori's Saimin & Snacks,19.71774,-155.08446,restaurant
Papa'a Palaoa Bakery,19.72216,-155.085308,restaurant
Koji's Bento Korner,19.7224279,-155.0843536,restaurant
Kuhio Grille,19.720328,-155.079563,restaurant
Island Naturals Market & Deli,19.710908711970063,-155.07591361372147,restaurant
King’s Vietnamese Cuisine,19.723094,-155.08501,restaurant
Ponds Hilo,19.72388,-155.06179,restaurant
Izakaya Miyo,19.71304,-155.06892,restaurant
Tacos Jalisco,19.71195814005112,-155.0745291535396,restaurant
Lam's Garden,19.7221113380498,-155.085543880924,restaurant
Hilo Rice Noodle Soup Restaurant,19.6900343,-155.0696407,restaurant
Don's Grill,19.71534,-155.06825,restaurant
The Seaside Restaurant and Aqua Farm,19.73261535448969,-155.02864345560997,restaurant
Cafe Boba,19.71622,-155.06681,restaurant
Millie's Deli & Snack Shop,19.7231927,-155.0626218,restaurant
Poke N Sides @ the Hilo Farmers Market,19.72264,-155.08487,restaurant
The Sippin Siren,19.721526,-155.06474,restaurant
Ding Tea Hilo,19.724,-155.086496,restaurant
Loved by the Sun,19.7240496317265,-155.085634599574,restaurant
Nicoco,19.7221681,-155.0853187,restaurant
Tamari Japanese Lunch Shop,19.7238580137491,-155.085955560207,restaurant
Cronies Bar & Grill,19.7266042,-155.0868397,restaurant
Sugar Coast Candy,19.724219,-155.0856654,restaurant
Hiro's Place,19.692655,-155.066482,restaurant
Hilo Siam Thai Restaurant,19.7230911,-155.0855408,restaurant
White Guava Cafe,19.69445111667885,-155.0663731117025,restaurant
Puna Chocolate Company,19.7235873,-155.0862993,restaurant
Vegan Shop,19.71973,-155.08585,restaurant
Coconut Grill,19.72362093473369,-155.06265429250664,restaurant
Cham Cham Korean BBQ,19.71672,-155.06544,restaurant
Carlsmith Beach Park,19.7330791088927,-155.027970678621,restaurant
Bangkok Villa Hilo,19.7253971,-155.0871003,restaurant
Hawaii Tropical Bioreserve & Garden,19.8111211496674,-155.096228949054,restaurant
Teapresso Bar - Hilo,19.707259,-155.075617,restaurant
H & K Lunch Shop,19.7070579528809,-155.075546264648,restaurant
Van Vietnamese Cuisine,19.720312244236048,-155.0824403,restaurant
K's Drive-In,19.7168253816891,-155.083082346933,restaurant
IHOP,19.695294,-155.063849,restaurant
Reuben's Mexican Food,19.723556,-155.084948,restaurant
Sakura Sushi & Grill,19.72082430989023,-155.06454144432738,restaurant
Kozmic Cones,19.72389,-155.09058,restaurant
Moms,19.724564,-155.087565,restaurant
Restaurant Miwa,19.7105421047085,-155.075502215939,restaurant
Kelly Boy's,19.711473,-155.073334,restaurant
Hula Hulas,19.729616,-155.064893,restaurant
Aloydee's Thai Food,19.723577,-155.085052,restaurant
Restaurant Osaka,19.7074432373047,-155.064529418945,restaurant
Low International Food,19.72152,-155.08519,restaurant
Coconut Island,19.729465,-155.068565,restaurant
Lyman Museum,19.7219974,-155.0908298,restaurant
Verna's Drive In,19.72281,-155.06388,restaurant
So Juicy Hawaii - Hilo,19.72609,-155.0868,restaurant
Lani's Island Snack Shack,19.7125535200044,-155.069515295327,restaurant
New Saigon Restaurant,19.7232557404499,-155.06210131175618,restaurant
WSW Steakhouse,19.728193,-155.066684,restaurant
Asami's Kitchen,19.720944,-155.084113,restaurant
Pe'epe'e Falls & Boiling Pots,19.713306,-155.1304287,restaurant
Yen's Cafe,19.7245502,-155.0896149,restaurant
Ohana Foods,19.683428,-155.082296,restaurant
Sky Garden Restaurant,19.701243546831176,-155.08869339586988,restaurant
What's Shakin',19.824328,-155.095225,restaurant
Akaka Falls State Park,19.8538409556301,-155.152272242078,restaurant
Tabaraka,19.7246596,-155.0902291,restaurant
Pandamonia's Paleta Palace,19.724659,-155.0685994,restaurant
Koana,19.55076,-155.107518,restaurant
Daiichi Ramen,19.697288,-155.063254,restaurant
Happy Valley Seafood Restaurant,19.710168838501,-155.07600402832,restaurant
Richardson Ocean Park,19.7347665,-155.0133199,beach
Onekahakaha Beach Park,19.738193,-155.039601,restaurant
Zippy's Hilo,19.69719,-155.06342,restaurant
808 Sweet Shack,19.7061614,-155.0682212,restaurant
Kandi's Drive Inn,19.6847426,-155.0693995,restaurant
Manono Mini Mart,19.7160148620605,-155.070449829102,restaurant
Nector Cafe,19.724783,-155.086181,restaurant
Kum Yo's Okazuya,19.7060317993164,-155.065475463867,restaurant
1 Plus 1 Cafe,19.701475,-155.063192,restaurant
Hale Hookah,19.7262907,-155.0876187,restaurant
"Cupcakes, BOOM!",19.712741911747035,-155.06994744746007,restaurant
Papajacs,19.72609,-155.0868,restaurant
Maui Tacos,19.697899,-155.063268,restaurant
Poi Balls Hawaii,19.713710236503204,-155.06991392220704,restaurant
Spoonful Cafe,19.6211111,-155.0416667,restaurant
Dimple Cheek Cafe & Local Market,19.5691299680627,-155.081895031035,restaurant
Countryside Cafe,19.621841761624392,-155.0409898,restaurant
Amigos Taqueria,19.72374,-155.08686,restaurant
Kaleo's Bar and Grill,19.49422,-154.94452,restaurant
Blane's Drive Inn,19.701668441222488,-155.0651911037979,restaurant
Litchon Food Truck,19.7234858629142,-155.084899775684,restaurant
Sum Leung Chinese Kitchen,19.69359437966657,-155.06675369101822,restaurant
Kula Bowls,19.72358,-155.08504,restaurant
Leung's Chop Suey House,19.70695,-155.06453,restaurant
Poly Feng Yuan,19.6838502201273,-155.06991188237015,restaurant
Mister D's Grillwagon,19.7230146156158,-155.085106031413,restaurant
Indo Grindz,19.68857914146088,-155.08636595390172,restaurant
Genki Sushi,19.6990954476535,-155.064209660761,restaurant
Pho 19,19.71703,-155.08419,restaurant
Liquid Life,19.712759,-155.069726,restaurant
Kitchen Umeko,19.70705,-155.07554,restaurant
Seoul Station,19.71695,-155.065511,restaurant
Saucy Mama's,19.55094801086273,-155.10754365473986,restaurant
Lemongrass Restaurant,19.62219722357633,-155.04081590294282,restaurant
Arirang Korean Kitchen,19.706894212925533,-155.06662253290415,restaurant
Lee's Chop Suey,19.70605,-155.07642,restaurant
Taco Bell,19.694708,-155.067093,restaurant
Jamba,19.698614184185107,-155.06164836157163,restaurant
Thai Smile,19.7178401947021,-155.087936401367,restaurant
Banyan Drive,19.727928,-155.066349,restaurant
Pete's Belly Bustazs,19.71708,-155.09819,restaurant
Alii Ice Company,19.724964,-155.068261,restaurant
Hilo Coffee Mill,19.564602,-155.088204,restaurant
Hot Dog On a Stick,19.697136,-155.063431,restaurant
Onizuka Center,19.644528,-155.21553,restaurant
Starbucks,19.71949403,-155.08255414,restaurant
Mt View Bakery,19.55118,-155.10714,restaurant
Pacific Tsunami Museum,19.72592,-155.0867,restaurant
Pele's Kitchen,19.4939485181951,-154.945757860919,restaurant
Kalbi Express,19.701575,-155.062816,restaurant
Pahoa Fresh Fish,19.5049859270427,-154.957336932421,restaurant
Ocean Front Kitchen,19.726839,-155.056191,restaurant
Tea Time Hawaii,19.70617,-155.0682516,restaurant
Mr Ed's Bakery,19.8693367,-155.1130501,restaurant
Joann's Lounge,19.7216396,-155.0647125,restaurant
Mokupapapa Discovery Center,19.7267074,-155.0870115,restaurant
Tin Shack Bakery,19.4942503,-154.9437281,restaurant
Hawaiian Shrimp Company,19.7016496478494,-155.062866772055,restaurant
Perfect Harmony,19.7235453,-155.0865014,restaurant
Panda Express,19.6987018585205,-155.060897827148,restaurant
Hilo Municipal Golf Course,19.67669,-155.074466,restaurant
Ning's Thai Cuisine,19.494080996651,-154.94505,restaurant
Waioli Lounge,19.7280488328395,-155.066871643066,restaurant
Floral Mart Hawaii,19.7171591,-155.0842695,restaurant
Napoleon's Bakery Hilo,19.6971899,-155.0634102,restaurant
Kula Shave Ice,19.72358,-155.08504,restaurant
Ling's Chop Suey House,19.691656,-155.067106,restaurant
Sunlight Cafe,19.710168838501,-155.07600402832,restaurant
Pizza Ala Slice,19.696983,-155.064099,restaurant
The Hot Dog Guy,19.71732,-155.06502,restaurant
Onomea Country Market & Cafe,19.83072044528586,-155.0971922,restaurant
Cheng's Chop Suey House,19.71724667,-155.08275167,restaurant
Surf Break Cafe,19.87037910916393,-155.11409593818942,restaurant
Baskin-Robbins,19.690083,-155.066279,restaurant
Bite The Eye,19.542447687269437,-154.97362078417123,restaurant
Mr Cow,19.70124,-155.0636,restaurant
Little Caesars Pizza,19.7116903442747,-155.076371600846,restaurant
Fairway Grill,19.674220981513404,-155.07684572036214,restaurant
Starbucks,19.69871437,-155.06164099,restaurant
Hilo Yacht Club,19.736476832529,-155.03362345317,restaurant
Hale Inu Sports Bar,19.71454632947158,-155.0739652819722,restaurant
Coco Cantina - Hilo,19.7215621,-155.0856272,restaurant
McDonald's,19.6912097,-155.0663614,restaurant
Kurtistown Cafe,19.592985,-155.057269,restaurant
Wailuku River State Park,19.717954,-155.110627,restaurant
Margarita Village,19.7272605895996,-155.054061889648,restaurant
Luquin’s Mexican Restaurant,19.50447831040302,-154.95423068132354,restaurant
Sunlight Express,19.6975398977595,-155.063247547861,restaurant
Nicoco,19.4973010278322,-154.950767484656,restaurant
Shaka Tea,19.72541,-155.0878357,restaurant
Hilo Sharks Coffee,19.8694222682398,-155.11332783848,restaurant
Big Island Fusion,19.7170240190292,-155.064796475353,restaurant
Taco Aina,19.620281219482425,-155.036376953125,restaurant
Panchos Tacos,19.4937404,-154.9454773,restaurant
KFC,19.6989895023496,-155.061619107581,restaurant
The Coffee Bean & Tea Leaf,19.622392019566792,-155.03971583818293,restaurant
Wailoa River State Recreation Area,19.71642,-155.06849,restaurant
Jack in the Box,19.6925742934388,-155.066442489624,restaurant
Peggy's Lounge,19.7162082,-155.0673769,restaurant
New China Restaurant,19.7188549041748,-155.081802368164,restaurant
Nani Mau Garden & Restaurant,19.67136,-155.055211,restaurant
Ha'ena Beach - aka Shipman Beach,19.64341610784341,-154.9829220912098,beach
Big Island Mexican Foods,19.6377314688564,-155.04428467515,restaurant
Kamehameha The Great Statue,19.7218048,-155.0783263,restaurant
Coco Cantina,19.50244608797325,-154.9555071435256,restaurant
Frankie's Pizza,19.5514279314318,-155.10686673224,restaurant
Lemongrass Express Hilo,19.70170440237363,-155.06315528970666,restaurant
