,Name,Address,Coordinates
0,Two Ladies Kitchen,"274 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7210425, 'longitude': -155.0843}"
1,Hawaiian Style Cafe Hilo,"681 Manono St Ste 101 Hilo, HI 96720","{'latitude': 19.7130187547454, 'longitude': -155.069893151522}"
2,Pineapples Island Fresh Cuisine,"332 Keawe St Hilo, HI 96720","{'latitude': 19.72274, 'longitude': -155.08616}"
3,Cafe Pesto Hilo Bay,"308 Kamehameha Ave Ste 101 Hilo, HI 96720","{'latitude': 19.723753, 'longitude': -155.085017}"
4,Paul's Place,"132 Punahoa St Hilo, HI 96720","{'latitude': 19.7226009368896, 'longitude': -155.084259033203}"
5,Ken's House Of Pancakes,"1730 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.722272, 'longitude': -155.064721}"
6,Suisan Fish Market,"93 Lihiwai St Hilo, HI 96720","{'latitude': 19.7242201, 'longitude': -155.0701728}"
7,Jackie Rey's Ohana Grill Hilo,"64 Keawe St Hilo, HI 96720","{'latitude': 19.72598, 'longitude': -155.08826}"
8,Moon & Turtle,"51 Kalakaua St Hilo, HI 96720","{'latitude': 19.72525, 'longitude': -155.08712}"
9,The Booch Bar,"110 Keawe St Hilo, HI 96720","{'latitude': 19.7254665, 'longitude': -155.0878708}"
10,Kula Shave Ice,"57 Mamo St Hilo, HI 96720","{'latitude': 19.72264, 'longitude': -155.08487}"
11,Big Island Top Dogs,"811 Laukapu St Ste 6 Hilo, HI 96720","{'latitude': 19.7068837182555, 'longitude': -155.067029220193}"
12,Sweet Cane Cafe,"48 Kamana St Hilo, HI 96720","{'latitude': 19.710195, 'longitude': -155.078019}"
13,Puka Puka Kitchen,"270 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.724236, 'longitude': -155.0856824}"
14,Dragon Kitchen Sushi,"330 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7235774993896, 'longitude': -155.085052490234}"
15,Makani's Magic Pineapple Shack,"54 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.7262534986447, 'longitude': -155.087520196917}"
16,Da Hawaiian Brain Freeze Shave Ice & Ice Cream,"1263 Kilauea Ave Ste 290 Hilo, HI 96720","{'latitude': 19.71016, 'longitude': -155.076}"
17,Pana'ewa Rainforest Zoo & Gardens,"800 Stainback Hwy Hilo, HI 96720","{'latitude': 19.6535, 'longitude': -155.07339}"
18,Kamana Kitchen,"1235 Kilauea Ave Ste 180 Hilo, HI 96720","{'latitude': 19.7107785686731, 'longitude': -155.075672920707}"
19,Kawamoto Store,"784 Kilauea Ave Hilo, HI 96720","{'latitude': 19.71627, 'longitude': -155.07909}"
20,Cafe 100,"969 Kilauea Ave Hilo, HI 96720","{'latitude': 19.71427, 'longitude': -155.0772299}"
21,Hilo Bay Cafe,"123 Lihiwai St Hilo, HI 96720","{'latitude': 19.725, 'longitude': -155.070454}"
22,Tetsumen Ramen,"697 Manono St Ste 103 Hilo, HI 96720","{'latitude': 19.71272, 'longitude': -155.06965}"
23,Hilo Burger Joint,"776 Kilauea Ave Hilo, HI 96720","{'latitude': 19.716491997242, 'longitude': -155.078912749887}"
24,Vibe,"750 Kanoelehua Ave Ste 101 Hilo, HI 96720","{'latitude': 19.70785, 'longitude': -155.06469}"
25,Just Cruisin Coffee,"835 Kilauea Ave Hilo, HI 96720","{'latitude': 19.716162, 'longitude': -155.078149}"
26,Sombat's Fresh Thai Cuisine,"88 Kanoelehua Ave Hilo, HI 96720","{'latitude': 19.72164, 'longitude': -155.06472}"
27,Moonstruck,"16 Furneaux Ln Hilo, HI 96720","{'latitude': 19.7240586379477, 'longitude': -155.085698600714}"
28,Restaurant Kenichi,"684 Kilauea Ave Hilo, HI 96720","{'latitude': 19.717235, 'longitude': -155.08006}"
29,Rainbow Falls,"967 Waianuenue Ave Hilo, HI 96720","{'latitude': 19.71915380173882, 'longitude': -155.10860837045746}"
30,Tina's Garden Cafe,"168 Kamehameha Ave Hilo, HI 96720","{'latitude': 19.7254413001025, 'longitude': -155.086286114896}"
31,Antics Pizza,"475 Kinoole St Hilo, HI 96720","{'latitude': 19.720587, 'longitude': -155.085942}"
32,Saucy Dogs,"14 Furneaux Ln Hilo, HI 96720","{'latitude': 19.7240907147264, 'longitude': -155.08564987254}"
33,Popover,"399 E Kawili St Ste 102 Hilo, HI 96720","{'latitude': 19.706178, 'longitude': -155.065444}"
34,Short n Sweet Bakery & Cafe,"1263 Kilauea Ave Hilo, HI 96720","{'latitude': 19.71024574328779, 'longitude': -155.0759721}"
35,Pho 99,"18 Furneaux Ln Hilo, HI 96720","{'latitude': 19.7241193, 'longitude': -155.085764}"
36,Ratana's,"211 Kilauea Ave Hilo, HI 96720","{'latitude': 19.7220624, 'longitude': -155.0851797}"
37,Takenoko Sushi,"578 Hinano St Manono Street Marketplace Hilo, HI 96720","{'latitude': 19.712757812177024, 'longitude': -155.06875185244402}"
