,Name,place_id,Address,Coordinates,business_status,types,category
0,602 Seawolf Pkwy Parking,ChIJGyMXOfudP4YRDOB7F3SyWzo,"602 Seawolf Pkwy, Galveston","{'lat': 29.3206562, 'lng': -94.8172833}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
1,200 Seawolf Pkwy Parking,ChIJtdCk4uSdP4YRhpk5DmlvLFU,"200 Seawolf Pkwy, Galveston","{'lat': 29.3175257, 'lng': -94.81833019999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
2,3018 Texas Clipper Rd Parking,ChIJEd4jQuSdP4YRc9jMxtmw4z0,"3018 Texas Clipper Road, Galveston","{'lat': 29.3157226, 'lng': -94.81716879999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
3,Parking lot,ChIJEejTyYd1P4YRfGsq41f6gms,Galveston,"{'lat': 29.3353876, 'lng': -94.77805839999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
4,Parking utmb,ChIJAdzz9keeP4YRzUtgHz_IYYU,"365-379 11th Street, Galveston","{'lat': 29.3091755, 'lng': -94.7820206}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
5,1011 Harborside Dr Garage,ChIJHW1MKTieP4YR9Zd0iokUNis,"1011 Harborside Drive, Galveston","{'lat': 29.3119026, 'lng': -94.7798238}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
6,1005 Harborside Dr Garage,ChIJidg3KTieP4YR0VTB7C5SfhQ,"1005 Harborside Drive, Galveston","{'lat': 29.3118769, 'lng': -94.779805}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
7,UTMB 17E,ChIJC3UVRDieP4YR6lA00QCtO50,"113-191 11th Street, Galveston","{'lat': 29.3118539, 'lng': -94.78024889999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
8,Premium Covered Parking,ChIJn5sAMVifP4YR5UtWIcrT8Yw,"1152 Royal Caribbean Way, Galveston","{'lat': 29.3143198, 'lng': -94.78208099999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
9,"UTMB - Public Parking, Galveston Hospitals",ChIJW7wWaDaeP4YREaeEQlUeh4I,"200 University Boulevard, Galveston","{'lat': 29.3118965, 'lng': -94.7761922}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
10,1201 Harborside Drive Parking,ChIJfwLFVzieP4YRJPp_QxgsePE,"1201 Harborside Drive, Galveston","{'lat': 29.3116497, 'lng': -94.78205550000001}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
11,Port of Galveston Cruise Parking Terminal 10 North Lot,ChIJgRbx5yefP4YRusJ2EH7TYfU,"1152 Royal Caribbean Circle, Galveston","{'lat': 29.3136789, 'lng': -94.78322759999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
12,Parking Lot P,ChIJHXJh-aifP4YRytdiL4Ba2zc,"Unnamed Road, Galveston","{'lat': 29.3134791, 'lng': -94.7749516}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
13,Port of Galveston South Lot Cruise Parking Lot,ChIJVZ5hNnifP4YR13z_PxZj7A4,"028 13th Street, Galveston","{'lat': 29.31189359999999, 'lng': -94.7836379}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
14,UTMB Parking Garage 3,ChIJLQpNRbmfP4YR3C25fcfJ9lc,"410 9th Street, Galveston","{'lat': 29.309174, 'lng': -94.7783749}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
15,"Park 2 Cruise Galveston, LLC",ChIJn324TXCfP4YRR3iD6Lq0Ouo,"101 13th Street, Galveston","{'lat': 29.3105049, 'lng': -94.7837887}",OPERATIONAL,"['travel_agency', 'parking', 'point_of_interest', 'establishment']",travel_agency
16,Port of Galveston Pier 14 Parking Lot,ChIJPdHFfV6fP4YRlB7WB3TDI5c,"8677+9W, Galveston","{'lat': 29.3134375, 'lng': -94.78518749999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
17,Contract Parking,ChIJYaqd3TWeP4YR1emHg7MSDWg,"339 5th Street, Galveston","{'lat': 29.3111501, 'lng': -94.7738605}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
18,1301-1399 Mechanic St Parking,ChIJ49fBZkeeP4YRDCrPv38ok9w,"1301-1399 Mechanic Street, Galveston","{'lat': 29.30937500000001, 'lng': -94.7828452}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
19,Parking lot,ChIJh6OkejeeP4YRZslws7e4IMg,Galveston,"{'lat': 29.3130409, 'lng': -94.778908}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
20,Parking lot,ChIJ6U-wGTeeP4YRqyq0y_61Vz8,Galveston,"{'lat': 29.3136828, 'lng': -94.7774111}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
21,Parking lot,ChIJQY_g3TaeP4YROy5flRaVic8,Galveston,"{'lat': 29.3142549, 'lng': -94.776602}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
22,Parking lot,ChIJ25nGVzieP4YR1YxupzPMXWs,Galveston,"{'lat': 29.3116607, 'lng': -94.78206379999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
23,Hospital Parking Garage 8,ChIJM-XyQjaeP4YR4mkUQxmwix0,Galveston,"{'lat': 29.3116784, 'lng': -94.77560109999999}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
24,Galv Park Holiday & Seawall Lot,ChIJvR8QprefP4YRqN4tNKU3Q2w,"706 Holiday Drive, Galveston","{'lat': 29.3086699, 'lng': -94.77015279999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
25,Parking lot,ChIJYXZA-0meP4YR-jDImLx3f1g,Galveston,"{'lat': 29.30915469999999, 'lng': -94.77490279999999}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
26,Parking lot,ChIJc2Ax5TWeP4YRNy6EopqGnho,Galveston,"{'lat': 29.3102879, 'lng': -94.7739359}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
27,Parking lot,ChIJ3X8z20meP4YRqsrtvpDhVF8,Galveston,"{'lat': 29.3087521, 'lng': -94.7760356}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
28,Parking lot,ChIJTSBvADaeP4YRbJxsjyxiEmw,Galveston,"{'lat': 29.3097619, 'lng': -94.7743769}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
29,Parking lot,ChIJ7bvw3TWeP4YRK1VkDD_58_A,Galveston,"{'lat': 29.31127459999999, 'lng': -94.773851}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
30,Parking lot,ChIJFf3ZvTWeP4YRiXdERwpzsXc,Galveston,"{'lat': 29.3112158, 'lng': -94.772961}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
31,Parking lot,ChIJ-WFd00meP4YRsAUtjA90R2o,Galveston,"{'lat': 29.3090329, 'lng': -94.777047}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
32,Parking lot,ChIJd8vJzTWeP4YRL_pE-MN_AsA,Galveston,"{'lat': 29.3122354, 'lng': -94.7735678}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
33,2100 Market St. Parking Garage,ChIJaye2WGqeP4YRu3MOyYQugOw,"2100 Market Street, Galveston","{'lat': 29.3061658, 'lng': -94.79185009999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
34,Port parking,ChIJRSPsxj6fP4YRDHneDq0MVqU,"111 18th Street, Galveston","{'lat': 29.3089947, 'lng': -94.7892794}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
35,Tremont hotel,ChIJCx9IFiOfP4YRmN3rRHwjQMU,"Mechanic Street, Galveston","{'lat': 29.307483, 'lng': -94.789504}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
36,Galv Park,ChIJ____VhWeP4YR8TrYJ5mrngw,"1902 Harborside Drive, Galveston","{'lat': 29.3095157, 'lng': -94.7901916}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
37,Strand parking,ChIJBd-e_gSfP4YRouBxley70iU,"109 20th Street, Galveston","{'lat': 29.30860830000001, 'lng': -94.7914609}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
38,Ez parking harborside,ChIJ6SOBAvOfP4YRbn5ROEyW8G8,"2002 Harborside Drive, Galveston","{'lat': 29.3088172, 'lng': -94.79172659999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
39,2083 Mechanic St Parking,ChIJOYMx72qeP4YRbrm2vTGoeq8,"2083 Mechanic Street, Galveston","{'lat': 29.3071712, 'lng': -94.7917033}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
40,2019-2099 Mechanic Street Parking,ChIJdzuRjGqeP4YRZbS0ZBXIw_s,"2019-2099 Mechanic Street, Galveston","{'lat': 29.3065551, 'lng': -94.79106329999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
41,SP+ Parking,ChIJofob016fP4YRKFLv7jQvXL4,"2083 Ship Mechanic Row Street, Galveston","{'lat': 29.3065367, 'lng': -94.79106630000001}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
42,1909 Market St Parking,ChIJpfOmLECeP4YR9c4-GSzOIf4,"1909 Market Street, Galveston","{'lat': 29.306246, 'lng': -94.789535}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
43,2028 Mechanic St. Lot,ChIJm_8t72qeP4YRWn19mPtpfik,"2028 Mechanic Street, Galveston","{'lat': 29.3067625, 'lng': -94.79162009999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
44,2011 Market St Parking,ChIJRXTPY2qeP4YReOtDPYjhF4w,"2011 Market Street, Galveston","{'lat': 29.3059209, 'lng': -94.7907929}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
45,1918 Avenue E Parking,ChIJw-4a1kGeP4YRKrbSBpPzTq0,"1918 Postoffice St, Galveston","{'lat': 29.3057618, 'lng': -94.78983939999999}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
46,Parking,ChIJf07hEdOfP4YRXT4uy9X5dD4,"51 21st Street, Galveston","{'lat': 29.30870509999999, 'lng': -94.792904}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
47,SP+ Parking,ChIJAcTwTXKfP4YR0mmN8fdo-Iw,"50 21st Street, Galveston","{'lat': 29.3092445, 'lng': -94.79281720000002}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
48,102 Kempner St. Lot,ChIJ-_FkJWueP4YRW5D7ASuIVPs,"102 Kempner Street, Galveston","{'lat': 29.3082068, 'lng': -94.7929968}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
49,144 22nd St Parking,ChIJTTxvJWueP4YRkgNzs9FXHGw,"144 22nd Street, Galveston","{'lat': 29.3081835, 'lng': -94.7930049}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
