,Name,place_id,Address,Coordinates,business_status,types
0,Mamady's Primitive Art From,ChIJg37VFGueP4YR6fdJF1ue33c,"2211 The Strand, Galveston","{'lat': 29.307213, 'lng': -94.7937577}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
1,Bogan Gallery,ChIJ_____xueP4YRNB441Lq7RHc,"2217 Postoffice St, Galveston","{'lat': 29.3044721, 'lng': -94.79293539999999}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']"
2,Affaire d'Art Fine Art Gallery,ChIJkfdtYmueP4YR1PRZD3AHIXI,"2227 Postoffice St, Galveston","{'lat': 29.304436, 'lng': -94.793165}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
3,The Proletariat Gallery & Public House,ChIJJ98no2ueP4YR-eQcpeWIIeg,"2221 Market Street #100, Galveston","{'lat': 29.3053353, 'lng': -94.7935713}",OPERATIONAL,"['bar', 'art_gallery', 'cafe', 'food', 'store', 'point_of_interest', 'establishment']"
4,Gallery Évasion,ChIJq07NcWueP4YRVpwZWyy3aRk,"217 23rd Street, Galveston","{'lat': 29.3065075, 'lng': -94.79442279999999}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
5,VACATION ON CANVAS GALLERY,ChIJQXyhR2qeP4YRHxzrQ52uvDE,"2204 Postoffice Street, Galveston","{'lat': 29.3050017, 'lng': -94.7924939}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
6,The Old Galveston Trading Company,ChIJT1YJSGqeP4YRAvTwCO1WknE,"2115 Postoffice Street, Galveston","{'lat': 29.304724, 'lng': -94.791834}",OPERATIONAL,"['art_gallery', 'store', 'point_of_interest', 'establishment']"
7,René Wiley Gallery,ChIJ8VAiSWqeP4YRAr1JSr1J8UA,"2128 Postoffice St, Galveston","{'lat': 29.3050828, 'lng': -94.79228859999999}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
8,The Tattoo Shop,ChIJuZ1ywTacP4YRiHeYMNVnr0g,"5702 Stewart Road, Galveston","{'lat': 29.2773944, 'lng': -94.82735559999999}",OPERATIONAL,"['art_gallery', 'store', 'point_of_interest', 'establishment']"
9,Art League,ChIJ1wLYQ2qeP4YRFoZS_c5YSN8,"2117a Postoffice Street, Galveston","{'lat': 29.304719, 'lng': -94.7918334}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
10,Fishing is Fabulous on Tiki Island at Our Door,ChIJEVnXUuiCP4YRwWCesfLgamM,"1323 Hawaii Drive, Tiki Island","{'lat': 29.2956823, 'lng': -94.9164498}",CLOSED_TEMPORARILY,"['art_gallery', 'real_estate_agency', 'point_of_interest', 'establishment']"
11,Galveston Arts Center,ChIJB1GfrGueP4YRpKVirArMnfk,"2127 The Strand, Galveston","{'lat': 29.307351, 'lng': -94.79304119999999}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
12,QQ ArtSpace,ChIJ7UWoizydP4YRLgxZMeXQRZc,"3622 85th Street, Galveston","{'lat': 29.2553328, 'lng': -94.8493768}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
13,Maebemy Gallery,ChIJ0U7Xe_SdP4YRbzcgS-5QHD0,"2828 61st Street UNIT 1303, Galveston","{'lat': 29.2690695, 'lng': -94.8270884}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
14,ANNE LANE GALLERY,ChIJ8Sk9RT-fP4YR36RXs6pwsQc,"3818 Avenue S, Galveston","{'lat': 29.282381, 'lng': -94.80553169999999}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
15,J. A. Soukup Fine Art,ChIJ6ytNmHiGP4YRSFQ0AZKZlWo,"2208 Post Office Street, Galveston","{'lat': 29.178961, 'lng': -94.9771686}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
16,J Bangle Galleries,ChIJST4jrGeeP4YRJWrHbzJuQIk,"1124 25th Street, Galveston","{'lat': 29.2978274, 'lng': -94.7935114}",OPERATIONAL,"['art_gallery', 'store', 'point_of_interest', 'establishment']"
17,The Studio Experience Gallery and Fine Art Printers,ChIJJ29sszafP4YRAJ8GyBzJtZY,"2327 Winnie Street, Galveston","{'lat': 29.3024723, 'lng': -94.79383310000001}",OPERATIONAL,"['art_gallery', 'store', 'point_of_interest', 'establishment']"
18,Water's Edge Studio Gallery,ChIJwyAfykKeP4YREt7YM_yZ8XE,"1302 21st Street, Galveston","{'lat': 29.2978754, 'lng': -94.78850729999999}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']"
19,Arts on Mechanic,ChIJmd1JeGueP4YR7jePxf40Vio,"2309 Mechanic Street, Galveston","{'lat': 29.3060921, 'lng': -94.7944691}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
20,Upstairs Art Studio,ChIJicE_aGqfP4YRE7u7onbYVDY,"2328 The Strand, Galveston","{'lat': 29.30720219999999, 'lng': -94.7953363}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
21,Mock & More Gallery,ChIJ3_Ku3hKfP4YRtU0-jQrAS-Q,"2215-B Postoffice St, Galveston","{'lat': 29.3044633, 'lng': -94.792807}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
22,Alia Benavides,ChIJmwyTK-efP4YRPJKb9gUZm_M,"2201 Postoffice St, Galveston","{'lat': 29.30466909999999, 'lng': -94.79264189999999}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
23,The Artist's Studio & Gallery,ChIJZTxtyFyeP4YRwzwilCDZ-T0,"1447 19th Street, Galveston","{'lat': 29.2969473, 'lng': -94.7860735}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']"
24,G.Lee Gallery,ChIJX_LyyWueP4YRM6L0EOxyB9E,"2217 The Strand, Galveston","{'lat': 29.3070697, 'lng': -94.7941638}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
25,From the HeART Gallery,ChIJravyw2ueP4YR4xKziirK50k,"2111 Postoffice Street, Galveston","{'lat': 29.3047615, 'lng': -94.7915907}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
26,DARKE gallery,ChIJz61BocafP4YRn7bIa0ib59M,"801 East Beach Drive BC 0612, Galveston","{'lat': 29.3158378, 'lng': -94.75467110000001}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
27,Collectors Niche,ChIJraXhaqB5P4YRUfsR2Uwprt4,"2709 Palmer Highway, Texas City","{'lat': 29.3949639, 'lng': -94.9339485}",CLOSED_TEMPORARILY,"['art_gallery', 'point_of_interest', 'establishment']"
28,Fish With Attitude by Mike Quinn,ChIJTXNacUWAQIYRh39DYGRw8Us,"6213 Avenue M, Santa Fe","{'lat': 29.3550326, 'lng': -95.0888871}",OPERATIONAL,"['art_gallery', 'point_of_interest', 'establishment']"
29,Galveston RV Resort and Marina,ChIJvYAdXUmcP4YRWejOGTrTLTw,"6310 Heards Lane, Galveston","{'lat': 29.2787925, 'lng': -94.8350109}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
30,Stella Mare RV Resort,ChIJJ9nsR6acP4YRxhVxoPJEOJI,"3418 Stella Mare Lane Lot 98, Galveston","{'lat': 29.2405186, 'lng': -94.8816109}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
31,Tiki Tom's RV Park,ChIJv2ONzseCP4YR8r1MAs0S-uw,"333 Jones Lake Road, Galveston","{'lat': 29.3031502, 'lng': -94.90392170000001}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
32,Jamaica Beach RV Park,ChIJqywrxXuGP4YRfI0sAOX6We8,"17200 Termini-San Luis Pass Road, Galveston","{'lat': 29.1789996, 'lng': -94.9817956}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
33,Texas Campgrounds Club,ChIJB-CrtniGP4YRhdMq1S4ruwE,"18100 Termini-San Luis Pass Road, Galveston","{'lat': 29.1713063, 'lng': -94.9915121}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
34,Sunset Harbor RV & Mobile Home Park,ChIJC87ohDl5P4YRFezttE8RSoI,"634 North Pine Road, Texas City","{'lat': 29.3902119, 'lng': -94.96421099999999}",OPERATIONAL,"['campground', 'rv_park', 'travel_agency', 'real_estate_agency', 'park', 'lodging', 'point_of_interest', 'establishment']"
35,Galveston Island KOA Holiday,ChIJ0e-k-6Z3QIYRkgdSgURUxmQ,"23700 Termini-San Luis Pass Road, Galveston","{'lat': 29.1220283, 'lng': -95.07344959999999}",OPERATIONAL,"['campground', 'rv_park', 'park', 'lodging', 'point_of_interest', 'establishment']"
36,Lazy D RV Resort,ChIJT6HZtqd_P4YRuRaBRiFyDEY,"6202 Delany Road, Hitchcock","{'lat': 29.3569126, 'lng': -95.0226058}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
37,Little Thicket RV Park,ChIJk97jtuJ-P4YRM3b9xEnHHdU,"408 Volney Street, La Marque","{'lat': 29.3718581, 'lng': -95.0069245}",OPERATIONAL,"['rv_park', 'campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
38,Bay Side Campsite,ChIJO6_B12uFP4YRTvQWHVICRvU,Galveston,"{'lat': 29.2106105, 'lng': -94.9553701}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
39,Galveston,ChIJh6WYMzudP4YR4-E8Q8xkZOc,"6702 Seawall Boulevard, Galveston","{'lat': 29.2651551, 'lng': -94.83295439999999}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
40,Tiki Island Park,ChIJ_x4L6UuDP4YRicq_lbR_MHE,"Tiki Drive, Tiki Island","{'lat': 29.2970476, 'lng': -94.9145461}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
41,Bayside Mobile Home Park,ChIJGzIdDs54P4YRmqrDYN2qZzA,"1818 Main Street, La Marque","{'lat': 29.3593559, 'lng': -94.97107690000001}",OPERATIONAL,"['campground', 'rv_park', 'travel_agency', 'real_estate_agency', 'park', 'lodging', 'point_of_interest', 'establishment']"
42,Highland Village Mobile Home Park,ChIJe9vJb7N_P4YRCRDHjwqfO1U,"5500 Farm to Market 2004, Hitchcock","{'lat': 29.367576, 'lng': -95.033064}",OPERATIONAL,"['campground', 'rv_park', 'park', 'lodging', 'point_of_interest', 'establishment']"
43,USA RV park,ChIJrT3ID49_P4YRNH7BigU7BfI,"4314 Farm to Market 2004, Texas City","{'lat': 29.384034, 'lng': -95.01388490000001}",OPERATIONAL,"['campground', 'park', 'lodging', 'point_of_interest', 'establishment']"
44,Enterprise Rent-A-Car,ChIJcajIOLSdP4YRat29hIStj68,"5919 Broadway Avenue J, Galveston","{'lat': 29.2881934, 'lng': -94.8350507}",OPERATIONAL,"['car_rental', 'point_of_interest', 'establishment']"
