,Name,place_id,Address,Coordinates,business_status,types,delivery,dine_in,takeout,price_level,rating,user_ratings_total,serves_breakfast,serves_brunch,serves_lunch,serves_dinner,serves_vegetarian_food,serves_beer,serves_wine,category,business_hours_x,business_hours_text_x,business_hours_y,business_hours_text_y
0,The Galley,ChIJsUcIaOOdP4YR--DKKZ5UIok,"602 Seawolf Parkway, Galveston","{'lat': 29.3184692, 'lng': -94.8150284}",CLOSED_TEMPORARILY,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,,,1.0,4.0,39.0,,,,,,,,bar,,,,
1,Galveston,ChIJWZIFxMhZP4YRwezquckDi-U,Galveston,"{'lat': 29.3013479, 'lng': -94.7976958}",,"['locality', 'political']",,,,,,,,,,,,,,locality,,,,
2,Texas A&M University at Galveston,ChIJpWF4AeKcP4YRr1_9-oDh0Ew,"200 Seawolf Parkway, Galveston","{'lat': 29.3154967, 'lng': -94.8182868}",OPERATIONAL,"['university', 'point_of_interest', 'establishment']",,,,,4.6,121.0,,,,,,,,university,,,,
3,Tiger Tanks Offshore Rental,ChIJad4FLSKeP4YRGZT8XY5jKMc,"1300 Coastwide Road, Galveston","{'lat': 29.324723, 'lng': -94.787048}",OPERATIONAL,"['general_contractor', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,general_contractor,,,,
4,T & T Offshore,ChIJP1ldXhWeP4YRDhsP8J3BP4Y,"2915 Todd Road, Galveston","{'lat': 29.3127289, 'lng': -94.8026897}",OPERATIONAL,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,4.5,52.0,,,,,,,,car_repair,,,,
5,Seawolf Park,ChIJScjoM4Z1P4YRn7skEj0DzxI,"100 Seawolf Park Boulevard, Galveston","{'lat': 29.3349069, 'lng': -94.7791724}",OPERATIONAL,"['park', 'point_of_interest', 'establishment']",,,,,4.4,3243.0,,,,,,,,park,"[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0500'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0500'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0500'}}]","['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009–\u200911:00\u202fPM']","[{'close': {'day': 0, 'time': '2300'}, 'open': {'day': 0, 'time': '0500'}}, {'close': {'day': 1, 'time': '2300'}, 'open': {'day': 1, 'time': '0700'}}, {'close': {'day': 2, 'time': '2300'}, 'open': {'day': 2, 'time': '0700'}}, {'close': {'day': 3, 'time': '2300'}, 'open': {'day': 3, 'time': '0700'}}, {'close': {'day': 4, 'time': '2300'}, 'open': {'day': 4, 'time': '0700'}}, {'close': {'day': 5, 'time': '2300'}, 'open': {'day': 5, 'time': '0500'}}, {'close': {'day': 6, 'time': '2300'}, 'open': {'day': 6, 'time': '0500'}}]","['Monday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Tuesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Wednesday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Thursday: 7:00\u202fAM\u2009–\u200911:00\u202fPM', 'Friday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Saturday: 5:00\u202fAM\u2009–\u200911:00\u202fPM', 'Sunday: 5:00\u202fAM\u2009–\u200911:00\u202fPM']"
6,University Apartments,ChIJsUcIaOOdP4YR4dBE8pgxDMI,"602 Seawolf Parkway, Galveston","{'lat': 29.3179901, 'lng': -94.81410950000001}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,2.5,51.0,,,,,,,,point_of_interest,"[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1600'}, 'open': {'day': 6, 'time': '0900'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']"
7,Galveston County Apartment Association,ChIJ582fFT-cP4YR7_XiOE7_-p8,"Building E, 6511 Stewart Road, Suite 5, Galveston","{'lat': 29.3171027, 'lng': -94.8147491}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,5.0,2.0,,,,,,,,point_of_interest,"[{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","[{'close': {'day': 1, 'time': '1600'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1600'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1600'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1600'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '0900'}}]","['Monday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']"
8,Shell Pelican Island Heliport,ChIJBdQCEyOeP4YR_Ry9JwurrT8,Galveston,"{'lat': 29.3227361, 'lng': -94.7868622}",OPERATIONAL,"['airport', 'point_of_interest', 'establishment']",,,,,,,,,,,,,,airport,,,,
9,Dalley,ChIJsUcIaOOdP4YRECxF_AJ1ELo,"602 Seawolf Parkway, Galveston","{'lat': 29.3185249, 'lng': -94.8151456}",OPERATIONAL,"['point_of_interest', 'establishment']",,,,,,,,,,,,,,point_of_interest,,,,
