,Unnamed: 0.1,index,Unnamed: 0,yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours_x,business_hours_text_x,business_hours_y,business_hours_text_y,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,geometry,hours_open
0,0,0,0,YAASmrPYP5Hp31kqadx__w,Cajun Greek,https://s3-media3.fl.yelpcdn.com/bphoto/LKcJcifFU4V8-WLfd7CXDw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/cajun-greek-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 744-7041,999.0,restaurant,4.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/LKcJcifFU4V8-WLfd7CXDw/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/OS8KBOES4iI8gkDX8xrqWQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/f2vT4Oh3TBMjjW6eiZJhOg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1600', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.2769392,-94.8316408,REGULAR,"2226 61st St Galveston, TX 77551",,,,,,,,"Cajun Greek2226 61st St Galveston, TX 77551","Sugar Bean Coffee and Cream11 Evia Main Ste 101 Galveston, TX 77554",86,POINT (-94.8316408 29.2769392),
1,1,1,1,CyhcrbaQ4Wjbud9rd9HJnQ,Shrimp N Stuff,https://s3-media4.fl.yelpcdn.com/bphoto/oFhJ9EwNl4tgl0Dr_Zdh5A/o.jpg,OPERATIONAL,https://www.yelp.com/biz/shrimp-n-stuff-galveston-4?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 763-2805,1441.0,restaurant,4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/oFhJ9EwNl4tgl0Dr_Zdh5A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/QLRHN4JBlHUhCJKreVgjTg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/jXEKYpdOQdNjvI5HPmVy8A/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 3}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1030', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '2030', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.28874,-94.80844,REGULAR,"3901 Ave O Galveston, TX 77550",,,,,,,,"Shrimp N Stuff3901 Ave O Galveston, TX 77550","Sugar Bean Coffee and Cream11 Evia Main Ste 101 Galveston, TX 77554",86,POINT (-94.80844 29.28874),
2,2,2,2,doSYFMDc3somcL4YKQb2FA,Gypsy Joynt,https://s3-media1.fl.yelpcdn.com/bphoto/0fZzqvcL76Tnm25xu9Kyvg/o.jpg,OPERATIONAL,https://www.yelp.com/biz/gypsy-joynt-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 497-2069,622.0,restaurant,4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/0fZzqvcL76Tnm25xu9Kyvg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/SP46rp7RqBN_TXTpifrIFw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/JWlUlQsL5RRIPBq3uk_9hg/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.2741723877485,-94.8316475822502,REGULAR,"6105 Stewart Rd Galveston, TX 77551",,,,,,,,"Gypsy Joynt6105 Stewart Rd Galveston, TX 77551","Gypsy Joynt6105 Stewart Road, Galveston",88,POINT (-94.8316475822502 29.2741723877485),
3,3,3,3,C4dQLeweVAez_gVuk9A60g,Seahorse Grill,https://s3-media2.fl.yelpcdn.com/bphoto/ZWXpfTDtQFt8-fhp5bzN1g/o.jpg,OPERATIONAL,https://www.yelp.com/biz/seahorse-grill-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 741-8400,237.0,restaurant,4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/ZWXpfTDtQFt8-fhp5bzN1g/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/gcSVzl5sCpXsvlmnkPpqTw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/SodiF-kZvetqTROymk4Jcw/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.244487190776,-94.868038059798,REGULAR,"3802 Cove View Blvd Ste C Galveston, TX 77554",,,,,,,,"Seahorse Grill3802 Cove View Blvd Ste C Galveston, TX 77554","Terramar BeachGalveston, TX 77554",86,POINT (-94.868038059798 29.244487190776),
4,4,4,4,oxKepiR0j31RPOL9KcNwdQ,Bronco Burritos,https://s3-media2.fl.yelpcdn.com/bphoto/ouEDxPGwIBwiLjGt2n25JA/o.jpg,OPERATIONAL,https://www.yelp.com/biz/bronco-burritos-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 762-9344,289.0,restaurant,4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/ouEDxPGwIBwiLjGt2n25JA/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/5wNFo_8y2V9wHW0uJOjmgQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/4JJjxu6OtDKin1-NTYwhcg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",29.2917656429058,-94.822378320166,REGULAR,"4917 Broadway St Galveston, TX 77551",,,,,,,,"Bronco Burritos4917 Broadway St Galveston, TX 77551","Tipsy Turtle Seaside Bar & Grill11745 Termini-San Luis Pass Rd Galveston, TX 77554",86,POINT (-94.822378320166 29.2917656429058),
5,5,5,5,R_chB0qZRoTz4hs-pl-ppw,Jimmy's on the Pier,https://s3-media2.fl.yelpcdn.com/bphoto/Bun6pJDRWeC-QK130pU_0w/o.jpg,OPERATIONAL,https://www.yelp.com/biz/jimmys-on-the-pier-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 974-4726,951.0,restaurant,3.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/Bun6pJDRWeC-QK130pU_0w/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/GVhQYX7dgMZa1P__2C-oKQ/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/eRiU3vK83Mb2S_2NXh0zaQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': True, 'start': '1100', 'end': '0100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.25064,-94.85324,REGULAR,"9001 Seawall Blvd Galveston, TX 77554",,,,,,,,"Jimmy's on the Pier9001 Seawall Blvd Galveston, TX 77554","Terramar BeachGalveston, TX 77554",86,POINT (-94.85324 29.25064),
6,6,6,6,ngfKzzzN3IUtVLLwLi1sNQ,Viet Cajun,https://s3-media1.fl.yelpcdn.com/bphoto/bYDJL5VlC4ESeJykMDaD2w/o.jpg,OPERATIONAL,https://www.yelp.com/biz/viet-cajun-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 497-2216,224.0,restaurant,4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/bYDJL5VlC4ESeJykMDaD2w/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/vA-Lr_zmkbnr5JcLv6RTMQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/6H9cFt_7714sAvlRx4fsbQ/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2000', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2100', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",29.25173,-94.85317,,,,,,,,,,,GalvestonGalveston,60,POINT (-94.85317 29.25173),
7,7,7,7,XpRHPO08QLLXhKEhj2ADTg,Sugar Bean Coffee and Cream,https://s3-media1.fl.yelpcdn.com/bphoto/zC7ShFrCbNPrZr2ogO-rng/o.jpg,OPERATIONAL,https://www.yelp.com/biz/sugar-bean-coffee-and-cream-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 974-4473,171.0,restaurant,4.5,"['https://s3-media1.fl.yelpcdn.com/bphoto/zC7ShFrCbNPrZr2ogO-rng/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/he4TvEUNBlqSbGKITpaPUw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Wifdg4pg5O8Cgz8c567yww/o.jpg']",$$,"[{'open': [{'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '0700', 'end': '1900', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.2613716,-94.870235,REGULAR,"11 Evia Main Ste 101 Galveston, TX 77554",,,,,,,,"Sugar Bean Coffee and Cream11 Evia Main Ste 101 Galveston, TX 77554","Cajun Greek2226 61st St Galveston, TX 77551",86,POINT (-94.870235 29.2613716),
8,8,8,8,8zdPEZsyhVHBae7v6llb4g,Soul 2 Soul Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/yaHOrJAy5xHU5ZsnTQTUzw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/soul-2-soul-cafe-galveston-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 539-4351,110.0,restaurant,5.0,"['https://s3-media2.fl.yelpcdn.com/bphoto/yaHOrJAy5xHU5ZsnTQTUzw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/RyDtYZbDSvlUhLZVn9JroA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/IMdcU1y1IASUyVqrsUSoPg/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",29.290994381217,-94.8263381380025,REGULAR,"5300 Broadway Ave J Galveston, TX 77551",,,,,,,,"Soul 2 Soul Cafe5300 Broadway Ave J Galveston, TX 77551","Terramar BeachGalveston, TX 77554",86,POINT (-94.8263381380025 29.290994381217),
9,9,9,9,yETihf0c4nVWWXMhQgd2UA,Yamato Japanese Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/g-a6_C5JMh5tmrCZTmKo0Q/o.jpg,OPERATIONAL,https://www.yelp.com/biz/yamato-japanese-restaurant-galveston?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(409) 744-2742,367.0,restaurant,4.0,"['https://s3-media4.fl.yelpcdn.com/bphoto/g-a6_C5JMh5tmrCZTmKo0Q/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/a0rUFt48k6YX34_sob4MlQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/0qQlEbYNdWfGgFUCtbgBNw/o.jpg']",$$$,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1700', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1700', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",29.2779048,-94.8321044,REGULAR,"2104 61st St Galveston, TX 77551",,,,,,,,"Yamato Japanese Restaurant2104 61st St Galveston, TX 77551","Terramar BeachGalveston, TX 77554",86,POINT (-94.8321044 29.2779048),
