,Name,place_id,Address,Coordinates,business_status,types
0,Baypointe Manor Apartments,ChIJx2rkZ3V5P4YRsWL9KCSDm9w,"2701 13th Ave N, Texas City","{'lat': 29.3965673, 'lng': -94.93472779999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
1,Veranda,ChIJQ3N6ahR5P4YRzCcg3fFv1BU,"3700 9th Ave N, Texas City","{'lat': 29.39241, 'lng': -94.95376379999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
2,Terraces Apartments,ChIJNSOm9o95P4YRdwuwvYGdYPc,"2602 21st St N, Texas City","{'lat': 29.4095159, 'lng': -94.92460849999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
3,Windsor Estates Apartments,ChIJHSxGTnF-P4YRNvi-UxVwEl0,"2801 FM 2004 road, 2700 Gulf Fwy, Texas City","{'lat': 29.4099828, 'lng': -95.0314811}",OPERATIONAL,"['point_of_interest', 'establishment']"
4,Coral Manor Apartments,ChIJr3ro38R5P4YR7VSzmEIC-Fw,"729 5th Ave N, Texas City","{'lat': 29.3890037, 'lng': -94.9050365}",OPERATIONAL,"['point_of_interest', 'establishment']"
5,The Five Points at Texas Apartments,ChIJ1WRDLAZ5P4YRIHK91HVPLRs,"2902 Texas Ave, Texas City","{'lat': 29.3845618, 'lng': -94.9378997}",OPERATIONAL,"['point_of_interest', 'establishment']"
6,Palmer House Apartments,ChIJdTItLKJ5P4YRMjQWSNAEUpY,"2405 Palmer Hwy, Texas City","{'lat': 29.3941697, 'lng': -94.9295089}",OPERATIONAL,"['point_of_interest', 'establishment']"
7,Glacier Court Apartments,ChIJM1wlGvF-P4YR1aS6Jx9uUFI,"9001 Glacier Ave, Texas City","{'lat': 29.385873, 'lng': -95.0122674}",OPERATIONAL,"['point_of_interest', 'establishment']"
8,Pointe Ann Apartments,ChIJ_6fmHcJ5P4YRe3f4spIg8a0,"1225 10th St N, Texas City","{'lat': 29.3963726, 'lng': -94.909072}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
9,Del Sol Apartments,ChIJIx20g2V5P4YRO-jHaopmDPM,"3501 25th Ave N, Texas City","{'lat': 29.407339, 'lng': -94.94948629999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
10,Boterra at Lago Mar,ChIJU9I_let_P4YRAbaWJdlKxEU,"3301 Gulf Fwy, Texas City","{'lat': 29.4127931, 'lng': -95.0462702}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
11,Broadwater Apartments,ChIJ4eNrrjicP4YRJzGHpANfhjE,"6315 Central City Blvd, Galveston","{'lat': 29.2674733, 'lng': -94.83087169999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
12,Oak Village Apartments,ChIJA9sFgSx5P4YRX9yxQdT45Ts,"810 1st St, La Marque","{'lat': 29.3783004, 'lng': -94.96591579999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
13,Las Villas Apartments,ChIJUY_YS0-eP4YRzTZGec36hRg,Galveston,"{'lat': 29.3033559, 'lng': -94.77843449999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
14,The Crossings at 31st Street Apartments,ChIJo8ftrHR5P4YR-y7JULehDrg,"1320 31st St N, Texas City","{'lat': 29.3962687, 'lng': -94.94039749999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
15,Shoal Pointe Apartments,ChIJI01FRd95P4YRDzn7W17ePBg,"813 Bay St N APT 85, Texas City","{'lat': 29.3929763, 'lng': -94.8942569}",OPERATIONAL,"['point_of_interest', 'establishment']"
16,Horizon Meadows Apartments,ChIJ2wGmYL55P4YRFZUjk3RIxJ8,"1903 Main St, La Marque","{'lat': 29.3575556, 'lng': -94.9718936}",OPERATIONAL,"['point_of_interest', 'establishment']"
17,Village Manor Apartments,ChIJ6yn24QeBQIYRxT5fWLCNeoE,"4314 Avenue Q 1/2, Santa Fe","{'lat': 29.378469, 'lng': -95.10303499999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
18,Bent Oaks Apartments,ChIJp4_gLnN_P4YRwWAUqN3coqo,"7410 Hwy 6, Hitchcock","{'lat': 29.3477205, 'lng': -95.0095462}",OPERATIONAL,"['point_of_interest', 'establishment']"
19,Meadows on the Mainland Apartments,ChIJ0yrSDVN_P4YRyKFY7AzB9-M,"6601 Memorial Dr, Texas City","{'lat': 29.3911557, 'lng': -94.9856113}",OPERATIONAL,"['point_of_interest', 'establishment']"
20,Tremont Street Apartments,ChIJK6k-7WeeP4YRiY5JhovJPcs,"1417 23rd St, Galveston","{'lat': 29.296061, 'lng': -94.790744}",OPERATIONAL,"['point_of_interest', 'establishment']"
21,Catalon at Lago Mar Apartments,ChIJe-sgoQiCQIYRe2KiJm95dk8,"6130 Lago Mar Blvd, Texas City","{'lat': 29.4266309, 'lng': -95.06329079999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
22,Costa Mariposa,ChIJidMEgbh-P4YR6aR084RHEUs,"7555 Medical Center Dr, Texas City","{'lat': 29.3948169, 'lng': -94.9955372}",OPERATIONAL,"['point_of_interest', 'establishment']"
23,Bayou Gardens Apartments,ChIJTwPTmqB_P4YRt4QFpnOQi4g,"8010 Hwy 6, Hitchcock","{'lat': 29.3507552, 'lng': -95.0190008}",OPERATIONAL,"['point_of_interest', 'establishment']"
24,Parkwood Apartments,ChIJ6-S8oZ95P4YR_VHEMT79WRM,"1403 N Logan St, Texas City","{'lat': 29.3981761, 'lng': -94.9312521}",OPERATIONAL,"['point_of_interest', 'establishment']"
25,Cedar Drive Apartments,ChIJFS9SgtZ4P4YRMu1sGRG2eXM,"3978-0000-0005-001, La Marque","{'lat': 29.371515, 'lng': -94.96424209999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
26,Mariposa Apartment Homes at Bay Colony,ChIJBUVqkIJ9P4YReMgfPyJJRlU,"1101 Farm to Market 517 Rd W, Dickinson","{'lat': 29.441259, 'lng': -95.1012858}",OPERATIONAL,"['point_of_interest', 'establishment']"
27,LaMans Apartments,ChIJs8_rsKR5P4YRPZxSKPquQYQ,"2102 5th Ave N, Texas City","{'lat': 29.3893738, 'lng': -94.92535559999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
28,Gulfwind Apartments,ChIJ0wQ3ImecP4YRNgBJaMr0lUM,"8020 Stewart Rd, Galveston","{'lat': 29.258242, 'lng': -94.84571199999999}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
29,Enchanted Oaks Apartments,ChIJXaROtKl_P4YR5CDKwlJeI44,"5825 Delany Rd, Hitchcock","{'lat': 29.3617203, 'lng': -95.0197326}",OPERATIONAL,"['point_of_interest', 'establishment']"
30,Highland Pointe Apartments,ChIJ6Z0dv6l_P4YROAhPwWnMnow,"5809 Delany Rd, Hitchcock","{'lat': 29.3631302, 'lng': -95.01983059999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
31,Stone Ridge Apartments,ChIJlTGfpxV5P4YR2ezb1I6r1h8,"1115 N Hwy 146, Texas City","{'lat': 29.3936319, 'lng': -94.95356439999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
32,71st Apartment,ChIJVVVVVUmcP4YRUV6_uvRLGlA,"1900 Biovu Dr, Galveston","{'lat': 29.2784907, 'lng': -94.8364665}",OPERATIONAL,"['point_of_interest', 'establishment']"
33,Trinity Oaks Apartment Homes,ChIJIZ5f2wx_P4YRhkrWPH5EZ5c,"7440 Hwy 6, Hitchcock","{'lat': 29.3474351, 'lng': -95.0111701}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
34,Morning Star Villas,ChIJaWIdkGx5P4YRbLWQs4E3LOY,"3505 Magnolia Ave., Texas City","{'lat': 29.3980025, 'lng': -94.9499888}",OPERATIONAL,"['point_of_interest', 'establishment']"
35,Driftwood Apartments,ChIJ8aLBh0GcP4YR-9yYNoG6Ew8,"7019 Lasker Dr, Galveston","{'lat': 29.2629887, 'lng': -94.8360101}",OPERATIONAL,"['point_of_interest', 'establishment']"
36,Mainland Apartments,ChIJA7S1JFZ5P4YR2_9ZLJ-XMOI,"624 8th Ave N, Texas City","{'lat': 29.3926024, 'lng': -94.90332459999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
37,Ashton Place Apartments,ChIJA0-H00OcP4YRrTO1NvOSFP0,"3219 69th St, Galveston","{'lat': 29.2655199, 'lng': -94.83648579999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
38,Colonial Square Apartments,ChIJYQQHm0qeP4YR1lTTF7sO2aQ,"402 Postoffice St, Galveston","{'lat': 29.3103784, 'lng': -94.772291}",OPERATIONAL,"['point_of_interest', 'establishment']"
39,The Cambria,ChIJT3Fa2m55P4YR0AkhHSOGzAM,"2020 36th St N, Texas City","{'lat': 29.4041417, 'lng': -94.950273}",OPERATIONAL,"['point_of_interest', 'establishment']"
40,Ferry Road Apartments,ChIJx8qFDy2eP4YRdv59yjW92FE,"810 Ferry Rd, Galveston","{'lat': 29.3236586, 'lng': -94.77115889999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
41,Lakeview Apartments,ChIJXYMUsY1-P4YRBTkffKFITQc,"8801 Emmett F Lowry Expy, Texas City","{'lat': 29.397555, 'lng': -95.010031}",OPERATIONAL,"['point_of_interest', 'establishment']"
42,Driftwood Apartments,ChIJIzEToc95P4YRwNRn0bT_kfk,"2205 9th Ave N, Texas City","{'lat': 29.3929844, 'lng': -94.9268386}",OPERATIONAL,"['point_of_interest', 'establishment']"
43,Villas on the Strand,ChIJ9wTMXz-eP4YRpQtUhAabp4Q,"1524 Ave B, The Strand, Galveston","{'lat': 29.3094916, 'lng': -94.78612470000002}",OPERATIONAL,"['point_of_interest', 'establishment']"
44,William B Travis Apartments,ChIJrW3iPyycP4YR-1_H6sVSICs,"4818 Avenue R 1/2, Galveston","{'lat': 29.2803228, 'lng': -94.8170245}",OPERATIONAL,"['point_of_interest', 'establishment']"
45,Costa Azul Apartments,ChIJR0TZrBN5P4YRhbQ0n3JDbd4,"3404 9th Ave N, Texas City","{'lat': 29.3925064, 'lng': -94.9481023}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
46,Antigua Apartments,ChIJ1eqO7macP4YRgdcEGAJJ0Yc,"8008 Seawall Blvd, Galveston","{'lat': 29.2565281, 'lng': -94.845051}",OPERATIONAL,"['point_of_interest', 'establishment']"
47,Palm Shore Apartments,ChIJJTuGGjOfP4YRWdJJYdhVyu8,"417 Church St, Galveston","{'lat': 29.3085594, 'lng': -94.7721023}",OPERATIONAL,"['point_of_interest', 'establishment']"
48,Seaside Village Apartments,ChIJ25pFtSicP4YRNs2I1pV4r_o,"4925 Fort Crockett Blvd, Galveston","{'lat': 29.27402, 'lng': -94.8160026}",OPERATIONAL,"['point_of_interest', 'establishment']"
49,University Place Apartments,ChIJ_ahFoUmeP4YRLH6zXdJdOso,"711 St Marys Blvd, Galveston","{'lat': 29.3070758, 'lng': -94.7758444}",OPERATIONAL,"['point_of_interest', 'establishment']"
50,Viento Sereno Apartments,ChIJlZA2mB2fQIYRaSSqIHNWIkI,"5510 Avenue M apt #5, Galveston","{'lat': 29.2878693, 'lng': -94.8282868}",OPERATIONAL,"['point_of_interest', 'establishment']"
51,Savan Villas Apartments,ChIJi1K1eZJ-P4YROtvtxfGoBk8,"8601 Emmett F Lowry Expy, Texas City","{'lat': 29.397375, 'lng': -95.0077191}",OPERATIONAL,"['point_of_interest', 'establishment']"
52,Magnolia bend apartment,ChIJYbhqWlt5P4YR8yYzntqYx4s,"2902 Texas Ave, Texas City","{'lat': 29.3840583, 'lng': -94.93830179999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
53,The Oceanfront Galveston Apartments,ChIJbT4ctWecP4YRLCPGQYa3pm0,"7820 Seawall Blvd, Galveston","{'lat': 29.2578194, 'lng': -94.84304039999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
54,Waterfront Apartments Galveston,ChIJx-PUb7WdP4YRg-ovXyJeA-Y,"1400 Bayou Shore Dr, Galveston","{'lat': 29.2862019, 'lng': -94.8323339}",OPERATIONAL,"['point_of_interest', 'establishment']"
55,Delany Court Apartments,ChIJ9yWKiR1_P4YRlj5gqWpOIYQ,"5825 Delany Rd, Hitchcock","{'lat': 29.3616995, 'lng': -95.0197494}",OPERATIONAL,"['point_of_interest', 'establishment']"
56,Santa Fe Plaza Apartments,ChIJSZ2hArGBQIYRsibcPnP2NIg,"12200 11th St # 49, Santa Fe","{'lat': 29.37659, 'lng': -95.0879416}",OPERATIONAL,"['point_of_interest', 'establishment']"
57,Ebbtide Apartments,ChIJgQ0WMjWeP4YRq_iG7NfqMBc,"100 Market St, Galveston","{'lat': 29.3121201, 'lng': -94.7692165}",OPERATIONAL,"['point_of_interest', 'establishment']"
58,Villa Marina Apartments,ChIJ4VrmwjSeP4YRsIYTXh1w6YQ,"210 Harborside Dr, Galveston","{'lat': 29.3144248, 'lng': -94.7711964}",OPERATIONAL,"['point_of_interest', 'establishment']"
59,Mansions at Moses Lake Apartments,ChIJsYiPcYZ5P4YRduJe3vL8wKk,"2211 34th St N, Texas City","{'lat': 29.406054, 'lng': -94.9481907}",OPERATIONAL,"['real_estate_agency', 'point_of_interest', 'establishment']"
60,Dove Cove Condominiums,ChIJPcRjiZZ-P4YReSJxHdIZ2A8,"1862 Dogwood St, Texas City","{'lat': 29.4007663, 'lng': -95.00097650000001}",OPERATIONAL,"['point_of_interest', 'establishment']"
61,Gatsby Condos,ChIJCZQU-pV-P4YRCSQ6Lb67ZLo,"7600 Emmett F Lowry Expy, Texas City","{'lat': 29.399293, 'lng': -94.99774289999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
62,Harbor East Condominiums,ChIJv4hYtzKeP4YRwD5RgipY-5U,"500 Ferry Rd, Galveston","{'lat': 29.3203292, 'lng': -94.7700423}",OPERATIONAL,"['point_of_interest', 'establishment']"
63,The Palms at Cove View Condominiums,ChIJz24hjpmcP4YR0a6bvm2iSUw,"3506 Cove View Blvd, Galveston","{'lat': 29.2467063, 'lng': -94.8685012}",OPERATIONAL,"['point_of_interest', 'establishment']"
64,Mariner House Condominiums,ChIJR5W0WzWeP4YR4wzriXUqFGU,"215 Postoffice St, Galveston","{'lat': 29.3105544, 'lng': -94.7700576}",OPERATIONAL,"['point_of_interest', 'establishment']"
65,The Dawn Condominium Association,ChIJaXgtA0KcP4YRZdBUcOPsCoM,"7000 Seawall Blvd, Galveston","{'lat': 29.2616766, 'lng': -94.8365809}",OPERATIONAL,"['point_of_interest', 'establishment']"
66,Maravilla Condos,ChIJ0TRchYWcP4YRsSayVep3UR0,"9520 Seawall Blvd, Galveston","{'lat': 29.2479248, 'lng': -94.8593592}",OPERATIONAL,"['point_of_interest', 'establishment']"
67,Ocean Grove Condominiums,ChIJ3YL-XY-cP4YRFl02RLIkfrA,"9420 Seawall Blvd, Galveston","{'lat': 29.2487139, 'lng': -94.8581699}",OPERATIONAL,"['point_of_interest', 'establishment']"
68,By the Sea Condominiums,ChIJU2Ls2GmcP4YRgFjBtPbhIFk,"7310 Seawall Blvd, Galveston","{'lat': 29.2605475, 'lng': -94.8378994}",OPERATIONAL,"['point_of_interest', 'establishment']"
69,SeaScape Condos,ChIJ8yzhNp-cP4YRry-2JYcSqT8,"10811 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2420043, 'lng': -94.8713989}",OPERATIONAL,"['point_of_interest', 'establishment']"
70,Harborside Condominiums Owners,ChIJjWev0WqeP4YRUMYAIb8c-oA,"104 21st St, Galveston","{'lat': 29.3084218, 'lng': -94.79217609999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
71,Exclesior Condominiums,ChIJ8cmbhDWeP4YRGJcRcPeEAvU,"402 Postoffice St, Galveston","{'lat': 29.3102951, 'lng': -94.77202989999999}",OPERATIONAL,"['beauty_salon', 'general_contractor', 'point_of_interest', 'establishment']"
72,Emerald by the Sea Condominium,ChIJuVOiq0ueP4YRdwlSdJgfXIM,"500 Seawall Blvd, Galveston","{'lat': 29.3068899, 'lng': -94.77255099999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
73,Palisade Palms,ChIJD86kKcSfP4YRFFru1qwvMZM,"801 E Beach Dr, Galveston","{'lat': 29.3159962, 'lng': -94.75462669999999}",OPERATIONAL,"['point_of_interest', 'establishment']"
74,Riviera Condos,ChIJ76mZPLCEP4YRP4oHIz4BMH8,"11949 Termini-San Luis Pass Rd, Galveston","{'lat': 29.2231305, 'lng': -94.9024369}",OPERATIONAL,"['point_of_interest', 'establishment']"
