,Name,place_id,Address,Coordinates,business_status,types,category
0,Hele-On Mo'oheau Bus Terminal,ChIJLyDl7VdLUnkRIMdr1X1Hass,"329 Kamehameha Avenue, Hilo","{'lat': 19.7240487, 'lng': -155.0846213}",OPERATIONAL,"['bus_station', 'transit_station', 'point_of_interest', 'establishment']",bus_station
1,329 Kamehameha Ave Parking,ChIJgQ2O5ldLUnkR420lWey9j-Q,"329 Kamehameha Avenue, Hilo","{'lat': 19.72450809999999, 'lng': -155.0850912}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
2,301 Kamehameha Ave Parking,ChIJgQ2O5ldLUnkRvObF0Ps_Xd0,"301 Kamehameha Avenue, Hilo","{'lat': 19.72450809999999, 'lng': -155.0850912}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
3,Parking lot,ChIJ81DZMVZLUnkR0iqckIv2jzk,Hilo,"{'lat': 19.724665, 'lng': -155.087296}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
4,Hilo Waianuenue Avenue @ Hilo High School,ChIJaSJmVau0U3kRDMuD498IXjc,United States,"{'lat': 19.721083, 'lng': -155.095889}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
5,Ponahawai Street @ Kapiolani and Kinoole St,ChIJ73KBOFFLUnkRxpkk02Rsogw,United States,"{'lat': 19.7190469, 'lng': -155.0883482}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
6,Ponahawai Street @ (across) Ka Waena Lapa'au Medical Center,ChIJow5EzrK0U3kRzJhdjrTTWfE,United States,"{'lat': 19.7135914, 'lng': -155.0962677}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
7,Hilo Library,ChIJS0fjwlVLUnkRHIkgB9fzHj4,United States,"{'lat': 19.724278, 'lng': -155.090722}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
8,Central Fire Station,ChIJjZBUJFdLUnkRQ76Mtw90tpg,United States,"{'lat': 19.7205063, 'lng': -155.0863425}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
9,Hilo Post Office,ChIJ_5OUHVZLUnkRI-hUzypEBms,United States,"{'lat': 19.725472, 'lng': -155.088833}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
10,Kekaulike Street near Shipman St,ChIJbaDj5alMUnkRAj6T2QhttIA,United States,"{'lat': 19.726167, 'lng': -155.08875}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
11,Wainaku Street @ Ohai Street Wainaku Store,ChIJFRiwPqpMUnkRpiA322nLkAU,United States,"{'lat': 19.727555, 'lng': -155.091007}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
12,Wainaku Clem Akina Park,ChIJubxvtKtMUnkRS7Md4gXfDUU,United States,"{'lat': 19.728949, 'lng': -155.091645}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
13,Wailoa St @ farside of Ululani St (Office on Aging),ChIJuQ-wUUVLUnkRf_Vv4OWeZak,United States,"{'lat': 19.71316699999999, 'lng': -155.083306}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
14,Bayfront Park and Ride (Kamehameha Ave @ Pauahi St),ChIJJRuUQ1hLUnkRPeXo5KU8y8k,United States,"{'lat': 19.722861, 'lng': -155.081944}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
15,Mokupane Point @ Puueo Street and Kanoa Street,ChIJxwF3WKlMUnkRcX950kRGd7s,United States,"{'lat': 19.730417, 'lng': -155.089833}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
16,Mohouli Street @ Kumukoa Street,ChIJgfkVe0lLUnkRDAimlA9833o,United States,"{'lat': 19.706833, 'lng': -155.089361}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
17,Mohouli Street @ Kapiolani Street,ChIJl-a3iEVLUnkRTsu-rUzKWFc,United States,"{'lat': 19.710139, 'lng': -155.083583}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
18,Banyan Drive @ across Liliʻuokalani Park and Gardens,ChIJkYraTJ5MUnkR_LoDteU-BsY,United States,"{'lat': 19.724489, 'lng': -155.069027}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
19,Banyan Drive @ Liliʻuokalani Park and Gardens,ChIJnVGysp9MUnkRCTNPz83bFgA,United States,"{'lat': 19.724652, 'lng': -155.0690925}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
20,Banyan Drive @ across Grand Naniloa Hotel,ChIJs21S7JtMUnkRoPh8JzVfqLc,United States,"{'lat': 19.728422, 'lng': -155.064857}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
21,Banyan Drive @ Grand Naniloa Hotel,ChIJ1aWp7ptMUnkRi72v7QCECos,United States,"{'lat': 19.7285732, 'lng': -155.0650097}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
22,Kalanianaole Ave @ Pond's Restaurant before Banyan Way,ChIJgQB1IZ1MUnkRDTC0zxX9y0g,United States,"{'lat': 19.724, 'lng': -155.061466}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
23,Hilo Civic Auditorium,ChIJ60PcxGBLUnkREOYo1eMOMl8,United States,"{'lat': 19.7181006, 'lng': -155.0698968}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
24,Kalanianaole Ave @ Kumau St - Oceanfront Kitchen,ChIJQThmcYRMUnkRYW4AJBdx54c,United States,"{'lat': 19.7267, 'lng': -155.056141}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
25,Kalanianaole Ave @ Silva St/Keaukaha Market,ChIJpT2vn4ZMUnkR2tyjU5gi-d0,United States,"{'lat': 19.727472, 'lng': -155.054089}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
26,Hilo Lagoon,ChIJMSISAVxLUnkR2PFEg4mn41E,United States,"{'lat': 19.718139, 'lng': -155.077722}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
27,Aupuni Street @ Pauahi Street (Aupuni Center County Building),ChIJcSnbWllLUnkRZJS4xYV3JEI,United States,"{'lat': 19.719167, 'lng': -155.078861}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
28,Ito,ChIJy6N5iYZLUnkRaJD2l42h2E8,"2450 Kekuanaoa Street, Hilo","{'lat': 19.7137378, 'lng': -155.0396159}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
29,Public Parking,ChIJifK3i4ZLUnkRFPoBL-T3efc,Hilo,"{'lat': 19.7137826, 'lng': -155.0396376}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
30,Cell Phone Lot,ChIJc8jlOIFLUnkRXCbj4udV5sg,Hilo,"{'lat': 19.714832, 'lng': -155.0431559}",,"['premise', 'parking', 'point_of_interest', 'establishment']",premise
31,Kalanianaole Ave @ Seaside Resturant,ChIJB2Nxd2xMUnkRDJNEC6vE_fI,United States,"{'lat': 19.73302, 'lng': -155.028359}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
32,Kalanianaole Ave @ Carlsmith Beach Park,ChIJUS78gGxMUnkRO2HSMyyXpCg,United States,"{'lat': 19.73288, 'lng': -155.027377}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
33,Kalanianaole Ave @ Onekahakaha Road - Onekahakaha Beach Park,ChIJY4o5f2ZMUnkRhOzHJ0T_hGU,United States,"{'lat': 19.734919, 'lng': -155.039096}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
34,Hilo Airport Road @ Hilo International Airport,ChIJI5x-8YZLUnkRI644nhRXy3c,United States,"{'lat': 19.71452799999999, 'lng': -155.039948}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
35,Kalanianaole Ave @ Pua Ave - UHH Pacific Aquaculture Center,ChIJRYK0tmJMUnkRy0FKEBc1ZkU,United States,"{'lat': 19.730881, 'lng': -155.047191}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
36,End of Kalanianaole Ave @ King's Landing/Richardson's Beach Park,ChIJH2C0ixdMUnkRAl6XzlYuLGo,United States,"{'lat': 19.73484599999999, 'lng': -155.0129149}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
37,Kings Landing,ChIJ1XhbERhMUnkRp9XVbwTrVKM,United States,"{'lat': 19.73531, 'lng': -155.011641}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
38,Hilo Mokuea St @ Akahana St / Hilo Post Office,ChIJXdT4FX9LUnkROCeXXgoE914,United States,"{'lat': 19.7156836, 'lng': -155.0501431}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
39,Hilo Mokuea St @ Across Hilo Post Office,ChIJIfqmPX9LUnkRB7kx-VuQeP0,United States,"{'lat': 19.715585, 'lng': -155.0503384}",OPERATIONAL,"['transit_station', 'point_of_interest', 'establishment']",transit_station
40,Hale ‘Ikena,ChIJOZMxRzhLUnkRqtovHSA6VM8,"521 West Lanikaula Street, Hilo","{'lat': 19.700655, 'lng': -155.0823823}",OPERATIONAL,"['parking', 'point_of_interest', 'establishment']",parking
41,Zone 6 Parking Lot,ChIJ2eBmhkdLUnkRlcp1IFDiJpc,Hilo,"{'lat': 19.702573, 'lng': -155.0815943}",,"['parking', 'premise', 'point_of_interest', 'establishment']",parking
