order,Name,Address,Coordinates,lats,longs,euc_diff
0,"Moody Gardens Hotel, Spa and Convention Center","7 Hope Boulevard, Galveston",POINT (-94.85032249999999 29.2734603),29.2734603,-94.85032249999999,0.07841110502311097
1,Rainforest Cafe,"5310 Seawall Boulevard, Galveston",POINT (-94.8202072 29.2707531),29.2707531,-94.8202072,0.07092760127636587
2,Landry's Prime Seafood & Steaks,"5310 Seawall Boulevard, Galveston",POINT (-94.8202317 29.2707352),29.2707352,-94.8202317,0.0709486845130198
3,Number 13 Prime Steak and Seafood,"7809 Broadway Street, Galveston",POINT (-94.85753559999999 29.2850878),29.2850878,-94.85753559999999,0.07306709505903879
4,Fisherman's Wharf,"2200 Harborside Drive, Galveston",POINT (-94.7936367 29.3089314),29.3089314,-94.7936367,0.03625291054094099
5,The Spot,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),29.2836047,-94.7980051,0.058757953591872025
6,Shrimp N Stuff,"3901 Avenue O, Galveston",POINT (-94.8084087 29.2888755),29.2888755,-94.8084087,0.052182457538390604
7,Willie G's Seafood & Steaks,"2100 Harborside Drive, Galveston",POINT (-94.79280299999999 29.309303),29.309303,-94.79280299999999,0.03632361926171887
8,Nick's Kitchen and Beach Bar,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),29.2797917,-94.8040028,0.061569123174395814
9,Gaido's,"3828 Seawall Boulevard, Galveston",POINT (-94.80449999999999 29.2796255),29.2796255,-94.80449999999999,0.061683923543712924
10,Subway,"4908 Seawall Boulevard, Galveston",POINT (-94.8154952 29.273623),29.273623,-94.8154952,0.06757615283956002
11,Mario's Seawall Italian Restaurant,"628 Seawall Boulevard, Galveston",POINT (-94.77317719999999 29.3043293),29.3043293,-94.77317719999999,0.052345104098510974
12,Joe's Crab Shack,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.28157029999999),29.28157029999999,-94.8014962,0.06012542886798386
13,Papa's Pizza,"4400 Seawall Boulevard, Galveston",POINT (-94.809653 29.276502),29.276502,-94.809653,0.06451917932817586
14,Mosquito Cafe,"628 14th Street, Galveston",POINT (-94.7825488 29.3057145),29.3057145,-94.7825488,0.04503646981227114
15,Little Daddy’s Gumbo Bar - Galveston,"2107 Postoffice Street, Galveston",POINT (-94.79147340000002 29.304882),29.304882,-94.79147340000002,0.040843852714318916
16,Black Pearl Oyster Bar,"327 23rd Street, Galveston",POINT (-94.7940474 29.3054649),29.3054649,-94.7940474,0.03917949926729859
17,The Sunflower Bakery & Cafe,"512 14th Street, Galveston",POINT (-94.78297940000002 29.30704979999999),29.30704979999999,-94.78297940000002,0.043725194350415844
18,Saltwater Grill,"2017 Postoffice Street, Galveston",POINT (-94.79064299999999 29.3050765),29.3050765,-94.79064299999999,0.04106722174100327
19,Salsas,"4604 Seawall Boulevard, Galveston",POINT (-94.81181699999999 29.27554600000001),29.27554600000001,-94.81181699999999,0.06548235375487366
20,Tongs Happy Buddha,"2827 61st Street, Galveston",POINT (-94.8276992 29.2679191),29.2679191,-94.8276992,0.0750889835581315
21,Rudy & Paco Restaurant and Bar,"2028 Postoffice St, Galveston",POINT (-94.79108099999999 29.3053363),29.3053363,-94.79108099999999,0.04062873350321441
22,Yaga's Cafe,"2314 The Strand, Galveston",POINT (-94.79495179999999 29.3071481),29.3071481,-94.79495179999999,0.03727223828122567
23,The Original Mexican Cafe,"1401 Market Street, Galveston",POINT (-94.78360769999999 29.3079298),29.3079298,-94.78360769999999,0.042645991604972656
24,Yamato,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),29.2780918,-94.8316258,0.06637041318216907
25,Starbucks,"2808 61st Street, Galveston",POINT (-94.8279127 29.2708403),29.2708403,-94.8279127,0.07229947457578631
26,Fish Tales,"2502 Seawall Boulevard, Galveston",POINT (-94.79085909999999 29.2882774),29.2882774,-94.79085909999999,0.056282032706896135
27,Galveston's 61st Street Fishing Pier,"6101 Seawall Boulevard, Galveston",POINT (-94.8252081 29.2649235),29.2649235,-94.8252081,0.07749745810385868
28,IHOP,"5224 Seawall Boulevard, Galveston",POINT (-94.8192996 29.2711176),29.2711176,-94.8192996,0.07044762153609055
29,Saltgrass Steak House,"1502 Seawall Boulevard, Galveston",POINT (-94.7808646 29.296032),29.296032,-94.7808646,0.05387648627600195
30,Tortuga Mexican Kitchen,"4910 Seawall Boulevard, Galveston",POINT (-94.81558590000002 29.2736117),29.2736117,-94.81558590000002,0.06759416540503775
31,Starbucks,"102 Kempner Street, Galveston",POINT (-94.793302 29.308265),29.308265,-94.793302,0.036998510682765995
32,Russo's New York Pizzeria & Italian Kitchen - Galveston,"500 Seawall Boulevard #300, Galveston",POINT (-94.7717454 29.3070053),29.3070053,-94.7717454,0.051573233734129406
33,Subway,"Om, 2521 Broadway Avenue J, Galveston",POINT (-94.7948808 29.2988534),29.2988534,-94.7948808,0.04496749171900451
34,Subway,"2302-A 61st Street, Galveston",POINT (-94.8310272 29.2764403),29.2764403,-94.8310272,0.06775456305440859
35,Subway,"500 Seawall Boulevard Suite 400, Galveston",POINT (-94.7718834 29.3063837),29.3063837,-94.7718834,0.051882412559942664
36,Shykatz,"1528 Avenue L, Galveston",POINT (-94.78322530000001 29.3005619),29.3005619,-94.78322530000001,0.04879789731878369
37,Taco Bell,"5701 Broadway Avenue J, Galveston",POINT (-94.8312941 29.289309),29.289309,-94.8312941,0.055725300533436994
