,Name,Address,Coordinates,Lat,Long,euc_diff
0,Hilo Bay Medical Clinic,"24 Pukihae Street, Hilo",POINT (-155.0879458 19.7301366),19.7301366,-155.0879458,0.07151854331990887
1,Wild Ginger Hotel,"100 Puueo Street, Hilo",POINT (-155.0891752 19.7293163),19.7293163,-155.0891752,0.07254374036536322
2,Dolphin Bay Hotel,"333 Iliahi Street, Hilo",POINT (-155.0904265 19.7292288),19.7292288,-155.0904265,0.0737506432143294
3,Hilo Bay Oceanfront Bed and Breakfast,"56 Pukihae Street, Hilo",POINT (-155.0881646 19.7309761),19.7309761,-155.0881646,0.07192190420097572
4,11 Arruda Ln.,Hilo,POINT (-155.08903 19.728593),19.728593,-155.08903,0.07225516360873081
5,JUMPSTART PRESCHOOL,"317 Lehua Street, Hilo",POINT (-155.0903387 19.7301202),19.7301202,-155.0903387,0.0738504439269323
6,Puueo Cluster Head start,"145 Wainaku Street, Hilo",POINT (-155.0913683 19.7283575),19.7283575,-155.0913683,0.07450392183355545
7,Piihonua 4 Early Childhood,Hilo,POINT (-155.0900154 19.7297152),19.7297152,-155.0900154,0.07344862568017092
8,Moon and Turtle,"51 Kalakaua Street, Hilo",POINT (-155.0871554 19.7254179),19.7254179,-155.0871554,0.06984344921855995
9,Cronies Bar & Grill,"11 Waianuenue Avenue, Hilo",POINT (-155.0868843 19.7264366),19.7264366,-155.0868843,0.06974581808980124
10,Hilo Town Tavern,"168 Keawe Street, Hilo",POINT (-155.0873719 19.724815),19.724815,-155.0873719,0.06996407156987942
11,Amigos Cantina,"250 Keawe Street ste. C, Hilo",POINT (-155.0867954 19.7237878),19.7237878,-155.0867954,0.06924600180076708
12,The Booch Bar,"110 Keawe Street, Hilo",POINT (-155.0878708 19.7254665),19.7254665,-155.0878708,0.07055749644200585
13,Puna Chocolate Company & Cafe,"277 Keawe Street, Hilo",POINT (-155.0862993 19.7235873),19.7235873,-155.0862993,0.0687272374579359
14,The Temple Bar,"64 Keawe St Front 102, Hilo",POINT (-155.0882231 19.7260137),19.7260137,-155.0882231,0.07099359472261976
15,Jojo’s Snack Shack,"159 Keawe Street # C, Hilo",POINT (-155.0871862 19.7250135),19.7250135,-155.0871862,0.06981066608660469
16,Aloha,"250-A Kinoole Street, Hilo",POINT (-155.0878802 19.7230777),19.7230777,-155.0878802,0.07022847276343651
17,Hilotown Hale,"387 Wailuku Drive, Hilo",POINT (-155.09198 19.7246044),19.7246044,-155.09198,0.07449365432972481
18,Hilo Bay Hostel,"101 Waianuenue Avenue, Hilo",POINT (-155.088042 19.7257001),19.7257001,-155.088042,0.07076379475486189
