,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
2,3018 Texas Clipper Rd Parking,"3018 Texas Clipper Road, Galveston","{'lat': 29.3157226, 'lng': -94.81716879999999}","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston","Parking utmb365-379 11th Street, Galveston",86
3,Parking lot,Galveston,"{'lat': 29.3353876, 'lng': -94.77805839999999}",Parking lotGalveston,"Parking utmb365-379 11th Street, Galveston",86
4,East Beach Free Parking,"Apffel Park Road, Galveston","{'lat': 29.325156, 'lng': -94.7386875}","East Beach Free ParkingApffel Park Road, Galveston","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston",86
5,Parking utmb,"365-379 11th Street, Galveston","{'lat': 29.3091755, 'lng': -94.7820206}","Parking utmb365-379 11th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
8,UTMB 17E,"113-191 11th Street, Galveston","{'lat': 29.3118539, 'lng': -94.78024889999999}","UTMB 17E113-191 11th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
9,"UTMB - Public Parking, Galveston Hospitals","200 University Boulevard, Galveston","{'lat': 29.3118965, 'lng': -94.7761922}","UTMB - Public Parking, Galveston Hospitals200 University Boulevard, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
10,1201 Harborside Drive Parking,"1201 Harborside Drive, Galveston","{'lat': 29.3116497, 'lng': -94.78205550000001}","1201 Harborside Drive Parking1201 Harborside Drive, Galveston","1011 Harborside Dr Garage1011 Harborside Drive, Galveston",88
11,Port of Galveston Cruise Parking Terminal 10 North Lot,"1152 Royal Caribbean Circle, Galveston","{'lat': 29.3136789, 'lng': -94.78322759999999}","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston","602 Seawolf Pkwy Parking602 Seawolf Pkwy, Galveston",86
12,Parking Lot P,"Unnamed Road, Galveston","{'lat': 29.3134791, 'lng': -94.7749516}","Parking Lot PUnnamed Road, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
13,Port of Galveston South Lot Cruise Parking Lot,"028 13th Street, Galveston","{'lat': 29.31189359999999, 'lng': -94.7836379}","Port of Galveston South Lot Cruise Parking Lot028 13th Street, Galveston",Parking lotGalveston,86
14,UTMB Parking Garage 3,"410 9th Street, Galveston","{'lat': 29.309174, 'lng': -94.7783749}","UTMB Parking Garage 3410 9th Street, Galveston",Parking lotGalveston,86
15,"Park 2 Cruise Galveston, LLC","101 13th Street, Galveston","{'lat': 29.3105049, 'lng': -94.7837887}","Park 2 Cruise Galveston, LLC101 13th Street, Galveston","Port of Galveston Cruise Parking Terminal 10 North Lot1152 Royal Caribbean Circle, Galveston",86
16,Port of Galveston Pier 14 Parking Lot,"8677+9W, Galveston","{'lat': 29.3133871, 'lng': -94.7851541}","Port of Galveston Pier 14 Parking Lot8677+9W, Galveston",Parking lotGalveston,86
17,Contract Parking,"339 5th Street, Galveston","{'lat': 29.3111501, 'lng': -94.7738605}","Contract Parking339 5th Street, Galveston","3018 Texas Clipper Rd Parking3018 Texas Clipper Road, Galveston",86
18,1301-1399 Mechanic St Parking,"1301-1399 Mechanic Street, Galveston","{'lat': 29.30937500000001, 'lng': -94.7828452}","1301-1399 Mechanic St Parking1301-1399 Mechanic Street, Galveston","Parking utmb365-379 11th Street, Galveston",86
23,Hospital Parking Garage 8,Galveston,"{'lat': 29.3116784, 'lng': -94.77560109999999}",Hospital Parking Garage 8Galveston,Parking lotGalveston,86
