,Unnamed: 0,Name,Address,Coordinates,Name + Address,second_best_match,second_best_score
0,0,"Moody Gardens Hotel, Spa and Convention Center","7 Hope Boulevard, Galveston","{'lat': 29.2734603, 'lng': -94.85032249999999}","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston","Rainforest Cafe5310 Seawall Boulevard, Galveston",86
1,1,Rainforest Cafe,"5310 Seawall Boulevard, Galveston","{'lat': 29.2707531, 'lng': -94.8202072}","Rainforest Cafe5310 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
2,2,Landry's Prime Seafood & Steaks,"5310 Seawall Boulevard, Galveston","{'lat': 29.2707352, 'lng': -94.8202317}","Landry's Prime Seafood & Steaks5310 Seawall Boulevard, Galveston","Landry's Prime Seafood & Steaks5310 Seawall Blvd Galveston, TX 77551",88
3,3,Number 13 Prime Steak and Seafood,"7809 Broadway Street, Galveston","{'lat': 29.2850878, 'lng': -94.85753559999999}","Number 13 Prime Steak and Seafood7809 Broadway Street, Galveston","The Spot3204 Seawall Boulevard, Galveston",86
4,4,Fisherman's Wharf,"2200 Harborside Drive, Galveston","{'lat': 29.3089314, 'lng': -94.7936367}","Fisherman's Wharf2200 Harborside Drive, Galveston","Russo's New York Pizzeria & Italian Kitchen - Galveston500 Seawall Boulevard #300, Galveston",86
5,5,The Spot,"3204 Seawall Boulevard, Galveston","{'lat': 29.2836047, 'lng': -94.7980051}","The Spot3204 Seawall Boulevard, Galveston","Drip3204 Seawall Boulevard, Galveston",87
6,6,Shrimp N Stuff,"3901 Avenue O, Galveston","{'lat': 29.2888755, 'lng': -94.8084087}","Shrimp N Stuff3901 Avenue O, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
7,7,Willie G's Seafood & Steaks,"2100 Harborside Drive, Galveston","{'lat': 29.309303, 'lng': -94.79280299999999}","Willie G's Seafood & Steaks2100 Harborside Drive, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
8,8,Nick's Kitchen and Beach Bar,"3802 Seawall Boulevard, Galveston","{'lat': 29.2797917, 'lng': -94.8040028}","Nick's Kitchen and Beach Bar3802 Seawall Boulevard, Galveston","Shrimp N Stuff3901 Avenue O, Galveston",86
9,9,Gaido's,"3828 Seawall Boulevard, Galveston","{'lat': 29.2796255, 'lng': -94.80449999999999}","Gaido's3828 Seawall Boulevard, Galveston","Moody Gardens Hotel, Spa and Convention Center7 Hope Boulevard, Galveston",86
