,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
0,"Moody Gardens Hotel, Spa and Convention Center","7 Hope Boulevard, Galveston",POINT (-94.85032249999999 29.2734603),29.2734603,-94.85032249999999,0,0.0,0,1,1,1,0,0,0.3601190476190476,7.220238095238095
1,Rainforest Cafe,"5310 Seawall Boulevard, Galveston",POINT (-94.8202072 29.2707531),29.2707531,-94.8202072,0,0.4498717792160215,0,1,1,1,1,1,0.42857142857142855,12.307014636358879
2,Landry's Prime Seafood & Steaks,"5310 Seawall Boulevard, Galveston",POINT (-94.8202317 29.2707352),29.2707352,-94.8202317,0,0.23855171571620468,0,1,1,1,1,1,0.42857142857142855,12.095694572859063
3,Number 13 Prime Steak and Seafood,"7809 Broadway Street, Galveston",POINT (-94.85753559999999 29.2850878),29.2850878,-94.85753559999999,0,0.06307241421418977,0,1,1,1,1,1,0.2738095238095238,11.610691461833238
4,Fisherman's Wharf,"2200 Harborside Drive, Galveston",POINT (-94.7936367 29.3089314),29.3089314,-94.7936367,0,0.34283795335205763,0,1,1,1,1,1,0.3601190476190476,12.063076048590153
5,The Spot,"3204 Seawall Boulevard, Galveston",POINT (-94.7980051 29.2836047),29.2836047,-94.7980051,0,0.7717670045182562,0,1,1,1,1,1,0.47023809523809523,12.712243194994446
6,Shrimp N Stuff,"3901 Avenue O, Galveston",POINT (-94.8084087 29.2888755),29.2888755,-94.8084087,0,0.3053486384173892,0,1,1,1,1,1,0.3601190476190476,12.025586733655484
7,Willie G's Seafood & Steaks,"2100 Harborside Drive, Galveston",POINT (-94.79280299999999 29.309303),29.309303,-94.79280299999999,0,0.18243985834656246,0,1,1,1,1,1,0.3601190476190476,11.902677953584657
8,Nick's Kitchen and Beach Bar,"3802 Seawall Boulevard, Galveston",POINT (-94.8040028 29.2797917),29.2797917,-94.8040028,0,0.21589937721333496,0,1,1,1,1,1,0.42857142857142855,12.073042234356192
9,Gaido's,"3828 Seawall Boulevard, Galveston",POINT (-94.80449999999999 29.2796255),29.2796255,-94.80449999999999,0,0.33166442789107337,0,1,1,1,1,1,0.3601190476190476,12.051902523129169
10,Subway,"4908 Seawall Boulevard, Galveston",POINT (-94.8154952 29.273623),29.273623,-94.8154952,1,0.007265844425448773,0,1,1,1,1,1,0.3601190476190476,16.727503939663542
11,Mario's Seawall Italian Restaurant,"628 Seawall Boulevard, Galveston",POINT (-94.77317719999999 29.3043293),29.3043293,-94.77317719999999,0,0.19037733544999388,0,1,1,1,1,1,0.3601190476190476,11.91061543068809
12,Joe's Crab Shack,"3502 Seawall Boulevard, Galveston",POINT (-94.8014962 29.28157029999999),29.28157029999999,-94.8014962,0,0.2622420319941385,0,1,1,1,1,1,0.42857142857142855,12.119384889136995
13,Papa's Pizza,"4400 Seawall Boulevard, Galveston",POINT (-94.809653 29.276502),29.276502,-94.809653,0,0.15374282574184883,0,1,1,1,1,1,0.33928571428571425,11.832314254313278
14,Mosquito Cafe,"628 14th Street, Galveston",POINT (-94.7825488 29.3057145),29.3057145,-94.7825488,0,0.1564904139699597,0,1,1,1,1,1,0.3601190476190476,11.876728509208055
15,Little Daddy’s Gumbo Bar - Galveston,"2107 Postoffice Street, Galveston",POINT (-94.79147340000002 29.304882),29.304882,-94.79147340000002,0,0.09640981804860178,0,1,1,1,1,1,0.3601190476190476,11.816647913286698
16,Black Pearl Oyster Bar,"327 23rd Street, Galveston",POINT (-94.7940474 29.3054649),29.3054649,-94.7940474,0,0.13402124801563073,0,1,1,1,1,1,0.4419642857142857,12.017949819444203
17,The Sunflower Bakery & Cafe,"512 14th Street, Galveston",POINT (-94.78297940000002 29.30704979999999),29.30704979999999,-94.78297940000002,0,0.23458297716448895,1,1,1,1,1,1,0.3571428571428571,14.948868691450203
18,Saltwater Grill,"2017 Postoffice Street, Galveston",POINT (-94.79064299999999 29.3050765),29.3050765,-94.79064299999999,0,0.03858835022591281,0,1,1,1,1,1,0.22023809523809523,11.479064540702103
19,Salsas,"4604 Seawall Boulevard, Galveston",POINT (-94.81181699999999 29.27554600000001),29.27554600000001,-94.81181699999999,0,0.32720722920991574,0,1,1,1,1,1,0.3601190476190476,12.04744532444801
20,Tongs Happy Buddha,"2827 61st Street, Galveston",POINT (-94.8276992 29.2679191),29.2679191,-94.8276992,0,0.06484308218341678,0,1,1,1,1,1,0.3601190476190476,11.785081177421512
21,Rudy & Paco Restaurant and Bar,"2028 Postoffice St, Galveston",POINT (-94.79108099999999 29.3053363),29.3053363,-94.79108099999999,0,0.05379167175479302,0,1,1,1,1,1,0.3601190476190476,11.774029766992888
22,Yaga's Cafe,"2314 The Strand, Galveston",POINT (-94.79495179999999 29.3071481),29.3071481,-94.79495179999999,0,0.10147759189156186,0,1,1,1,1,1,0.3601190476190476,11.821715687129657
23,The Original Mexican Cafe,"1401 Market Street, Galveston",POINT (-94.78360769999999 29.3079298),29.3079298,-94.78360769999999,0,0.1731591158871657,0,1,1,1,1,1,0.3601190476190476,11.893397211125261
24,Yamato,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),29.2780918,-94.8316258,0,0.05592868482110148,0,1,1,1,1,1,0.19345238095238093,11.442833446725864
