,Name,Address,Coordinates,Lat,Long,fast_food,user_ratings_total,bakery,cafe,meal_delivery,meal_takeaway,restaurant,food,hours_open,weight
0,Hilo Bay Medical Clinic,"24 Pukihae Street, Hilo",POINT (-155.0879458 19.7301366),19.7301366,-155.0879458,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
1,Wild Ginger Hotel,"100 Puueo Street, Hilo",POINT (-155.0891752 19.7293163),19.7293163,-155.0891752,0,0.08248149453648218,0,1,0,1,0,0,,7.0824814945364825
2,Dolphin Bay Hotel,"333 Iliahi Street, Hilo",POINT (-155.0904265 19.7292288),19.7292288,-155.0904265,0,0.06133239337328164,0,1,0,1,0,0,,6.013713345754234
3,Hilo Bay Oceanfront Bed and Breakfast,"56 Pukihae Street, Hilo",POINT (-155.0881646 19.7309761),19.7309761,-155.0881646,0,0.021149101163200564,0,1,0,1,0,0,,7.0211491011632
4,11 Arruda Ln.,Hilo,POINT (-155.08903 19.728593),19.728593,-155.08903,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
5,JUMPSTART PRESCHOOL,"317 Lehua Street, Hilo",POINT (-155.0903387 19.7301202),19.7301202,-155.0903387,0,1.0,0,1,0,1,0,0,,6.595238095238095
6,Puueo Cluster Head start,"145 Wainaku Street, Hilo",POINT (-155.0913683 19.7283575),19.7283575,-155.0913683,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
7,Piihonua 4 Early Childhood,Hilo,POINT (-155.0900154 19.7297152),19.7297152,-155.0900154,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
8,Moon and Turtle,"51 Kalakaua Street, Hilo",POINT (-155.0871554 19.7254179),19.7254179,-155.0871554,0,0.1445188579485372,0,1,0,1,1,1,,9.85285219128187
9,Cronies Bar & Grill,"11 Waianuenue Avenue, Hilo",POINT (-155.0868843 19.7264366),19.7264366,-155.0868843,0,0.286217835741981,0,1,0,1,1,1,,10.524313073837218
10,Hilo Town Tavern,"168 Keawe Street, Hilo",POINT (-155.0873719 19.724815),19.724815,-155.0873719,0,0.2946774762072613,0,1,0,1,1,1,,10.836344142873928
11,Amigos Cantina,"250 Keawe Street ste. C, Hilo",POINT (-155.0867954 19.7237878),19.7237878,-155.0867954,0,0.004934790271413465,0,1,0,1,0,0,,7.004934790271413
12,The Booch Bar,"110 Keawe Street, Hilo",POINT (-155.0878708 19.7254665),19.7254665,-155.0878708,0,0.1399365526965104,0,1,0,1,0,1,,9.139936552696511
13,Puna Chocolate Company & Cafe,"277 Keawe Street, Hilo",POINT (-155.0862993 19.7235873),19.7235873,-155.0862993,0,0.06979203383856188,0,1,0,1,0,1,,9.18883965288618
14,The Temple Bar,"64 Keawe St Front 102, Hilo",POINT (-155.0882231 19.7260137),19.7260137,-155.0882231,0,0.04934790271413464,0,1,0,1,1,1,,10.466014569380802
15,Jojo’s Snack Shack,"159 Keawe Street # C, Hilo",POINT (-155.0871862 19.7250135),19.7250135,-155.0871862,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
16,Aloha,"250-A Kinoole Street, Hilo",POINT (-155.0878802 19.7230777),19.7230777,-155.0878802,0,0.005992245329573494,0,1,0,1,0,0,,6.2559922453295735
17,Hilotown Hale,"387 Wailuku Drive, Hilo",POINT (-155.09198 19.7246044),19.7246044,-155.09198,0,0.0003524850193866758,0,1,0,1,0,0,,5.952733437400339
18,Hilo Bay Hostel,"101 Waianuenue Avenue, Hilo",POINT (-155.088042 19.7257001),19.7257001,-155.088042,0,0.05816002819880155,0,1,0,1,0,0,,6.010540980579754
19,Pakalana Inn,"132 Punahoa Street, Hilo",POINT (-155.0842847 19.7225957),19.7225957,-155.0842847,0,0.0038773352132534353,0,1,0,1,0,0,,6.003877335213254
20,Lotus Garden of Hilo,"140 Kilauea Avenue, Hilo",POINT (-155.0859624 19.7223628),19.7223628,-155.0859624,0,0.010222065562213601,0,1,0,1,0,0,,6.260222065562214
21,Aloha Wellness Center,"239 Haili Street, Hilo",POINT (-155.0900019 19.7221387),19.7221387,-155.0900019,0,0.9999999999999994,0,1,0,1,0,0,,6.505952380952381
22,Palace Theater,"38 Haili Street, Hilo",POINT (-155.0864394 19.7243998),19.7243998,-155.0864394,0,0.0708494888967219,0,1,0,1,0,0,,5.368468536515769
23,Connections Public Charter School,"174 Kamehameha Avenue, Hilo",POINT (-155.0862744 19.7253763),19.7253763,-155.0862744,0,0.9999999999999994,0,1,0,1,0,0,,6.3601190476190474
24,Hilo Union School,"506 Waianuenue Avenue, Hilo",POINT (-155.0916366 19.723041),19.723041,-155.0916366,0,1.0,0,1,0,1,0,0,,6.9523809523809526
25,Maunaloa Elementary School,Hilo,POINT (-155.0919325 19.7224911),19.7224911,-155.0919325,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
26,Na Mana Li'i,"104 Kalakaua Street, Hilo",POINT (-155.0879681 19.7252619),19.7252619,-155.0879681,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
27,PACT Head Start,"27 Waianuenue Avenue, Hilo",POINT (-155.0871541 19.7263181),19.7263181,-155.0871541,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
28,Guitar Lesson With The Creative Guitar,"56 Ponahawai Street, Hilo",POINT (-155.0842948 19.72259799999999),19.72259799999999,-155.0842948,0,0.9999999999999994,0,1,0,1,0,0,,6.535714285714286
29,Sean Luscombe,"351 Wailuku Drive, Hilo",POINT (-155.0915752 19.7248628),19.7248628,-155.0915752,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
30,Haili Christian School,"190 Ululani Street, Hilo",POINT (-155.0887389 19.7222213),19.7222213,-155.0887389,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
31,Slack Key Guitar Program,"141 Kalakaua Street, Hilo",POINT (-155.0882695 19.7246788),19.7246788,-155.0882695,0,0.9999999999999994,0,1,0,1,0,0,,6.9523809523809526
