,lat,long,center,buffer,site_name,site_location,site_dist
0,19.7082165999218,-155.0835250473169,POINT (-155.0835250473169 19.7082165999218),"POLYGON ((-155.0795250473169 19.7082165999218, -155.0795443084102 19.70782453136048, -155.0796019061953 19.70743623863374, -155.079697285974 19.70705546121278, -155.0798295291868 19.70668586619234, -155.0799973622595 19.7063310129745, -155.0801991688677 19.70599431898972, -155.0804330055034 19.70567902678515, -155.0806966201922 19.70538817279705, -155.0809874741802 19.70512455810835, -155.0813027663848 19.70489072147259, -155.0816394603696 19.70468891486441, -155.0819943135874 19.70452108179176, -155.0823639086079 19.70438883857887, -155.0827446860288 19.70429345880019, -155.0831329787556 19.70423586101511, -155.0835250473169 19.7042165999218, -155.0839171158782 19.70423586101511, -155.084305408605 19.70429345880019, -155.0846861860259 19.70438883857887, -155.0850557810463 19.70452108179176, -155.0854106342642 19.70468891486441, -155.085747328249 19.70489072147259, -155.0860626204536 19.70512455810835, -155.0863534744416 19.70538817279705, -155.0866170891304 19.70567902678515, -155.0868509257661 19.70599431898972, -155.0870527323743 19.7063310129745, -155.087220565447 19.70668586619234, -155.0873528086598 19.70705546121278, -155.0874481884385 19.70743623863374, -155.0875057862236 19.70782453136048, -155.0875250473169 19.7082165999218, -155.0875057862236 19.70860866848312, -155.0874481884385 19.70899696120987, -155.0873528086598 19.70937773863082, -155.087220565447 19.70974733365126, -155.0870527323743 19.7101021868691, -155.0868509257661 19.71043888085388, -155.0866170891304 19.71075417305845, -155.0863534744416 19.71104502704655, -155.0860626204536 19.71130864173525, -155.085747328249 19.71154247837101, -155.0854106342642 19.71174428497919, -155.0850557810463 19.71191211805185, -155.0846861860259 19.71204436126473, -155.084305408605 19.71213974104342, -155.0839171158782 19.71219733882849, -155.0835250473169 19.7122165999218, -155.0831329787556 19.71219733882849, -155.0827446860288 19.71213974104342, -155.0823639086079 19.71204436126473, -155.0819943135874 19.71191211805185, -155.0816394603696 19.71174428497919, -155.0813027663848 19.71154247837101, -155.0809874741802 19.71130864173525, -155.0806966201922 19.71104502704655, -155.0804330055034 19.71075417305845, -155.0801991688677 19.71043888085388, -155.0799973622595 19.7101021868691, -155.0798295291868 19.70974733365126, -155.079697285974 19.70937773863082, -155.0796019061953 19.70899696120987, -155.0795443084102 19.70860866848312, -155.0795250473169 19.7082165999218))",Mohouli Street @ Kapiolani Street,POINT (-155.083583 19.710139),207.6
1,19.67714023306887,-155.1080484994572,POINT (-155.1080484994572 19.67714023306887),"POLYGON ((-155.1040484994572 19.67714023306887, -155.1040677605505 19.67674816450755, -155.1041253583356 19.6763598717808, -155.1042207381143 19.67597909435985, -155.1043529813271 19.67560949933941, -155.1045208143998 19.67525464612157, -155.104722621008 19.67491795213679, -155.1049564576437 19.67460265993222, -155.1052200723325 19.67431180594412, -155.1055109263205 19.67404819125542, -155.1058262185251 19.67381435461966, -155.1061629125099 19.67361254801148, -155.1065177657277 19.67344471493882, -155.1068873607482 19.67331247172594, -155.1072681381691 19.67321709194725, -155.1076564308959 19.67315949416218, -155.1080484994572 19.67314023306887, -155.1084405680185 19.67315949416218, -155.1088288607453 19.67321709194725, -155.1092096381662 19.67331247172594, -155.1095792331867 19.67344471493882, -155.1099340864045 19.67361254801148, -155.1102707803893 19.67381435461966, -155.1105860725939 19.67404819125542, -155.1108769265819 19.67431180594412, -155.1111405412707 19.67460265993222, -155.1113743779064 19.67491795213679, -155.1115761845146 19.67525464612157, -155.1117440175873 19.67560949933941, -155.1118762608001 19.67597909435985, -155.1119716405788 19.6763598717808, -155.1120292383639 19.67674816450755, -155.1120484994572 19.67714023306887, -155.1120292383639 19.67753230163019, -155.1119716405788 19.67792059435693, -155.1118762608001 19.67830137177789, -155.1117440175873 19.67867096679833, -155.1115761845146 19.67902582001617, -155.1113743779064 19.67936251400095, -155.1111405412707 19.67967780620552, -155.1108769265819 19.67996866019362, -155.1105860725939 19.68023227488232, -155.1102707803893 19.68046611151808, -155.1099340864045 19.68066791812626, -155.1095792331867 19.68083575119891, -155.1092096381662 19.6809679944118, -155.1088288607453 19.68106337419048, -155.1084405680185 19.68112097197556, -155.1080484994572 19.68114023306887, -155.1076564308959 19.68112097197556, -155.1072681381691 19.68106337419048, -155.1068873607482 19.6809679944118, -155.1065177657277 19.68083575119891, -155.1061629125099 19.68066791812626, -155.1058262185251 19.68046611151808, -155.1055109263205 19.68023227488232, -155.1052200723325 19.67996866019362, -155.1049564576437 19.67967780620552, -155.104722621008 19.67936251400095, -155.1045208143998 19.67902582001617, -155.1043529813271 19.67867096679833, -155.1042207381143 19.67830137177789, -155.1041253583356 19.67792059435693, -155.1040677605505 19.67753230163019, -155.1040484994572 19.67714023306887))",Hilo Church of the Nazarene,POINT (-155.1058974 19.6761316),290.2
2,19.732046342991964,-155.02687497930432,POINT (-155.0268749793043 19.73204634299196),"POLYGON ((-155.0228749793043 19.73204634299196, -155.0228942403976 19.73165427443065, -155.0229518381827 19.7312659817039, -155.0230472179614 19.73088520428295, -155.0231794611743 19.7305156092625, -155.0233472942469 19.73016075604466, -155.0235491008551 19.72982406205989, -155.0237829374909 19.72950876985531, -155.0240465521796 19.72921791586722, -155.0243374061677 19.72895430117851, -155.0246526983723 19.72872046454275, -155.024989392357 19.72851865793457, -155.0253442455749 19.72835082486192, -155.0257138405953 19.72821858164903, -155.0260946180163 19.72812320187035, -155.026482910743 19.72806560408528, -155.0268749793043 19.72804634299196, -155.0272670478656 19.72806560408528, -155.0276553405924 19.72812320187035, -155.0280361180133 19.72821858164903, -155.0284057130338 19.72835082486192, -155.0287605662516 19.72851865793457, -155.0290972602364 19.72872046454275, -155.029412552441 19.72895430117851, -155.0297034064291 19.72921791586722, -155.0299670211178 19.72950876985531, -155.0302008577535 19.72982406205989, -155.0304026643617 19.73016075604466, -155.0305704974344 19.7305156092625, -155.0307027406473 19.73088520428295, -155.0307981204259 19.7312659817039, -155.030855718211 19.73165427443065, -155.0308749793043 19.73204634299196, -155.030855718211 19.73243841155328, -155.0307981204259 19.73282670428003, -155.0307027406473 19.73320748170098, -155.0305704974344 19.73357707672142, -155.0304026643617 19.73393192993927, -155.0302008577535 19.73426862392404, -155.0299670211178 19.73458391612862, -155.0297034064291 19.73487477011671, -155.029412552441 19.73513838480541, -155.0290972602364 19.73537222144117, -155.0287605662516 19.73557402804936, -155.0284057130338 19.73574186112201, -155.0280361180133 19.73587410433489, -155.0276553405924 19.73596948411358, -155.0272670478656 19.73602708189865, -155.0268749793043 19.73604634299197, -155.026482910743 19.73602708189865, -155.0260946180163 19.73596948411358, -155.0257138405953 19.73587410433489, -155.0253442455749 19.73574186112201, -155.024989392357 19.73557402804936, -155.0246526983723 19.73537222144117, -155.0243374061677 19.73513838480541, -155.0240465521796 19.73487477011671, -155.0237829374909 19.73458391612862, -155.0235491008551 19.73426862392404, -155.0233472942469 19.73393192993927, -155.0231794611743 19.73357707672142, -155.0230472179614 19.73320748170098, -155.0229518381827 19.73282670428003, -155.0228942403976 19.73243841155328, -155.0228749793043 19.73204634299196))",Garden Manor by the Sea,POINT (-155.0258046 19.7320486),21.5
3,19.709272231238128,-155.07444682884218,POINT (-155.0744468288422 19.70927223123813),"POLYGON ((-155.0704468288422 19.70927223123813, -155.0704660899355 19.70888016267681, -155.0705236877206 19.70849186995006, -155.0706190674993 19.70811109252911, -155.0707513107121 19.70774149750867, -155.0709191437848 19.70738664429082, -155.071120950393 19.70704995030605, -155.0713547870287 19.70673465810147, -155.0716184017174 19.70644380411338, -155.0719092557055 19.70618018942468, -155.0722245479101 19.70594635278892, -155.0725612418949 19.70574454618074, -155.0729160951127 19.70557671310808, -155.0732856901332 19.7054444698952, -155.0736664675541 19.70534909011651, -155.0740547602809 19.70529149233144, -155.0744468288422 19.70527223123813, -155.0748388974035 19.70529149233144, -155.0752271901302 19.70534909011651, -155.0756079675512 19.7054444698952, -155.0759775625716 19.70557671310808, -155.0763324157895 19.70574454618074, -155.0766691097743 19.70594635278892, -155.0769844019788 19.70618018942468, -155.0772752559669 19.70644380411338, -155.0775388706556 19.70673465810147, -155.0777727072914 19.70704995030605, -155.0779745138996 19.70738664429082, -155.0781423469722 19.70774149750867, -155.0782745901851 19.70811109252911, -155.0783699699638 19.70849186995006, -155.0784275677489 19.70888016267681, -155.0784468288422 19.70927223123813, -155.0784275677489 19.70966429979945, -155.0783699699638 19.71005259252619, -155.0782745901851 19.71043336994715, -155.0781423469722 19.71080296496759, -155.0779745138996 19.71115781818543, -155.0777727072914 19.7114945121702, -155.0775388706556 19.71180980437478, -155.0772752559669 19.71210065836287, -155.0769844019788 19.71236427305158, -155.0766691097743 19.71259810968734, -155.0763324157895 19.71279991629552, -155.0759775625716 19.71296774936817, -155.0756079675512 19.71309999258106, -155.0752271901302 19.71319537235974, -155.0748388974035 19.71325297014481, -155.0744468288422 19.71327223123813, -155.0740547602809 19.71325297014481, -155.0736664675541 19.71319537235974, -155.0732856901332 19.71309999258106, -155.0729160951127 19.71296774936817, -155.0725612418949 19.71279991629552, -155.0722245479101 19.71259810968734, -155.0719092557055 19.71236427305158, -155.0716184017174 19.71210065836287, -155.0713547870287 19.71180980437478, -155.071120950393 19.7114945121702, -155.0709191437848 19.71115781818543, -155.0707513107121 19.71080296496759, -155.0706190674993 19.71043336994715, -155.0705236877206 19.71005259252619, -155.0704660899355 19.70966429979945, -155.0704468288422 19.70927223123813))",TAKAAZE ART GALLERY,POINT (-155.0757499 19.7081424),152.3
4,19.72645131552047,-155.0625535689948,POINT (-155.0625535689948 19.72645131552047),"POLYGON ((-155.0585535689948 19.72645131552047, -155.0585728300881 19.72605924695915, -155.0586304278732 19.72567095423241, -155.0587258076519 19.72529017681145, -155.0588580508647 19.72492058179101, -155.0590258839374 19.72456572857317, -155.0592276905456 19.72422903458839, -155.0594615271813 19.72391374238382, -155.05972514187 19.72362288839572, -155.0600159958581 19.72335927370702, -155.0603312880627 19.72312543707126, -155.0606679820475 19.72292363046308, -155.0610228352653 19.72275579739043, -155.0613924302858 19.72262355417754, -155.0617732077067 19.72252817439886, -155.0621615004335 19.72247057661378, -155.0625535689948 19.72245131552047, -155.0629456375561 19.72247057661378, -155.0633339302829 19.72252817439886, -155.0637147077038 19.72262355417754, -155.0640843027242 19.72275579739043, -155.0644391559421 19.72292363046308, -155.0647758499269 19.72312543707126, -155.0650911421315 19.72335927370702, -155.0653819961195 19.72362288839572, -155.0656456108082 19.72391374238382, -155.065879447444 19.72422903458839, -155.0660812540522 19.72456572857317, -155.0662490871248 19.72492058179101, -155.0663813303377 19.72529017681145, -155.0664767101164 19.72567095423241, -155.0665343079015 19.72605924695915, -155.0665535689948 19.72645131552047, -155.0665343079015 19.72684338408179, -155.0664767101164 19.72723167680854, -155.0663813303377 19.72761245422949, -155.0662490871248 19.72798204924993, -155.0660812540522 19.72833690246777, -155.065879447444 19.72867359645255, -155.0656456108082 19.72898888865712, -155.0653819961195 19.72927974264522, -155.0650911421315 19.72954335733392, -155.0647758499269 19.72977719396968, -155.0644391559421 19.72997900057786, -155.0640843027242 19.73014683365052, -155.0637147077038 19.7302790768634, -155.0633339302829 19.73037445664209, -155.0629456375561 19.73043205442716, -155.0625535689948 19.73045131552047, -155.0621615004335 19.73043205442716, -155.0617732077067 19.73037445664209, -155.0613924302858 19.7302790768634, -155.0610228352653 19.73014683365052, -155.0606679820475 19.72997900057786, -155.0603312880627 19.72977719396968, -155.0600159958581 19.72954335733392, -155.05972514187 19.72927974264522, -155.0594615271813 19.72898888865712, -155.0592276905456 19.72867359645255, -155.0590258839374 19.72833690246777, -155.0588580508647 19.72798204924993, -155.0587258076519 19.72761245422949, -155.0586304278732 19.72723167680854, -155.0585728300881 19.72684338408179, -155.0585535689948 19.72645131552047))",Hilo Reeds Bay Hotel,POINT (-155.0629156 19.727729),151.2
5,19.72495728500309,-155.09019075704882,POINT (-155.0901907570488 19.72495728500309),"POLYGON ((-155.0861907570488 19.72495728500309, -155.0862100181421 19.72456521644177, -155.0862676159272 19.72417692371502, -155.0863629957059 19.72379614629407, -155.0864952389188 19.72342655127363, -155.0866630719914 19.72307169805579, -155.0868648785996 19.72273500407101, -155.0870987152354 19.72241971186644, -155.0873623299241 19.72212885787834, -155.0876531839122 19.72186524318964, -155.0879684761167 19.72163140655388, -155.0883051701015 19.7214295999457, -155.0886600233194 19.72126176687305, -155.0890296183398 19.72112952366016, -155.0894103957608 19.72103414388148, -155.0897986884875 19.7209765460964, -155.0901907570488 19.72095728500309, -155.0905828256101 19.7209765460964, -155.0909711183369 19.72103414388148, -155.0913518957578 19.72112952366016, -155.0917214907783 19.72126176687305, -155.0920763439961 19.7214295999457, -155.0924130379809 19.72163140655388, -155.0927283301855 19.72186524318964, -155.0930191841736 19.72212885787834, -155.0932827988623 19.72241971186644, -155.093516635498 19.72273500407101, -155.0937184421062 19.72307169805579, -155.0938862751789 19.72342655127363, -155.0940185183917 19.72379614629407, -155.0941138981704 19.72417692371502, -155.0941714959555 19.72456521644177, -155.0941907570488 19.72495728500309, -155.0941714959555 19.72534935356441, -155.0941138981704 19.72573764629115, -155.0940185183917 19.72611842371211, -155.0938862751789 19.72648801873255, -155.0937184421062 19.72684287195039, -155.093516635498 19.72717956593517, -155.0932827988623 19.72749485813974, -155.0930191841736 19.72778571212784, -155.0927283301855 19.72804932681654, -155.0924130379809 19.7282831634523, -155.0920763439961 19.72848497006048, -155.0917214907783 19.72865280313313, -155.0913518957578 19.72878504634602, -155.0909711183369 19.7288804261247, -155.0905828256101 19.72893802390978, -155.0901907570488 19.72895728500309, -155.0897986884875 19.72893802390978, -155.0894103957608 19.7288804261247, -155.0890296183398 19.72878504634602, -155.0886600233194 19.72865280313313, -155.0883051701015 19.72848497006048, -155.0879684761167 19.7282831634523, -155.0876531839122 19.72804932681654, -155.0873623299241 19.72778571212784, -155.0870987152354 19.72749485813974, -155.0868648785996 19.72717956593517, -155.0866630719914 19.72684287195039, -155.0864952389188 19.72648801873255, -155.0863629957059 19.72611842371211, -155.0862676159272 19.72573764629115, -155.0862100181421 19.72534935356441, -155.0861907570488 19.72495728500309))",Tabaraka,POINT (-155.0902291 19.7246596),43.2
6,19.699882729950733,-155.08806263688078,POINT (-155.0880626368808 19.69988272995073),"POLYGON ((-155.0840626368808 19.69988272995073, -155.0840818979741 19.69949066138942, -155.0841394957592 19.69910236866267, -155.0842348755378 19.69872159124171, -155.0843671187507 19.69835199622127, -155.0845349518234 19.69799714300343, -155.0847367584316 19.69766044901866, -155.0849705950673 19.69734515681408, -155.085234209756 19.69705430282599, -155.0855250637441 19.69679068813728, -155.0858403559487 19.69655685150152, -155.0861770499335 19.69635504489334, -155.0865319031513 19.69618721182069, -155.0869014981718 19.6960549686078, -155.0872822755927 19.69595958882912, -155.0876705683195 19.69590199104405, -155.0880626368808 19.69588272995073, -155.0884547054421 19.69590199104405, -155.0888429981688 19.69595958882912, -155.0892237755898 19.6960549686078, -155.0895933706102 19.69618721182069, -155.0899482238281 19.69635504489334, -155.0902849178129 19.69655685150152, -155.0906002100174 19.69679068813728, -155.0908910640055 19.69705430282599, -155.0911546786942 19.69734515681408, -155.09138851533 19.69766044901866, -155.0915903219382 19.69799714300343, -155.0917581550108 19.69835199622127, -155.0918903982237 19.69872159124171, -155.0919857780024 19.69910236866267, -155.0920433757875 19.69949066138942, -155.0920626368808 19.69988272995073, -155.0920433757875 19.70027479851205, -155.0919857780024 19.7006630912388, -155.0918903982237 19.70104386865975, -155.0917581550108 19.70141346368019, -155.0915903219382 19.70176831689804, -155.09138851533 19.70210501088281, -155.0911546786942 19.70242030308739, -155.0908910640055 19.70271115707548, -155.0906002100174 19.70297477176418, -155.0902849178129 19.70320860839994, -155.0899482238281 19.70341041500813, -155.0895933706102 19.70357824808078, -155.0892237755898 19.70371049129366, -155.0888429981688 19.70380587107235, -155.0884547054421 19.70386346885742, -155.0880626368808 19.70388272995073, -155.0876705683195 19.70386346885742, -155.0872822755927 19.70380587107235, -155.0869014981718 19.70371049129366, -155.0865319031513 19.70357824808078, -155.0861770499335 19.70341041500813, -155.0858403559487 19.70320860839994, -155.0855250637441 19.70297477176418, -155.085234209756 19.70271115707548, -155.0849705950673 19.70242030308739, -155.0847367584316 19.70210501088281, -155.0845349518234 19.70176831689804, -155.0843671187507 19.70141346368019, -155.0842348755378 19.70104386865975, -155.0841394957592 19.7006630912388, -155.0840818979741 19.70027479851205, -155.0840626368808 19.69988272995073))",Imiloa Astronomy Center,POINT (-155.0886773 19.7011173),169.3
7,19.73108330905457,-155.04224134904982,POINT (-155.0422413490498 19.73108330905457),"POLYGON ((-155.0382413490498 19.73108330905457, -155.0382606101431 19.73069124049325, -155.0383182079282 19.7303029477665, -155.0384135877069 19.72992217034555, -155.0385458309198 19.72955257532511, -155.0387136639924 19.72919772210727, -155.0389154706006 19.72886102812249, -155.0391493072364 19.72854573591792, -155.0394129219251 19.72825488192982, -155.0397037759132 19.72799126724112, -155.0400190681177 19.72775743060536, -155.0403557621025 19.72755562399718, -155.0407106153204 19.72738779092452, -155.0410802103408 19.72725554771164, -155.0414609877618 19.72716016793295, -155.0418492804885 19.72710257014788, -155.0422413490498 19.72708330905457, -155.0426334176111 19.72710257014788, -155.0430217103379 19.72716016793295, -155.0434024877588 19.72725554771164, -155.0437720827793 19.72738779092452, -155.0441269359971 19.72755562399718, -155.0444636299819 19.72775743060536, -155.0447789221865 19.72799126724112, -155.0450697761746 19.72825488192982, -155.0453333908633 19.72854573591792, -155.045567227499 19.72886102812249, -155.0457690341072 19.72919772210727, -155.0459368671799 19.72955257532511, -155.0460691103928 19.72992217034555, -155.0461644901714 19.7303029477665, -155.0462220879565 19.73069124049325, -155.0462413490498 19.73108330905457, -155.0462220879565 19.73147537761589, -155.0461644901714 19.73186367034263, -155.0460691103928 19.73224444776359, -155.0459368671799 19.73261404278403, -155.0457690341072 19.73296889600187, -155.045567227499 19.73330558998665, -155.0453333908633 19.73362088219122, -155.0450697761746 19.73391173617932, -155.0447789221865 19.73417535086802, -155.0444636299819 19.73440918750378, -155.0441269359971 19.73461099411196, -155.0437720827793 19.73477882718461, -155.0434024877588 19.7349110703975, -155.0430217103379 19.73500645017618, -155.0426334176111 19.73506404796126, -155.0422413490498 19.73508330905457, -155.0418492804885 19.73506404796126, -155.0414609877618 19.73500645017618, -155.0410802103408 19.7349110703975, -155.0407106153204 19.73477882718461, -155.0403557621025 19.73461099411196, -155.0400190681177 19.73440918750378, -155.0397037759132 19.73417535086802, -155.0394129219251 19.73391173617932, -155.0391493072364 19.73362088219122, -155.0389154706006 19.73330558998665, -155.0387136639924 19.73296889600187, -155.0385458309198 19.73261404278403, -155.0384135877069 19.73224444776359, -155.0383182079282 19.73186367034263, -155.0382606101431 19.73147537761589, -155.0382413490498 19.73108330905457))",Hale O Kamalii School,POINT (-155.0449527 19.7284292),280.8
8,19.67978632394717,-155.09699914450184,POINT (-155.0969991445018 19.67978632394717),"POLYGON ((-155.0929991445018 19.67978632394717, -155.0930184055952 19.67939425538585, -155.0930760033802 19.6790059626591, -155.0931713831589 19.67862518523815, -155.0933036263718 19.67825559021771, -155.0934714594444 19.67790073699987, -155.0936732660526 19.67756404301509, -155.0939071026884 19.67724875081052, -155.0941707173771 19.67695789682242, -155.0944615713652 19.67669428213372, -155.0947768635698 19.67646044549796, -155.0951135575545 19.67625863888978, -155.0954684107724 19.67609080581713, -155.0958380057928 19.67595856260424, -155.0962187832138 19.67586318282556, -155.0966070759405 19.67580558504048, -155.0969991445018 19.67578632394717, -155.0973912130632 19.67580558504048, -155.0977795057899 19.67586318282556, -155.0981602832109 19.67595856260424, -155.0985298782313 19.67609080581713, -155.0988847314491 19.67625863888978, -155.0992214254339 19.67646044549796, -155.0995367176385 19.67669428213372, -155.0998275716266 19.67695789682242, -155.1000911863153 19.67724875081052, -155.100325022951 19.67756404301509, -155.1005268295592 19.67790073699987, -155.1006946626319 19.67825559021771, -155.1008269058448 19.67862518523815, -155.1009222856235 19.6790059626591, -155.1009798834085 19.67939425538585, -155.1009991445018 19.67978632394717, -155.1009798834085 19.68017839250849, -155.1009222856235 19.68056668523523, -155.1008269058448 19.68094746265619, -155.1006946626319 19.68131705767663, -155.1005268295592 19.68167191089447, -155.100325022951 19.68200860487925, -155.1000911863153 19.68232389708382, -155.0998275716266 19.68261475107192, -155.0995367176385 19.68287836576062, -155.0992214254339 19.68311220239638, -155.0988847314491 19.68331400900456, -155.0985298782313 19.68348184207721, -155.0981602832109 19.6836140852901, -155.0977795057899 19.68370946506878, -155.0973912130632 19.68376706285386, -155.0969991445018 19.68378632394717, -155.0966070759405 19.68376706285386, -155.0962187832138 19.68370946506878, -155.0958380057928 19.6836140852901, -155.0954684107724 19.68348184207721, -155.0951135575545 19.68331400900456, -155.0947768635698 19.68311220239638, -155.0944615713652 19.68287836576062, -155.0941707173771 19.68261475107192, -155.0939071026884 19.68232389708382, -155.0936732660526 19.68200860487925, -155.0934714594444 19.68167191089447, -155.0933036263718 19.68131705767663, -155.0931713831589 19.68094746265619, -155.0930760033802 19.68056668523523, -155.0930184055952 19.68017839250849, -155.0929991445018 19.67978632394717))",Ahualani Park,POINT (-155.0967874 19.6777939),235.1
9,19.672582017423498,-155.0744058600049,POINT (-155.0744058600049 19.6725820174235),"POLYGON ((-155.0704058600049 19.6725820174235, -155.0704251210982 19.67218994886218, -155.0704827188833 19.67180165613543, -155.070578098662 19.67142087871448, -155.0707103418748 19.67105128369404, -155.0708781749475 19.67069643047619, -155.0710799815557 19.67035973649142, -155.0713138181914 19.67004444428684, -155.0715774328802 19.66975359029875, -155.0718682868682 19.66948997561005, -155.0721835790728 19.66925613897429, -155.0725202730576 19.66905433236611, -155.0728751262754 19.66888649929345, -155.0732447212959 19.66875425608057, -155.0736254987168 19.66865887630188, -155.0740137914436 19.66860127851681, -155.0744058600049 19.6685820174235, -155.0747979285662 19.66860127851681, -155.075186221293 19.66865887630188, -155.0755669987139 19.66875425608057, -155.0759365937344 19.66888649929345, -155.0762914469522 19.66905433236611, -155.076628140937 19.66925613897429, -155.0769434331416 19.66948997561005, -155.0772342871296 19.66975359029875, -155.0774979018184 19.67004444428684, -155.0777317384541 19.67035973649142, -155.0779335450623 19.67069643047619, -155.078101378135 19.67105128369404, -155.0782336213478 19.67142087871448, -155.0783290011265 19.67180165613543, -155.0783865989116 19.67218994886218, -155.0784058600049 19.6725820174235, -155.0783865989116 19.67297408598482, -155.0783290011265 19.67336237871156, -155.0782336213478 19.67374315613252, -155.078101378135 19.67411275115296, -155.0779335450623 19.6744676043708, -155.0777317384541 19.67480429835557, -155.0774979018184 19.67511959056015, -155.0772342871296 19.67541044454824, -155.0769434331416 19.67567405923695, -155.076628140937 19.67590789587271, -155.0762914469522 19.67610970248089, -155.0759365937344 19.67627753555354, -155.0755669987139 19.67640977876643, -155.075186221293 19.67650515854511, -155.0747979285662 19.67656275633018, -155.0744058600049 19.6765820174235, -155.0740137914436 19.67656275633018, -155.0736254987168 19.67650515854511, -155.0732447212959 19.67640977876643, -155.0728751262754 19.67627753555354, -155.0725202730576 19.67610970248089, -155.0721835790728 19.67590789587271, -155.0718682868682 19.67567405923695, -155.0715774328802 19.67541044454824, -155.0713138181914 19.67511959056015, -155.0710799815557 19.67480429835557, -155.0708781749475 19.6744676043708, -155.0707103418748 19.67411275115296, -155.070578098662 19.67374315613252, -155.0704827188833 19.67336237871156, -155.0704251210982 19.67297408598482, -155.0704058600049 19.6725820174235))",Haihai Street @ before Laula Street - Hilo Municipal Golf Course,POINT (-155.0766288 19.6739846),225.5
