,lat,long,center,buffer,site_name,site_location,site_dist
0,19.734685607771492,-155.0282575056123,POINT (-155.0282575056123 19.73468560777149),"POLYGON ((-155.0242575056123 19.73468560777149, -155.0242767667056 19.73429353921017, -155.0243343644907 19.73390524648343, -155.0244297442694 19.73352446906247, -155.0245619874822 19.73315487404203, -155.0247298205549 19.73280002082419, -155.0249316271631 19.73246332683942, -155.0251654637988 19.73214803463484, -155.0254290784875 19.73185718064675, -155.0257199324756 19.73159356595804, -155.0260352246802 19.73135972932228, -155.026371918665 19.7311579227141, -155.0267267718828 19.73099008964145, -155.0270963669033 19.73085784642856, -155.0274771443242 19.73076246664988, -155.027865437051 19.73070486886481, -155.0282575056123 19.73068560777149, -155.0286495741736 19.73070486886481, -155.0290378669004 19.73076246664988, -155.0294186443213 19.73085784642856, -155.0297882393417 19.73099008964145, -155.0301430925596 19.7311579227141, -155.0304797865444 19.73135972932228, -155.030795078749 19.73159356595804, -155.031085932737 19.73185718064675, -155.0313495474257 19.73214803463484, -155.0315833840615 19.73246332683942, -155.0317851906697 19.73280002082419, -155.0319530237423 19.73315487404203, -155.0320852669552 19.73352446906247, -155.0321806467339 19.73390524648343, -155.032238244519 19.73429353921017, -155.0322575056123 19.73468560777149, -155.032238244519 19.73507767633281, -155.0321806467339 19.73546596905956, -155.0320852669552 19.73584674648051, -155.0319530237423 19.73621634150095, -155.0317851906697 19.7365711947188, -155.0315833840615 19.73690788870357, -155.0313495474257 19.73722318090815, -155.031085932737 19.73751403489624, -155.030795078749 19.73777764958494, -155.0304797865444 19.7380114862207, -155.0301430925596 19.73821329282888, -155.0297882393417 19.73838112590154, -155.0294186443213 19.73851336911442, -155.0290378669004 19.73860874889311, -155.0286495741736 19.73866634667818, -155.0282575056123 19.73868560777149, -155.027865437051 19.73866634667818, -155.0274771443242 19.73860874889311, -155.0270963669033 19.73851336911442, -155.0267267718828 19.73838112590154, -155.026371918665 19.73821329282888, -155.0260352246802 19.7380114862207, -155.0257199324756 19.73777764958494, -155.0254290784875 19.73751403489624, -155.0251654637988 19.73722318090815, -155.0249316271631 19.73690788870357, -155.0247298205549 19.7365711947188, -155.0245619874822 19.73621634150095, -155.0244297442694 19.73584674648051, -155.0243343644907 19.73546596905956, -155.0242767667056 19.73507767633281, -155.0242575056123 19.73468560777149))",Mauna Loa Shores,POINT (-155.0272234 19.733178),91.9
1,19.73384921695126,-155.0285497162913,POINT (-155.0285497162913 19.73384921695126),"POLYGON ((-155.0245497162913 19.73384921695126, -155.0245689773846 19.73345714838994, -155.0246265751697 19.73306885566319, -155.0247219549484 19.73268807824224, -155.0248541981613 19.7323184832218, -155.0250220312339 19.73196363000396, -155.0252238378421 19.73162693601918, -155.0254576744778 19.73131164381461, -155.0257212891666 19.73102078982651, -155.0260121431546 19.73075717513781, -155.0263274353592 19.73052333850205, -155.026664129344 19.73032153189387, -155.0270189825619 19.73015369882122, -155.0273885775823 19.73002145560833, -155.0277693550032 19.72992607582965, -155.02815764773 19.72986847804457, -155.0285497162913 19.72984921695126, -155.0289417848526 19.72986847804457, -155.0293300775794 19.72992607582965, -155.0297108550003 19.73002145560833, -155.0300804500208 19.73015369882122, -155.0304353032386 19.73032153189387, -155.0307719972234 19.73052333850205, -155.031087289428 19.73075717513781, -155.031378143416 19.73102078982651, -155.0316417581048 19.73131164381461, -155.0318755947405 19.73162693601918, -155.0320774013487 19.73196363000396, -155.0322452344214 19.7323184832218, -155.0323774776342 19.73268807824224, -155.0324728574129 19.73306885566319, -155.032530455198 19.73345714838994, -155.0325497162913 19.73384921695126, -155.032530455198 19.73424128551258, -155.0324728574129 19.73462957823932, -155.0323774776342 19.73501035566028, -155.0322452344214 19.73537995068072, -155.0320774013487 19.73573480389856, -155.0318755947405 19.73607149788334, -155.0316417581048 19.73638679008791, -155.031378143416 19.73667764407601, -155.031087289428 19.73694125876471, -155.0307719972234 19.73717509540047, -155.0304353032386 19.73737690200865, -155.0300804500208 19.7375447350813, -155.0297108550003 19.73767697829419, -155.0293300775794 19.73777235807287, -155.0289417848526 19.73782995585795, -155.0285497162913 19.73784921695126, -155.02815764773 19.73782995585795, -155.0277693550032 19.73777235807287, -155.0273885775823 19.73767697829419, -155.0270189825619 19.7375447350813, -155.026664129344 19.73737690200865, -155.0263274353592 19.73717509540047, -155.0260121431546 19.73694125876471, -155.0257212891666 19.73667764407601, -155.0254576744778 19.73638679008791, -155.0252238378421 19.73607149788334, -155.0250220312339 19.73573480389856, -155.0248541981613 19.73537995068072, -155.0247219549484 19.73501035566028, -155.0246265751697 19.73462957823932, -155.0245689773846 19.73424128551258, -155.0245497162913 19.73384921695126))",Carlsmith Beach Park,POINT (-155.027970678621 19.7330791088927),58.1
2,19.72960150515869,-155.06855746050348,POINT (-155.0685574605035 19.72960150515869),"POLYGON ((-155.0645574605035 19.72960150515869, -155.0645767215968 19.72920943659737, -155.0646343193819 19.72882114387063, -155.0647296991606 19.72844036644967, -155.0648619423734 19.72807077142923, -155.0650297754461 19.72771591821139, -155.0652315820543 19.72737922422661, -155.06546541869 19.72706393202204, -155.0657290333787 19.72677307803394, -155.0660198873668 19.72650946334524, -155.0663351795714 19.72627562670948, -155.0666718735562 19.7260738201013, -155.067026726774 19.72590598702865, -155.0673963217945 19.72577374381576, -155.0677770992154 19.72567836403708, -155.0681653919422 19.725620766252, -155.0685574605035 19.72560150515869, -155.0689495290648 19.725620766252, -155.0693378217915 19.72567836403708, -155.0697185992125 19.72577374381576, -155.0700881942329 19.72590598702865, -155.0704430474508 19.7260738201013, -155.0707797414356 19.72627562670948, -155.0710950336401 19.72650946334524, -155.0713858876282 19.72677307803394, -155.0716495023169 19.72706393202204, -155.0718833389527 19.72737922422661, -155.0720851455609 19.72771591821139, -155.0722529786335 19.72807077142923, -155.0723852218464 19.72844036644967, -155.0724806016251 19.72882114387063, -155.0725381994102 19.72920943659737, -155.0725574605035 19.72960150515869, -155.0725381994102 19.72999357372001, -155.0724806016251 19.73038186644676, -155.0723852218464 19.73076264386771, -155.0722529786335 19.73113223888815, -155.0720851455609 19.73148709210599, -155.0718833389527 19.73182378609077, -155.0716495023169 19.73213907829534, -155.0713858876282 19.73242993228344, -155.0710950336401 19.73269354697214, -155.0707797414356 19.7329273836079, -155.0704430474508 19.73312919021608, -155.0700881942329 19.73329702328873, -155.0697185992125 19.73342926650162, -155.0693378217915 19.7335246462803, -155.0689495290648 19.73358224406538, -155.0685574605035 19.73360150515869, -155.0681653919422 19.73358224406538, -155.0677770992154 19.7335246462803, -155.0673963217945 19.73342926650162, -155.067026726774 19.73329702328873, -155.0666718735562 19.73312919021608, -155.0663351795714 19.7329273836079, -155.0660198873668 19.73269354697214, -155.0657290333787 19.73242993228344, -155.06546541869 19.73213907829534, -155.0652315820543 19.73182378609077, -155.0650297754461 19.73148709210599, -155.0648619423734 19.73113223888815, -155.0647296991606 19.73076264386771, -155.0646343193819 19.73038186644676, -155.0645767215968 19.72999357372001, -155.0645574605035 19.72960150515869))",Kamehameha Festival,POINT (-155.068534 19.729624),0.9
3,19.72337373464229,-155.09680053809566,POINT (-155.0962905216799 19.72278800369724),"POLYGON ((-155.0922905216799 19.72278800369724, -155.0923097827732 19.72239593513592, -155.0923673805583 19.72200764240918, -155.092462760337 19.72162686498822, -155.0925950035498 19.72125726996778, -155.0927628366225 19.72090241674994, -155.0929646432307 19.72056572276517, -155.0931984798664 19.72025043056059, -155.0934620945552 19.7199595765725, -155.0937529485432 19.71969596188379, -155.0940682407478 19.71946212524803, -155.0944049347326 19.71926031863985, -155.0947597879504 19.7190924855672, -155.0951293829709 19.71896024235431, -155.0955101603918 19.71886486257563, -155.0958984531186 19.71880726479056, -155.0962905216799 19.71878800369724, -155.0966825902412 19.71880726479056, -155.097070882968 19.71886486257563, -155.0974516603889 19.71896024235431, -155.0978212554093 19.7190924855672, -155.0981761086272 19.71926031863985, -155.098512802612 19.71946212524803, -155.0988280948166 19.71969596188379, -155.0991189488046 19.7199595765725, -155.0993825634934 19.72025043056059, -155.0996164001291 19.72056572276517, -155.0998182067373 19.72090241674994, -155.0999860398099 19.72125726996778, -155.1001182830228 19.72162686498822, -155.1002136628015 19.72200764240918, -155.1002712605866 19.72239593513592, -155.1002905216799 19.72278800369724, -155.1002712605866 19.72318007225856, -155.1002136628015 19.72356836498531, -155.1001182830228 19.72394914240626, -155.0999860398099 19.7243187374267, -155.0998182067373 19.72467359064455, -155.0996164001291 19.72501028462932, -155.0993825634934 19.7253255768339, -155.0991189488046 19.72561643082199, -155.0988280948166 19.72588004551069, -155.098512802612 19.72611388214645, -155.0981761086272 19.72631568875464, -155.0978212554093 19.72648352182729, -155.0974516603889 19.72661576504017, -155.097070882968 19.72671114481886, -155.0966825902412 19.72676874260393, -155.0962905216799 19.72678800369724, -155.0958984531186 19.72676874260393, -155.0955101603918 19.72671114481886, -155.0951293829709 19.72661576504017, -155.0947597879504 19.72648352182729, -155.0944049347326 19.72631568875464, -155.0940682407478 19.72611388214645, -155.0937529485432 19.72588004551069, -155.0934620945552 19.72561643082199, -155.0931984798664 19.7253255768339, -155.0929646432307 19.72501028462932, -155.0927628366225 19.72467359064455, -155.0925950035498 19.7243187374267, -155.092462760337 19.72394914240626, -155.0923673805583 19.72356836498531, -155.0923097827732 19.72318007225856, -155.0922905216799 19.72278800369724))",Hawaiian vacation home,POINT (-155.0989774 19.7220993),192.1
4,19.723664247615986,-155.0896834224239,POINT (-155.0896834224239 19.72366424761599),"POLYGON ((-155.0856834224239 19.72366424761599, -155.0857026835172 19.72327217905467, -155.0857602813023 19.72288388632792, -155.085855661081 19.72250310890697, -155.0859879042938 19.72213351388653, -155.0861557373665 19.72177866066868, -155.0863575439747 19.72144196668391, -155.0865913806104 19.72112667447933, -155.0868549952991 19.72083582049124, -155.0871458492872 19.72057220580254, -155.0874611414918 19.72033836916678, -155.0877978354766 19.72013656255859, -155.0881526886944 19.71996872948594, -155.0885222837149 19.71983648627306, -155.0889030611358 19.71974110649437, -155.0892913538626 19.7196835087093, -155.0896834224239 19.71966424761598, -155.0900754909852 19.7196835087093, -155.090463783712 19.71974110649437, -155.0908445611329 19.71983648627306, -155.0912141561533 19.71996872948594, -155.0915690093712 19.72013656255859, -155.091905703356 19.72033836916678, -155.0922209955606 19.72057220580254, -155.0925118495486 19.72083582049124, -155.0927754642373 19.72112667447933, -155.0930093008731 19.72144196668391, -155.0932111074813 19.72177866066868, -155.0933789405539 19.72213351388653, -155.0935111837668 19.72250310890697, -155.0936065635455 19.72288388632792, -155.0936641613306 19.72327217905467, -155.0936834224239 19.72366424761599, -155.0936641613306 19.7240563161773, -155.0936065635455 19.72444460890405, -155.0935111837668 19.724825386325, -155.0933789405539 19.72519498134545, -155.0932111074813 19.72554983456329, -155.0930093008731 19.72588652854806, -155.0927754642373 19.72620182075264, -155.0925118495486 19.72649267474073, -155.0922209955606 19.72675628942944, -155.091905703356 19.7269901260652, -155.0915690093712 19.72719193267338, -155.0912141561533 19.72735976574603, -155.0908445611329 19.72749200895892, -155.090463783712 19.7275873887376, -155.0900754909852 19.72764498652267, -155.0896834224239 19.72766424761599, -155.0892913538626 19.72764498652267, -155.0889030611358 19.7275873887376, -155.0885222837149 19.72749200895892, -155.0881526886944 19.72735976574603, -155.0877978354766 19.72719193267338, -155.0874611414918 19.7269901260652, -155.0871458492872 19.72675628942944, -155.0868549952991 19.72649267474073, -155.0865913806104 19.72620182075264, -155.0863575439747 19.72588652854806, -155.0861557373665 19.72554983456329, -155.0859879042938 19.72519498134545, -155.085855661081 19.724825386325, -155.0857602813023 19.72444460890405, -155.0857026835172 19.7240563161773, -155.0856834224239 19.72366424761599))",YWCA of Hawaii Island Developmental Preschool,POINT (-155.0888541 19.7235039),43.5
5,19.721127012185736,-155.08867841827677,POINT (-155.0886784182768 19.72112701218574),"POLYGON ((-155.0846784182768 19.72112701218574, -155.0846976793701 19.72073494362442, -155.0847552771552 19.72034665089767, -155.0848506569338 19.71996587347672, -155.0849829001467 19.71959627845628, -155.0851507332194 19.71924142523843, -155.0853525398276 19.71890473125366, -155.0855863764633 19.71858943904908, -155.085849991152 19.71829858506099, -155.0861408451401 19.71803497037229, -155.0864561373447 19.71780113373653, -155.0867928313295 19.71759932712834, -155.0871476845473 19.71743149405569, -155.0875172795677 19.71729925084281, -155.0878980569887 19.71720387106412, -155.0882863497154 19.71714627327905, -155.0886784182768 19.71712701218573, -155.0890704868381 19.71714627327905, -155.0894587795648 19.71720387106412, -155.0898395569858 19.71729925084281, -155.0902091520062 19.71743149405569, -155.0905640052241 19.71759932712834, -155.0909006992088 19.71780113373653, -155.0912159914134 19.71803497037229, -155.0915068454015 19.71829858506099, -155.0917704600902 19.71858943904908, -155.092004296726 19.71890473125366, -155.0922061033342 19.71924142523843, -155.0923739364068 19.71959627845628, -155.0925061796197 19.71996587347672, -155.0926015593984 19.72034665089767, -155.0926591571834 19.72073494362442, -155.0926784182768 19.72112701218574, -155.0926591571834 19.72151908074705, -155.0926015593984 19.7219073734738, -155.0925061796197 19.72228815089476, -155.0923739364068 19.7226577459152, -155.0922061033342 19.72301259913304, -155.092004296726 19.72334929311781, -155.0917704600902 19.72366458532239, -155.0915068454015 19.72395543931048, -155.0912159914134 19.72421905399919, -155.0909006992088 19.72445289063495, -155.0905640052241 19.72465469724313, -155.0902091520062 19.72482253031578, -155.0898395569858 19.72495477352867, -155.0894587795648 19.72505015330735, -155.0890704868381 19.72510775109242, -155.0886784182768 19.72512701218574, -155.0882863497154 19.72510775109242, -155.0878980569887 19.72505015330735, -155.0875172795677 19.72495477352867, -155.0871476845473 19.72482253031578, -155.0867928313295 19.72465469724313, -155.0864561373447 19.72445289063495, -155.0861408451401 19.72421905399919, -155.085849991152 19.72395543931048, -155.0855863764633 19.72366458532239, -155.0853525398276 19.72334929311781, -155.0851507332194 19.72301259913304, -155.0849829001467 19.7226577459152, -155.0848506569338 19.72228815089476, -155.0847552771552 19.7219073734738, -155.0846976793701 19.72151908074705, -155.0846784182768 19.72112701218574))",Haili Christian School,POINT (-155.0887389 19.7222213),155.4
6,19.718493070230085,-155.08321711958797,POINT (-155.083217119588 19.71849307023009),"POLYGON ((-155.079217119588 19.71849307023009, -155.0792363806813 19.71810100166877, -155.0792939784664 19.71771270894202, -155.079389358245 19.71733193152107, -155.0795216014579 19.71696233650063, -155.0796894345306 19.71660748328278, -155.0798912411388 19.71627078929801, -155.0801250777745 19.71595549709343, -155.0803886924632 19.71566464310534, -155.0806795464513 19.71540102841664, -155.0809948386559 19.71516719178087, -155.0813315326407 19.71496538517269, -155.0816863858585 19.71479755210004, -155.0820559808789 19.71466530888716, -155.0824367582999 19.71456992910847, -155.0828250510266 19.7145123313234, -155.083217119588 19.71449307023008, -155.0836091881493 19.7145123313234, -155.083997480876 19.71456992910847, -155.084378258297 19.71466530888716, -155.0847478533174 19.71479755210004, -155.0851027065353 19.71496538517269, -155.08543940052 19.71516719178087, -155.0857546927246 19.71540102841664, -155.0860455467127 19.71566464310534, -155.0863091614014 19.71595549709343, -155.0865429980372 19.71627078929801, -155.0867448046454 19.71660748328278, -155.086912637718 19.71696233650063, -155.0870448809309 19.71733193152107, -155.0871402607096 19.71771270894202, -155.0871978584946 19.71810100166877, -155.087217119588 19.71849307023009, -155.0871978584946 19.7188851387914, -155.0871402607096 19.71927343151815, -155.0870448809309 19.7196542089391, -155.086912637718 19.72002380395955, -155.0867448046454 19.72037865717739, -155.0865429980372 19.72071535116216, -155.0863091614014 19.72103064336674, -155.0860455467127 19.72132149735483, -155.0857546927246 19.72158511204353, -155.08543940052 19.7218189486793, -155.0851027065353 19.72202075528748, -155.0847478533174 19.72218858836013, -155.084378258297 19.72232083157301, -155.083997480876 19.7224162113517, -155.0836091881493 19.72247380913677, -155.083217119588 19.72249307023009, -155.0828250510266 19.72247380913677, -155.0824367582999 19.7224162113517, -155.0820559808789 19.72232083157301, -155.0816863858585 19.72218858836013, -155.0813315326407 19.72202075528748, -155.0809948386559 19.7218189486793, -155.0806795464513 19.72158511204353, -155.0803886924632 19.72132149735483, -155.0801250777745 19.72103064336674, -155.0798912411388 19.72071535116216, -155.0796894345306 19.72037865717739, -155.0795216014579 19.72002380395955, -155.079389358245 19.7196542089391, -155.0792939784664 19.71927343151815, -155.0792363806813 19.7188851387914, -155.079217119588 19.71849307023009))",Cost.U.Less,POINT (-155.0835839 19.7183317),31.5
7,19.71795638494917,-155.07891920858327,POINT (-155.0789192085833 19.71795638494917),"POLYGON ((-155.0749192085833 19.71795638494917, -155.0749384696766 19.71756431638785, -155.0749960674617 19.7171760236611, -155.0750914472403 19.71679524624015, -155.0752236904532 19.71642565121971, -155.0753915235259 19.71607079800187, -155.0755933301341 19.71573410401709, -155.0758271667698 19.71541881181252, -155.0760907814585 19.71512795782442, -155.0763816354466 19.71486434313572, -155.0766969276512 19.71463050649996, -155.077033621636 19.71442869989178, -155.0773884748538 19.71426086681912, -155.0777580698742 19.71412862360624, -155.0781388472952 19.71403324382755, -155.0785271400219 19.71397564604248, -155.0789192085833 19.71395638494917, -155.0793112771446 19.71397564604248, -155.0796995698713 19.71403324382755, -155.0800803472923 19.71412862360624, -155.0804499423127 19.71426086681912, -155.0808047955306 19.71442869989178, -155.0811414895153 19.71463050649996, -155.0814567817199 19.71486434313572, -155.081747635708 19.71512795782442, -155.0820112503967 19.71541881181252, -155.0822450870325 19.71573410401709, -155.0824468936407 19.71607079800187, -155.0826147267133 19.71642565121971, -155.0827469699262 19.71679524624015, -155.0828423497049 19.7171760236611, -155.0828999474899 19.71756431638785, -155.0829192085833 19.71795638494917, -155.0828999474899 19.71834845351049, -155.0828423497049 19.71873674623723, -155.0827469699262 19.71911752365819, -155.0826147267133 19.71948711867863, -155.0824468936407 19.71984197189647, -155.0822450870325 19.72017866588125, -155.0820112503967 19.72049395808582, -155.081747635708 19.72078481207392, -155.0814567817199 19.72104842676262, -155.0811414895153 19.72128226339838, -155.0808047955306 19.72148407000656, -155.0804499423127 19.72165190307921, -155.0800803472923 19.7217841462921, -155.0796995698713 19.72187952607078, -155.0793112771446 19.72193712385586, -155.0789192085833 19.72195638494917, -155.0785271400219 19.72193712385586, -155.0781388472952 19.72187952607078, -155.0777580698742 19.7217841462921, -155.0773884748538 19.72165190307921, -155.077033621636 19.72148407000656, -155.0766969276512 19.72128226339838, -155.0763816354466 19.72104842676262, -155.0760907814585 19.72078481207392, -155.0758271667698 19.72049395808582, -155.0755933301341 19.72017866588125, -155.0753915235259 19.71984197189647, -155.0752236904532 19.71948711867863, -155.0750914472403 19.71911752365819, -155.0749960674617 19.71873674623723, -155.0749384696766 19.71834845351049, -155.0749192085833 19.71795638494917))",Restaurant Kenichi,POINT (-155.08006 19.717235),109.2
8,19.718250249666447,-155.1143661170268,POINT (-155.1143661170268 19.71825024966645),"POLYGON ((-155.1103661170268 19.71825024966645, -155.1103853781201 19.71785818110513, -155.1104429759052 19.71746988837838, -155.1105383556839 19.71708911095743, -155.1106705988967 19.71671951593699, -155.1108384319694 19.71636466271914, -155.1110402385776 19.71602796873437, -155.1112740752133 19.71571267652979, -155.1115376899021 19.7154218225417, -155.1118285438901 19.715158207853, -155.1121438360947 19.71492437121724, -155.1124805300795 19.71472256460905, -155.1128353832974 19.7145547315364, -155.1132049783178 19.71442248832352, -155.1135857557387 19.71432710854483, -155.1139740484655 19.71426951075976, -155.1143661170268 19.71425024966645, -155.1147581855881 19.71426951075976, -155.1151464783149 19.71432710854483, -155.1155272557358 19.71442248832352, -155.1158968507563 19.7145547315364, -155.1162517039741 19.71472256460905, -155.1165883979589 19.71492437121724, -155.1169036901635 19.715158207853, -155.1171945441515 19.7154218225417, -155.1174581588403 19.71571267652979, -155.117691995476 19.71602796873437, -155.1178938020842 19.71636466271914, -155.1180616351569 19.71671951593699, -155.1181938783697 19.71708911095743, -155.1182892581484 19.71746988837838, -155.1183468559335 19.71785818110513, -155.1183661170268 19.71825024966645, -155.1183468559335 19.71864231822777, -155.1182892581484 19.71903061095451, -155.1181938783697 19.71941138837547, -155.1180616351569 19.71978098339591, -155.1178938020842 19.72013583661375, -155.117691995476 19.72047253059852, -155.1174581588403 19.7207878228031, -155.1171945441515 19.72107867679119, -155.1169036901635 19.7213422914799, -155.1165883979589 19.72157612811566, -155.1162517039741 19.72177793472384, -155.1158968507563 19.72194576779649, -155.1155272557358 19.72207801100938, -155.1151464783149 19.72217339078806, -155.1147581855881 19.72223098857313, -155.1143661170268 19.72225024966645, -155.1139740484655 19.72223098857313, -155.1135857557387 19.72217339078806, -155.1132049783178 19.72207801100938, -155.1128353832974 19.72194576779649, -155.1124805300795 19.72177793472384, -155.1121438360947 19.72157612811566, -155.1118285438901 19.7213422914799, -155.1115376899021 19.72107867679119, -155.1112740752133 19.7207878228031, -155.1110402385776 19.72047253059852, -155.1108384319694 19.72013583661375, -155.1106705988967 19.71978098339591, -155.1105383556839 19.71941138837547, -155.1104429759052 19.71903061095451, -155.1103853781201 19.71864231822777, -155.1103661170268 19.71825024966645))",Hilo Medical Center Heliport,POINT (-155.1143653 19.7184778),10.1
9,19.715925279601073,-155.10571258493943,POINT (-155.1057125849394 19.71592527960107),"POLYGON ((-155.1017125849394 19.71592527960107, -155.1017318460327 19.71553321103976, -155.1017894438178 19.71514491831301, -155.1018848235965 19.71476414089205, -155.1020170668094 19.71439454587161, -155.102184899882 19.71403969265377, -155.1023867064902 19.713702998669, -155.102620543126 19.71338770646442, -155.1028841578147 19.71309685247633, -155.1031750118028 19.71283323778762, -155.1034903040074 19.71259940115186, -155.1038269979921 19.71239759454368, -155.10418185121 19.71222976147103, -155.1045514462304 19.71209751825814, -155.1049322236514 19.71200213847946, -155.1053205163781 19.71194454069439, -155.1057125849394 19.71192527960107, -155.1061046535008 19.71194454069439, -155.1064929462275 19.71200213847946, -155.1068737236484 19.71209751825814, -155.1072433186689 19.71222976147103, -155.1075981718867 19.71239759454368, -155.1079348658715 19.71259940115186, -155.1082501580761 19.71283323778762, -155.1085410120642 19.71309685247633, -155.1088046267529 19.71338770646442, -155.1090384633886 19.713702998669, -155.1092402699968 19.71403969265377, -155.1094081030695 19.71439454587161, -155.1095403462824 19.71476414089205, -155.109635726061 19.71514491831301, -155.1096933238461 19.71553321103976, -155.1097125849394 19.71592527960107, -155.1096933238461 19.71631734816239, -155.109635726061 19.71670564088914, -155.1095403462824 19.71708641831009, -155.1094081030695 19.71745601333053, -155.1092402699968 19.71781086654838, -155.1090384633886 19.71814756053315, -155.1088046267529 19.71846285273773, -155.1085410120642 19.71875370672582, -155.1082501580761 19.71901732141452, -155.1079348658715 19.71925115805028, -155.1075981718867 19.71945296465847, -155.1072433186689 19.71962079773112, -155.1068737236484 19.719753040944, -155.1064929462275 19.71984842072269, -155.1061046535008 19.71990601850776, -155.1057125849394 19.71992527960107, -155.1053205163781 19.71990601850776, -155.1049322236514 19.71984842072269, -155.1045514462304 19.719753040944, -155.10418185121 19.71962079773112, -155.1038269979921 19.71945296465847, -155.1034903040074 19.71925115805028, -155.1031750118028 19.71901732141452, -155.1028841578147 19.71875370672582, -155.102620543126 19.71846285273773, -155.1023867064902 19.71814756053315, -155.102184899882 19.71781086654838, -155.1020170668094 19.71745601333053, -155.1018848235965 19.71708641831009, -155.1017894438178 19.71670564088914, -155.1017318460327 19.71631734816239, -155.1017125849394 19.71592527960107))",7-Eleven,POINT (-155.1041287 19.7149798),178.7
