,Unnamed: 0.1,Unnamed: 0,yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,hours_open,main_category
0,0,201,C8IeolsUWU0MWFY0aCEdRg,1923,https://s3-media3.fl.yelpcdn.com/bphoto/chingDS5bwnSpyvB7rMweQ/o.jpg,OPERATIONAL,https://www.yelp.com/biz/1923-ann-arbor?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 934-0969,8.0,"['tacos', 'foodtrucks']",5.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/chingDS5bwnSpyvB7rMweQ/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/xGgyuXqNxQxK2aS4WhcH6w/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/6zHXP-QhDUx3n7iMRkFxNw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '1900', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.28348,-83.75104,REGULAR,"320 Miller Ave Ann Arbor, MI 48103",,,,"1923320 Miller Ave Ann Arbor, MI 48103","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,tacos
1,1,989,xE2I0C6uWcx2mstg-j45yA,¡Whoa! Tacos,https://s3-media3.fl.yelpcdn.com/bphoto/t0TidFd50LUU7mzaLEJZuw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/whoa-tacos-metro-detroit?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 716-2646,3.0,"['foodtrucks', 'catering', 'tacos']",3.5,"['https://s3-media3.fl.yelpcdn.com/bphoto/t0TidFd50LUU7mzaLEJZuw/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/_q4pe6masYuEj_2LjU1JWg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/h0wn2g7g24rUtldRGe0Idg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 0}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 1}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 2}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 3}, {'is_overnight': False, 'start': '0900', 'end': '1700', 'day': 4}, {'is_overnight': False, 'start': '0930', 'end': '1700', 'day': 5}, {'is_overnight': False, 'start': '1000', 'end': '1700', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.35800171,-83.21499634,REGULAR,"Metro Detroit, MI 48393",,,,"¡Whoa! TacosMetro Detroit, MI 48393","Frita Batidos117 W Washington St Ann Arbor, MI 48104",86,,foodtrucks
2,6,42,,119 W. Oakbrook,,OPERATIONAL,,,,,,,,,42.2466146,-83.7506508,,"119 W Oakbrook Dr, Ann Arbor",ChIJeTAWbbmvPIgRDMkbfbWDkms,,,"119 W. Oakbrook119 W Oakbrook Dr, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,
3,7,216,,121 Kingsley West,,OPERATIONAL,,,,,,,,,42.2846554,-83.7494212,,"121 W Kingsley St, Ann Arbor",ChIJpfttqxeuPIgRH2F3lX3omf4,,,"121 Kingsley West121 W Kingsley St, Ann Arbor","Buddy's Pizza - Ann Arbor3153 Ann Arbor-Saline Rd Ann Arbor, MI 48103",86,,
4,10,148,,19 Drips Coffee & Tea,,OPERATIONAL,,,183.0,cafe,4.9,,,,42.2737079,-83.7776365,,"2263 West Liberty Street, Ann Arbor",ChIJlWpaZcaxPIgR6BgBdK43t70,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']","19 Drips Coffee & Tea2263 West Liberty Street, Ann Arbor","Eat407 N 5th Ave Ann Arbor, MI 48104",86,,cafe
5,11,5,,19 Drips Coffee and Tea,,OPERATIONAL,,,50.0,cafe,4.7,,,,42.2823664,-83.7878077,,"2891 Jackson Avenue, Ann Arbor",ChIJf2xyQKWxPIgROi7JT9q0gEE,"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0800'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0800'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0800'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0800'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0800'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0800'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0800'}}]","['Monday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Tuesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 8:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 8:00\u202fAM\u2009–\u20095:00\u202fPM']","19 Drips Coffee and Tea2891 Jackson Avenue, Ann Arbor","University of Michigan Museum of Natural History1105 N University Ann Arbor, MI 48109",86,,cafe
6,14,624,,1923 Taco Bus,,OPERATIONAL,,,59.0,restaurant,5.0,,,,42.2745745,-83.7492814,,"552 South Main Street, Ann Arbor",ChIJG_fPBiWvPIgR07JhsVpVo1Y,"[{'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1200'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1200'}}]","['Monday: Closed', 'Tuesday: 12:00\u2009–\u20097:00\u202fPM', 'Wednesday: 12:00\u2009–\u20097:00\u202fPM', 'Thursday: 12:00\u2009–\u20097:00\u202fPM', 'Friday: 12:00\u2009–\u20097:00\u202fPM', 'Saturday: 12:00\u2009–\u20097:00\u202fPM', 'Sunday: Closed']","1923 Taco Bus552 South Main Street, Ann Arbor","Buddy's Pizza - Ann Arbor3153 Ann Arbor-Saline Rd Ann Arbor, MI 48103",86,,restaurant
7,27,227,,"2310 Stone Rd, Ann Arbor, MI 48105",,OPERATIONAL,,,,,,,,,42.2935005,-83.7003664,,"2310 Stone Rd, Ann Arbor",ChIJ8fsX7GCvPIgROTGO9K8BpfQ,,,"2310 Stone Rd, Ann Arbor, MI 481052310 Stone Rd, Ann Arbor","eat1906 Packard St Ann Arbor, MI 48104",86,,
8,28,349,e8ytyR9afwnMWKbv6bVvYw,24th Cheese Cakerie,https://s3-media3.fl.yelpcdn.com/bphoto/yPS21XniN9CFNI9KUlirxw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/24th-cheese-cakerie-ann-arbor?adjust_creative=kl8jOau67NZclbVQDYPhNQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=kl8jOau67NZclbVQDYPhNQ,(734) 489-4707,8.0,['bakeries'],5.0,"['https://s3-media3.fl.yelpcdn.com/bphoto/yPS21XniN9CFNI9KUlirxw/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/3Y4by9gO6Nowz2g3U9pD-A/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/0ZEsBrF1ddlzfHVKDXXHlA/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 0}, {'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 1}, {'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 2}, {'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 4}, {'is_overnight': False, 'start': '1300', 'end': '1900', 'day': 5}, {'is_overnight': False, 'start': '1300', 'end': '1800', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': False}]",42.240631,-83.746772,REGULAR,"100 Briarwood Cir Ann Arbor, MI 48108",,,,"24th Cheese Cakerie100 Briarwood Cir Ann Arbor, MI 48108","24thcc100 Briarwood Cir Ann Arbor, MI 48108",87,,bakeries
9,30,221,,300 Briarcrest,,OPERATIONAL,,,,,,,,,42.2463257,-83.7457755,,"300 Briarcrest Dr, Ann Arbor",ChIJiXQebmavPIgRT7KC7nKhr4g,,,"300 Briarcrest300 Briarcrest Dr, Ann Arbor","Vinology Restaurant & Event Space110 S Main St Ann Arbor, MI 48104",86,,
