yelp_id,Name,image_url,business_status,url,display_phone,user_ratings_total,category,rating,photos,price_level,hours,Latitude,Longitude,hour_type,Address,google_id,business_hours,business_hours_text,Name + Address,second_best_match,second_best_score,geometry,hours_open
2qdd5HpV7JQ9NTkJjJOEuA,@islandwoodfired,https://s3-media4.fl.yelpcdn.com/bphoto/R_nnradNrV8b82u_aUw03Q/o.jpg,OPERATIONAL,https://www.yelp.com/biz/islandwoodfired-hilo-2?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 769-8138,1,restaurant,5,"['https://s3-media4.fl.yelpcdn.com/bphoto/R_nnradNrV8b82u_aUw03Q/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/g66zX6Yn5EczWHjEZksvpg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1700', 'end': '2100', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '1500', 'day': 4}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.71924,-155.08186,REGULAR,"Hilo, HI 96720",,,,"@islandwoodfiredHilo, HI 96720","Two Ladies Kitchen274 Kilauea Ave Hilo, HI 96720",86,POINT (-155.08186 19.71924),
,1 Plus 1 Cafe LLC,,OPERATIONAL,,,159,restaurant,4.2,,,,19.7014708,-155.0631917,,"315 Makaala Street, Hilo",ChIJBYgN4mxLUnkRtlTwzQlSODQ,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]","['Monday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Tuesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20098:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20098:00\u202fPM']","1 Plus 1 Cafe LLC315 Makaala Street, Hilo","Makani's Magic Pineapple Shack54 Waianuenue Ave Hilo, HI 96720",86,POINT (-155.0631917 19.7014708),70
,4-H Youth Development Program,,OPERATIONAL,,,,university,,,,,19.6962318,-155.0899181,,"875 Komohana Street, Hilo",ChIJT-p_0jNLUnkR6pz-E1j8ACU,,,"4-H Youth Development Program875 Komohana Street, Hilo","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.0899181 19.6962318),
rmsQo7FTTKjHs3eQ_1-s4Q,5-Spice,https://s3-media2.fl.yelpcdn.com/bphoto/qU17FpyhJbul2_UvOb5BDw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/5-spice-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 657-4009,56,restaurant,4.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/qU17FpyhJbul2_UvOb5BDw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/Qa1Nwpw3NY5GlUFce8AHfg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/f1vbnIYP2-E00yf90n0bTQ/o.jpg']",$,"[{'open': [{'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 0}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 1}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 2}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 4}, {'is_overnight': False, 'start': '0600', 'end': '1600', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.691641,-155.0669464,REGULAR,"2064 Kilauea Ave Hilo, HI 96720",,,,"5-Spice2064 Kilauea Ave Hilo, HI 96720","Hawaiian Style Cafe Hilo681 Manono St Ste 101 Hilo, HI 96720",86,POINT (-155.0669464 19.691641),
_4hWdVBV4C7MaTiK8nDeSQ,75 Degrees cafe,https://s3-media3.fl.yelpcdn.com/bphoto/QllwT5DvYqSo3rA3BMm4wA/o.jpg,OPERATIONAL,https://www.yelp.com/biz/75-degrees-cafe-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 796-8449,5,restaurant,4,"['https://s3-media3.fl.yelpcdn.com/bphoto/QllwT5DvYqSo3rA3BMm4wA/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/B1b3yMlnLg86_hYkhEYi8Q/o.jpg', 'https://s3-media2.fl.yelpcdn.com/bphoto/8o65hE7uWUGWBLhZISEJRg/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 0}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 1}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 2}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1500', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.71033,-155.07558,REGULAR,"111 E Puainako St Ste 568 Hilo, HI 96720",,,,"75 Degrees cafe111 E Puainako St Ste 568 Hilo, HI 96720","Da Hawaiian Brain Freeze Shave Ice & Ice Cream1263 Kilauea Ave Ste 290 Hilo, HI 96720",86,POINT (-155.07558 19.71033),
iOUjq6AoOph7rhEcXFg1UQ,808 LOCAL FLAVAH,https://s3-media3.fl.yelpcdn.com/bphoto/0sVpslUS_KZhyunUYENybg/o.jpg,OPERATIONAL,https://www.yelp.com/biz/808-local-flavah-hilo-4?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 313-2938,2,restaurant,5,"['https://s3-media3.fl.yelpcdn.com/bphoto/0sVpslUS_KZhyunUYENybg/o.jpg', 'https://s3-media1.fl.yelpcdn.com/bphoto/--iG9tvhrumDaAOkj5EeSQ/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/B6rtW8-4rQviRBxKGBaThw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0800', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.7236213,-155.0849898,,,,,,,Kaumana CemeteryHilo,68,POINT (-155.0849898 19.7236213),
-O2kKNsSEQbl12M4dDCakg,808 Sweet Shack,https://s3-media1.fl.yelpcdn.com/bphoto/p42fDYA8W3z7cEmwYMM1qw/o.jpg,OPERATIONAL,https://www.yelp.com/biz/808-sweet-shack-hilo-4?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 657-3713,12,restaurant,5,"['https://s3-media1.fl.yelpcdn.com/bphoto/p42fDYA8W3z7cEmwYMM1qw/o.jpg', 'https://s3-media3.fl.yelpcdn.com/bphoto/ZY2nip4XnUWISojdSyeZXg/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/AobS7ZJbS4mIktKzKekfHw/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '1000', 'end': '1600', 'day': 3}, {'is_overnight': False, 'start': '1000', 'end': '1530', 'day': 4}, {'is_overnight': False, 'start': '1000', 'end': '1400', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': False}]",19.7061614,-155.0682212,,,,,,,Kaumana CemeteryHilo,68,POINT (-155.0682212 19.7061614),
,A-Plus Program,,CLOSED_TEMPORARILY,,,,school,,,,,19.6865574,-155.1351105,,"1710 Kaumana Drive, Hilo",ChIJ34vYQgK1U3kRRiIF4hDYEFM,,,"A-Plus Program1710 Kaumana Drive, Hilo","Hawaiian Style Cafe Hilo681 Manono St Ste 101 Hilo, HI 96720",86,POINT (-155.1351105 19.6865574),
7HROvTr9PTVIsL1_NWRLMQ,Affordable Catering & Okazuya,https://s3-media4.fl.yelpcdn.com/bphoto/vsHEjiR1JIRHGanI6S21sA/o.jpg,OPERATIONAL,https://www.yelp.com/biz/affordable-catering-and-okazuya-hilo?adjust_creative=mBBascM2deXlQ6oZ4QoP9Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=mBBascM2deXlQ6oZ4QoP9Q,(808) 935-5611,9,restaurant,3.5,"['https://s3-media2.fl.yelpcdn.com/bphoto/UOsyPfNsgVxIvl37ufS2VA/o.jpg', 'https://s3-media4.fl.yelpcdn.com/bphoto/MPK67dAcMUgByUBD3IVogA/o.jpg']",,"[{'open': [{'is_overnight': False, 'start': '0530', 'end': '1400', 'day': 0}, {'is_overnight': False, 'start': '0530', 'end': '1400', 'day': 1}, {'is_overnight': False, 'start': '0530', 'end': '1400', 'day': 2}, {'is_overnight': False, 'start': '0530', 'end': '1400', 'day': 3}, {'is_overnight': False, 'start': '0530', 'end': '1400', 'day': 4}, {'is_overnight': False, 'start': '0630', 'end': '1200', 'day': 5}], 'hours_type': 'REGULAR', 'is_open_now': True}]",19.70673,-155.06677,REGULAR,"177 Kaumana St Hilo, HI 96720",,,,"Affordable Catering & Okazuya177 Kaumana St Hilo, HI 96720","Cafe 100969 Kilauea Ave Hilo, HI 96720",86,POINT (-155.06677 19.70673),
,Agricultural Research Stations,,OPERATIONAL,,,1,university,1,,,,19.6336145,-155.0891018,,"924 Stainback Highway, Hilo",ChIJ73y48JVKUnkRYMqVsclnwk4,,,"Agricultural Research Stations924 Stainback Highway, Hilo","Waiakea Research Station924 Stainback Highway, Hilo",87,POINT (-155.0891018 19.6336145),
