OBJECTID,Title,x,y
1,Point,-10546257.038316488,3418024.8012757357
2,Point,-10546821.321241608,3417229.69569367
3,Point,-10546387.294775823,3417600.8519572346
4,Point,-10545750.661665484,3417921.4172091587
6,Point,-10548708.994864443,3415509.825234467
7,Point,-10548305.405115733,3415812.00902329
8,Point,-10550038.343209013,3414855.8090450466
9,Point,-10550006.922103912,3414517.2448884067
10,Point,-10549946.179299455,3417180.5789313302
11,Point,-10550567.976609642,3416132.844865293
12,Point,-10550289.352817932,3416358.8995386707
13,Point,-10550714.127902696,3415309.996803426
14,Point,-10550642.710786667,3415350.7625964666
15,Point,-10550768.973709857,3415169.140678057
16,Point,-10550870.486972703,3415016.593195697
19,Point,-10551948.33118165,3414951.9734887388
20,Point,-10552077.999807395,3414912.411354957
21,Point,-10552208.41955384,3414874.2254982353
22,Point,-10552324.250763457,3414835.414485156
23,Point,-10552457.273772951,3414799.491321227
25,Point,-10552709.02983725,3414721.6360277664
26,Point,-10552167.182560863,3414766.2647272665
27,Point,-10552300.392184194,3414730.733452399
28,Point,-10552427.116976637,3414692.776197629
29,Point,-10552554.03771361,3414646.258033014
31,Point,-10552428.227328977,3414581.097145924
33,Point,-10552367.811098726,3414517.28920916
35,Point,-10552129.337274387,3414507.370683639
36,Point,-10551989.386226136,3414584.227593063
37,Point,-10552224.939543897,3414515.105827248
50,Point,-10552552.610117719,3414398.8220790355
51,Point,-10552080.141201174,3413579.9139018347
52,Point,-10552603.91026195,3414084.695004534
53,Point,-10550362.146211037,3414088.0167308548
54,Point,-10550233.765220778,3414831.6075627995
55,Point,-10550649.29825517,3413643.278630723
56,Point,-10550959.525100445,3413373.882893332
57,Point,-10551176.295735354,3413160.1727253767
58,Point,-10551556.838675011,3412947.936806745
59,Point,-10551610.508814992,3412876.071817502
60,Point,-10551854.039874354,3412580.60612686
61,Point,-10551985.192080116,3412239.7932734387
62,Point,-10552076.77748675,3412376.786492349
63,Point,-10552230.74323428,3412267.0015711053
65,Point,-10552471.554396944,3412079.207399984
69,Point,-10557353.596787857,3412596.60243188
70,Point,-10557485.682062812,3412508.6793218274
72,Point,-10552608.361438898,3413034.4078278607
73,Point,-10551707.39449153,3413147.5844556224
74,Point,-10552002.589592107,3412425.5755141107
75,Point,-10552857.32762628,3411788.914411711
76,Point,-10553101.259905396,3411606.8539507813
77,Point,-10553282.499265436,3411469.048961673
78,Point,-10553522.372693563,3411298.5119052758
79,Point,-10553431.566399703,3411344.960089701
80,Point,-10554323.365942258,3412373.8181660096
81,Point,-10554398.991200317,3410736.62696801
82,Point,-10555331.873779438,3410139.8172508096
83,Point,-10555131.730437549,3410373.4671074185
84,Point,-10554923.292110533,3410374.661435985
85,Point,-10554838.289507054,3410483.9518305566
86,Point,-10555218.29126658,3410627.3925575903
87,Point,-10554270.61021006,3411428.11521622
88,Point,-10554872.635784047,3411768.629487498
89,Point,-10554090.39722613,3410910.233822052
90,Point,-10553868.662663115,3411044.138581933
91,Point,-10555707.788695846,3409915.124858485
92,Point,-10555955.322622046,3409680.9198257066
93,Point,-10556075.156698499,3409777.329200069
94,Point,-10556385.789428873,3410260.4304400696
95,Point,-10556320.343955679,3410152.1384295346
96,Point,-10556254.319979584,3410037.7861345913
97,Point,-10556213.796784533,3410107.8689616746
98,Point,-10556598.51987415,3410571.4317327486
99,Point,-10556598.622511761,3410695.8285175543
100,Point,-10556549.84165435,3410826.7381253266
101,Point,-10556703.214902941,3411281.935931111
102,Point,-10557489.838886056,3412755.630079815
103,Point,-10557246.503771225,3412321.4543229477
104,Point,-10557658.687087215,3412665.3556353967
105,Point,-10556759.264369346,3411213.3086919663
107,Point,-10559491.542894995,3411978.752004411
108,Point,-10556687.614802526,3409202.297894503
109,Point,-10556404.31633416,3409340.4201271366
110,Point,-10556134.34209387,3409505.116170386
111,Point,-10556093.613623597,3409432.206143648
112,Point,-10556694.678136317,3409398.0744725694
113,Point,-10556878.604735633,3409107.255466508
115,Point,-10558758.309947575,3410412.3020239063
116,Point,-10558542.752302617,3410511.291334587
117,Point,-10558839.981494034,3410729.302951522
118,Point,-10558959.93686948,3410596.2566152983
120,Point,-10560776.650580136,3409438.5090260413
121,Point,-10559773.148659173,3407187.3023149236
122,Point,-10559011.848173935,3407680.401391327
123,Point,-10558134.865770165,3408237.471691599
124,Point,-10558600.756548902,3407931.8075546776
125,Point,-10558663.356161045,3408230.2217439655
126,Point,-10560644.131427975,3406786.5864193127
127,Point,-10560631.255073113,3406612.3264168357
128,Point,-10561770.252636958,3406309.5174716446
129,Point,-10561759.401042243,3406095.5553750074
130,Point,-10569606.83952907,3402360.554041218
131,Point,-10569699.779134506,3402058.993360313
132,Point,-10568400.545598159,3402152.9534280384
133,Point,-10580676.003900388,3393783.2107991246
134,Point,-10583159.423541531,3392118.503390629
135,Point,-10586032.716814244,3389023.1396499937
136,Point,-10572694.660653714,3398699.608360839
138,Point,-10550765.820198894,3418336.1531623234
139,Point,-10550297.94566958,3415434.3152674716
140,Point,-10549441.98589069,3415358.9584393217
141,Point,-10549556.865369728,3415175.7176458626
142,Point,-10552583.905118594,3414977.7110324292
143,Point,-10552193.154401977,3415175.913590392
144,Point,-10551095.902353855,3415457.1779679097
145,Point,-10555439.973934054,3410657.824605749
146,Point,-10552214.01899553,3414193.656488633
147,Point,-10550998.33014205,3414304.388475094
148,Point,-10551851.402647704,3414394.396994763
149,Point,-10552013.852326902,3414412.1789609087
150,Point,-10552374.267221903,3413780.134045778
151,Point,-10552353.284237904,3413675.713278578
152,Point,-10555828.68122915,3412762.7762198057
153,Point,-10568383.771670673,3402194.7690372523
154,Point,-10559843.52464283,3412150.8925812393
155,Point,-10558750.650936395,3410181.3315284373
156,Point,-10558861.499556517,3410009.264238564
