,OBJECTID,longitude,latitude
0,0000,-94.8523,29.2736
1,1001,-94.7506,29.3198
2,1002,-94.8182,29.3159
3,1003,-94.7996,29.3041
4,1004,-94.7988,29.3043
5,1005,-94.7989,29.304
6,1006,-94.7832,29.3007
7,1007,-94.7829,29.3071
8,1008,-94.7825,29.3058
9,1009,-94.7824,29.3054
10,1010,-94.7895,29.3082
11,1011,-94.7955,29.3071
12,1012,-94.7949,29.3064
13,1013,-94.7945,29.306
14,1014,-94.7912,29.2989
15,1015,-94.7946,29.3031
16,1016,-94.7932,29.3044
17,1017,-94.7958,29.3047
18,1018,-94.7922,29.3055
19,1019,-94.7909,29.3053
20,1020,-94.7914,29.3054
21,1021,-94.7939,29.2868
22,1022,-94.8047,29.2798
23,1023,-94.8077,29.2848
24,1024,-94.8084,29.284
25,1025,-94.8085,29.2908
26,1026,-94.8145,29.2832
27,1027,-94.8312,29.2769
28,1028,-94.8409,29.2592
29,1029,-94.8563,29.2878
30,1030,-94.8701,29.2604
31,2001,-94.7386,29.3324
32,2002,-94.7437,29.3262
33,2003,-94.7398,29.3291
34,2004,-94.7341,29.3316
35,2005,-94.7607,29.3127
36,2006,-94.757,29.3151
37,2007,-94.7726,29.3076
38,2008,-94.7723,29.305
39,2009,-94.7718,29.3258
40,2010,-94.7774,29.3176
41,2011,-94.7749,29.3194
42,2012,-94.7787,29.3112
43,2013,-94.778,29.3115
44,2014,-94.7792,29.3101
45,2015,-94.7801,29.3089
46,2016,-94.7898,29.3084
47,2017,-94.7909,29.308
48,2018,-94.7921,29.3077
49,2019,-94.7931,29.3074
50,2020,-94.7943,29.3072
51,2021,-94.7966,29.3066
52,2022,-94.7917,29.3069
53,2023,-94.7929,29.3066
54,2024,-94.7941,29.3063
55,2025,-94.7952,29.306
56,2026,-94.7941,29.3055
57,2027,-94.7935,29.305
58,2028,-94.7914,29.3049
59,2029,-94.7901,29.3055
60,2030,-94.7922,29.3049
61,2031,-94.7952,29.304
62,2032,-94.7909,29.2976
63,2033,-94.7957,29.3016
64,2034,-94.7755,29.3016
65,2035,-94.7744,29.3074
66,2036,-94.7781,29.2981
67,2037,-94.7809,29.296
68,2038,-94.7828,29.2943
69,2039,-94.7862,29.2927
70,2040,-94.7867,29.2921
71,2041,-94.7889,29.2898
72,2042,-94.7901,29.2871
73,2043,-94.7909,29.2882
74,2044,-94.7923,29.2873
75,2045,-94.7945,29.2859
76,2046,-94.8383,29.2899
77,2047,-94.8395,29.2892
78,2048,-94.7957,29.2933
79,2049,-94.7876,29.2942
80,2050,-94.7903,29.2886
81,2051,-94.7979,29.2836
82,2052,-94.8001,29.2822
83,2053,-94.8017,29.2811
84,2054,-94.8039,29.2797
85,2055,-94.8031,29.2801
86,2056,-94.8111,29.2882
87,2057,-94.8118,29.2753
88,2058,-94.8202,29.2707
89,2059,-94.8184,29.2725
90,2060,-94.8165,29.2725
91,2061,-94.8157,29.2734
92,2062,-94.8191,29.2745
93,2063,-94.8106,29.2808
94,2064,-94.816,29.2834
95,2065,-94.809,29.2767
96,2066,-94.807,29.2777
97,2067,-94.8235,29.2689
98,2068,-94.8258,29.2671
99,2069,-94.8268,29.2678
100,2070,-94.8296,29.2716
101,2071,-94.829,29.2708
102,2072,-94.8284,29.2699
103,2073,-94.8281,29.2704
104,2074,-94.8315,29.274
105,2075,-94.8315,29.275
106,2076,-94.8311,29.276
107,2077,-94.8325,29.2796
108,2078,-94.8395,29.2912
109,2079,-94.8374,29.2878
110,2080,-94.8411,29.2904
111,2081,-94.833,29.2791
112,2082,-94.8575,29.2851
113,2083,-94.8323,29.2633
114,2084,-94.8298,29.2644
115,2085,-94.8274,29.2657
116,2086,-94.827,29.2651
117,2087,-94.8324,29.2648
118,2088,-94.8341,29.2626
119,2089,-94.8509,29.2728
120,2090,-94.849,29.2736
121,2091,-94.8517,29.2753
122,2092,-94.8528,29.2742
123,2093,-94.8691,29.2652
124,2094,-94.8601,29.2475
125,2095,-94.8532,29.2514
126,2096,-94.8453,29.2557
127,2097,-94.8495,29.2534
128,2098,-94.8501,29.2557
129,2099,-94.8679,29.2444
130,2100,-94.8678,29.243
131,2101,-94.878,29.2406
132,2102,-94.8779,29.239
133,2103,-94.9484,29.2097
134,2104,-94.9492,29.2073
135,2105,-94.9376,29.2081
136,2106,-95.0478,29.1424
137,2107,-95.0701,29.1293
138,2108,-95.0959,29.105
139,2109,-94.9761,29.181
140,2110,-94.7791,29.3349
141,2111,-94.7749,29.3121
142,2112,-94.7672,29.3115
143,2113,-94.7683,29.3101
144,2114,-94.7955,29.3086
145,2115,-94.792,29.3101
146,2116,-94.7821,29.3123
147,2117,-94.8211,29.2747
148,2118,-94.7922,29.3024
149,2119,-94.7812,29.3033
150,2120,-94.7889,29.304
151,2121,-94.7904,29.3041
152,2122,-94.7936,29.2992
153,2123,-94.7934,29.2984
154,2124,-94.8246,29.2912
155,2125,-94.9374,29.2084
156,2126,-94.8607,29.2864
157,2127,-94.8509,29.271
158,2128,-94.8519,29.2696
