Name,Address,Longitude,Latitude,geometry
1011 Harborside Dr Garage,"1011 Harborside Drive, Galveston",-94.7798238,29.3119026,POINT (-94.7798238 29.3119026)
102 Kempner St. Lot,"102 Kempner Street, Galveston",-94.7929968,29.3082068,POINT (-94.7929968 29.3082068)
1201 Harborside Drive Parking,"1201 Harborside Drive, Galveston",-94.7820555,29.3116497,POINT (-94.7820555 29.3116497)
1301-1399 Mechanic St Parking,"1301-1399 Mechanic Street, Galveston",-94.7828452,29.309375,POINT (-94.7828452 29.309375)
144 22nd St Parking,"144 22nd Street, Galveston",-94.7930049,29.3081835,POINT (-94.7930049 29.3081835)
1859 Ashton Villa,"2328 Broadway Avenue J, Galveston",-94.7928797,29.3001881,POINT (-94.7928797 29.3001881)
1859 St. Joseph's Church,"2202 Avenue K, Galveston",-94.790738,29.2996052,POINT (-94.790738 29.2996052)
1880 Garten Verein,"2704 Avenue O, Galveston",-94.7951569,29.2928902,POINT (-94.7951569 29.2928902)
1886 Victorian,"2002 Avenue K, Galveston",-94.7884721,29.3001899,POINT (-94.7884721 29.3001899)
1909 Market St Parking,"1909 Market Street, Galveston",-94.789535,29.306246,POINT (-94.789535 29.306246)
2011 Market St Parking,"2011 Market Street, Galveston",-94.7907929,29.3059209,POINT (-94.7907929 29.3059209)
2019-2099 Mechanic Street Parking,"2019-2099 Mechanic Street, Galveston",-94.7910633,29.3065551,POINT (-94.7910633 29.3065551)
2024 Seawall Blvd Parking,"2024 Seawall Boulevard, Galveston",-94.786074,29.292642,POINT (-94.786074 29.292642)
2027 Post Office St Parking,"540 Moody Avenue, Galveston",-94.7908453,29.3049496,POINT (-94.7908453 29.3049496)
2028 Mechanic St. Lot,"2028 Mechanic Street, Galveston",-94.7916201,29.3067625,POINT (-94.7916201 29.3067625)
208 22nd St Parking,"208 22nd Street, Galveston",-94.7933944,29.3071309,POINT (-94.7933944 29.3071309)
2083 Mechanic St Parking,"2083 Mechanic Street, Galveston",-94.7917033,29.3071712,POINT (-94.7917033 29.3071712)
2100 Market St. Parking Garage,"2100 Market Street, Galveston",-94.7918501,29.3061658,POINT (-94.7918501 29.3061658)
2190 Terminal Dr Parking,"2190 Terminal Drive, Galveston",-94.8539629,29.2669691,POINT (-94.8539629 29.2669691)
225 25th St Parking,"225 25th Street, Galveston",-94.796879,29.3058168,POINT (-94.796879 29.3058168)
23rd Street Station Piano Bar,"1706 23rd Street, Galveston",-94.7894671,29.2937028,POINT (-94.7894671 29.2937028)
25 Inn,"2108 25th Street, Galveston",-94.7906829,29.2896182,POINT (-94.7906829 29.2896182)
2608 Sealy Ave Parking,"2608 Sealy Avenue, Galveston",-94.7962016,29.3003026,POINT (-94.7962016 29.3003026)
3018 Texas Clipper Rd Parking,"3018 Texas Clipper Road, Galveston",-94.8171688,29.3157226,POINT (-94.8171688 29.3157226)
3BeachHouses,"17407 Termini-San Luis Pass Road, Galveston",-94.9838106,29.1760274,POINT (-94.9838106 29.1760274)
3G Fishing Charters,"9301 N Broadway Street, Galveston",-94.8739094,29.2885942,POINT (-94.8739094 29.2885942)
4523 Seawall Blvd Parking,"4523 Seawall Boulevard, Galveston",-94.8126046,29.2750797,POINT (-94.8126046 29.2750797)
51st Towing/Ace of Galveston,"4328 Winnie Street, Galveston",-94.8164712,29.2967918,POINT (-94.8164712 29.2967918)
5400 Seawall Boulevard Parking,"5400 Seawall Boulevard, Galveston",-94.8186599,29.2713047,POINT (-94.8186599 29.2713047)
600 26th St Parking,"600 26th Street, Galveston",-94.797186,29.3021002,POINT (-94.797186 29.3021002)
6303 Broadway St. Parking,"6303 Broadway Street, Galveston",-94.8405191,29.28783,POINT (-94.8405191 29.28783)
7 Palms,"25919 Glossy Ibis Way, Galveston",-95.0959682,29.1056361,POINT (-95.0959682 29.1056361)
71st Apartment,"1900 Biovu Dr, Galveston",-94.8364665,29.2784907,POINT (-94.8364665 29.2784907)
81st Dolphin Parking,"2801 Market Street, Galveston",-94.7997881,29.3036021,POINT (-94.7997881 29.3036021)
8701 Teichman Rd Parking,"8701 Teichman Road, Galveston",-94.8661714,29.282649,POINT (-94.8661714 29.282649)
99 CENT PLUS GAS,"1817 61st Street, Galveston",-94.8337893,29.2801323,POINT (-94.8337893 29.2801323)
A Bird's Eye View Condo at Diamond Beach,"10327 FM3005, Galveston",-94.8679827,29.243323,POINT (-94.8679827 29.243323)
