,OBJECTID,longitude,latitude
0,0000,-94.85229,29.2736
1,1001,-94.75064,29.31979
2,1002,-94.81825,29.31592
3,1003,-94.79957,29.3041
4,1004,-94.79884,29.30426
5,1005,-94.79889,29.30395
6,1006,-94.78324,29.30074
7,1007,-94.78292,29.30713
8,1008,-94.78254,29.30583
9,1009,-94.78236,29.30545
10,1010,-94.78947,29.30821
11,1011,-94.79547,29.30707
12,1012,-94.79489,29.30637
13,1013,-94.79452,29.30597
14,1014,-94.79118,29.29888
15,1015,-94.79459,29.30305
16,1016,-94.79317,29.30444
17,1017,-94.79578,29.30468
18,1018,-94.7922,29.30553
19,1019,-94.79094,29.3053
20,1020,-94.79143,29.3054
21,1021,-94.79388,29.28682
22,1022,-94.80466,29.27979
23,1023,-94.80766,29.28484
24,1024,-94.80842,29.28395
25,1025,-94.80848,29.29082
26,1026,-94.81446,29.28318
27,1027,-94.83123,29.27693
28,1028,-94.84085,29.25919
29,1029,-94.8563,29.28778
30,1030,-94.87008,29.26036
31,2001,-94.73864,29.33243
32,2002,-94.74371,29.3262
33,2003,-94.73981,29.32911
34,2004,-94.73409,29.33162
35,2005,-94.76067,29.31273
36,2006,-94.75704,29.31509
37,2007,-94.77261,29.3076
38,2008,-94.77232,29.30495
39,2009,-94.77178,29.32581
40,2010,-94.77736,29.31761
41,2011,-94.77486,29.31938
42,2012,-94.77868,29.31116
43,2013,-94.77804,29.31148
44,2014,-94.77917,29.31006
45,2015,-94.78008,29.30886
46,2016,-94.78976,29.30836
47,2017,-94.79093,29.30805
48,2018,-94.7921,29.30775
49,2019,-94.79314,29.30745
50,2020,-94.79434,29.30716
51,2021,-94.7966,29.30655
52,2022,-94.79173,29.3069
53,2023,-94.79293,29.30663
54,2024,-94.79407,29.30633
55,2025,-94.79521,29.30596
56,2026,-94.79408,29.30545
57,2027,-94.79353,29.30495
58,2028,-94.79139,29.30488
59,2029,-94.79013,29.30548
60,2030,-94.79225,29.30494
61,2031,-94.79519,29.30403
62,2032,-94.79095,29.29761
63,2033,-94.79565,29.30156
64,2034,-94.77552,29.30159
65,2035,-94.77436,29.30742
66,2036,-94.7781,29.29811
67,2037,-94.78088,29.296
68,2038,-94.78283,29.29432
69,2039,-94.78625,29.29266
70,2040,-94.78673,29.2921
71,2041,-94.78892,29.28978
72,2042,-94.7901,29.28711
73,2043,-94.79092,29.28818
74,2044,-94.7923,29.28732
75,2045,-94.79446,29.28585
76,2046,-94.83832,29.28991
77,2047,-94.83951,29.28922
78,2048,-94.79569,29.29334
79,2049,-94.7876,29.29422
80,2050,-94.79025,29.28857
81,2051,-94.79793,29.28358
82,2052,-94.80012,29.28215
83,2053,-94.80175,29.28107
84,2054,-94.8039,29.27974
85,2055,-94.80309,29.2801
86,2056,-94.8111,29.28816
87,2057,-94.81178,29.27533
88,2058,-94.82016,29.27066
89,2059,-94.81836,29.27249
90,2060,-94.81649,29.2725
91,2061,-94.81573,29.27335
92,2062,-94.81914,29.27448
93,2063,-94.81063,29.28075
94,2064,-94.81603,29.28342
95,2065,-94.80901,29.27669
96,2066,-94.80702,29.27774
97,2067,-94.82354,29.2689
98,2068,-94.82576,29.26706
99,2069,-94.82684,29.26782
100,2070,-94.82963,29.2716
101,2071,-94.82904,29.27075
102,2072,-94.82845,29.26986
103,2073,-94.82808,29.27041
104,2074,-94.83154,29.27404
105,2075,-94.83154,29.27501
106,2076,-94.8311,29.27604
107,2077,-94.83248,29.27961
108,2078,-94.83954,29.29115
109,2079,-94.83736,29.28775
110,2080,-94.84106,29.29044
111,2081,-94.83298,29.27907
112,2082,-94.85753,29.28507
113,2083,-94.83234,29.26331
114,2084,-94.82979,29.26439
115,2085,-94.82737,29.26568
116,2086,-94.827,29.26511
117,2087,-94.8324,29.26484
118,2088,-94.83405,29.26256
119,2089,-94.85094,29.27279
120,2090,-94.849,29.27357
121,2091,-94.85167,29.27528
122,2092,-94.85275,29.27423
123,2093,-94.86907,29.26516
124,2094,-94.86006,29.24752
125,2095,-94.85322,29.25138
126,2096,-94.84534,29.25575
127,2097,-94.84952,29.25335
128,2098,-94.85009,29.25569
129,2099,-94.86788,29.24438
130,2100,-94.86776,29.24301
131,2101,-94.878,29.24064
132,2102,-94.8779,29.23896
133,2103,-94.94839,29.20968
134,2104,-94.94923,29.20731
135,2105,-94.93756,29.20805
136,2106,-95.04783,29.1424
137,2107,-95.07014,29.12934
138,2108,-95.09595,29.10505
139,2109,-94.97613,29.18097
140,2110,-94.77914,29.33486
141,2111,-94.77494,29.31214
142,2112,-94.76725,29.31155
143,2113,-94.76828,29.31011
144,2114,-94.79547,29.30856
145,2115,-94.79196,29.31011
146,2116,-94.78211,29.31232
147,2117,-94.82113,29.27472
148,2118,-94.79215,29.30242
149,2119,-94.78123,29.30329
150,2120,-94.78889,29.30399
151,2121,-94.79035,29.30413
152,2122,-94.79359,29.29918
153,2123,-94.7934,29.29836
154,2124,-94.82462,29.29121
155,2125,-94.93741,29.20838
156,2126,-94.86069,29.28641
157,2127,-94.85087,29.27098
158,2128,-94.85187,29.26963
