0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
0.0,468.7,2868.2,2976.7,3049.8,3184.2,5761.6,6274.6,7208.1,6361.5,6368.1,7657.9,6171.2,6492.2,7529.0,7675.9,7857.5,8941.6,9047.8,9427.3,9629.0,9648.6,9679.1,9682.2,9691.5,9526.6,9545.0,9580.9,9584.8,9588.7,9632.7,9665.0,9816.1,10002.6,10084.6,10066.4,10125.1,10152.0,11674.6,11399.6,11971.6,12655.1,12685.4,13543.1,11611.5,11487.4,11074.9,11053.3,11103.5,11232.1,12732.6,13908.2,13815.7,14469.6,15071.6,16426.3,15924.8,11582.2,11574.1,11029.6,11379.2,11055.8,10823.3,9158.1,9109.1,10121.9,9942.5,10239.8,10244.5,10398.4,10511.1,10012.5,10253.6,10155.4,10077.6,9958.5,9853.6,10028.0,9998.9,9946.0,9815.9,10148.7,9577.8,9521.6,8866.2,13248.8,9602.4,5907.4,5050.1,4839.1,4782.5,4726.9,6324.5,7244.9,7324.4,7548.3,3386.8,1849.6,330.1,468.7,2976.7,3049.8,3184.2,5761.6,6274.6,7208.1,6361.5,6368.1,7657.9,6171.2,6492.2,7529.0,7675.9,7857.5,9629.0,9648.6,9679.1,9682.2,9691.5,9526.6,9545.0,9580.9,9584.8,9588.7,9632.7,9665.0,9816.1,10066.4,10125.1,10152.0,11399.6,11971.6,12655.1,11611.5,11074.9,11053.3,13815.7,11379.2,10823.3,9109.1,10239.8,10244.5,10398.4,10511.1,10012.5,10253.6,10155.4,10077.6,9958.5,10028.0,9946.0,9815.9,8866.2,9602.4,6324.5,7324.4,7548.3,3386.8,330.1
911.9,0.0,2399.4,2508.0,2581.0,2715.4,5292.9,5805.9,6739.4,5892.7,5899.4,7189.1,5702.4,6023.5,7060.2,7207.1,7388.8,8472.8,8579.1,8958.5,9160.2,9179.9,9210.3,9213.5,9222.8,9057.9,9076.3,9112.2,9116.1,9119.9,9163.9,9196.3,9347.3,9533.9,9615.9,9597.6,9656.3,9683.2,11205.8,10930.8,11502.8,12186.3,12216.6,13074.3,11142.7,11018.6,10606.2,10584.5,10634.7,10763.4,12263.8,13439.5,13347.0,14000.9,14602.9,15957.6,15456.1,11113.5,11105.3,10560.8,10910.5,10587.1,10354.6,8689.4,8640.4,9653.2,9473.7,9771.1,9775.7,9929.6,10042.4,9543.8,9784.9,9686.6,9608.9,9489.7,9384.9,9559.3,9530.2,9477.2,9347.2,9679.9,9109.0,9052.9,8397.4,12780.0,9133.6,5438.7,4581.4,4370.4,4313.7,4258.2,5855.8,6776.1,6855.7,7079.5,2918.1,1380.8,639.9,0.0,2508.0,2581.0,2715.4,5292.9,5805.9,6739.4,5892.7,5899.4,7189.1,5702.4,6023.5,7060.2,7207.1,7388.8,9160.2,9179.9,9210.3,9213.5,9222.8,9057.9,9076.3,9112.2,9116.1,9119.9,9163.9,9196.3,9347.3,9597.6,9656.3,9683.2,10930.8,11502.8,12186.3,11142.7,10606.2,10584.5,13347.0,10910.5,10354.6,8640.4,9771.1,9775.7,9929.6,10042.4,9543.8,9784.9,9686.6,9608.9,9489.7,9559.3,9477.2,9347.2,8397.4,9133.6,5855.8,6855.7,7079.5,2918.1,639.9
2913.7,2654.7,0.0,208.8,281.9,416.2,2977.1,3490.1,4423.6,3546.8,3553.5,3444.0,3356.5,3576.8,4744.4,4891.3,5073.0,6157.0,6263.3,6642.7,6844.4,6864.1,6894.5,6897.7,6907.0,6742.1,6760.4,6796.3,6800.2,6804.1,6848.1,6880.4,7031.5,7218.0,7300.0,7281.8,7340.5,7367.4,8890.0,8615.0,9187.0,9870.5,9900.8,10758.5,8826.9,8702.8,8290.3,8268.7,8318.9,8447.5,9948.0,11123.7,11031.1,11685.1,12287.1,13641.8,13140.2,8797.7,8789.5,8245.0,8594.7,8271.3,8038.8,6343.4,6294.4,7337.3,7157.9,7455.2,7459.9,7613.8,7726.6,7227.9,7469.1,7370.8,7293.1,7173.9,7069.1,7243.5,7214.4,7161.4,7031.4,7364.1,6793.2,6737.1,6081.6,10464.2,6817.8,3122.9,2265.6,2054.5,1997.9,1942.3,3540.0,4460.3,4539.9,4763.7,602.3,1246.9,2641.7,2654.7,208.8,281.9,416.2,2977.1,3490.1,4423.6,3546.8,3553.5,3444.0,3356.5,3576.8,4744.4,4891.3,5073.0,6844.4,6864.1,6894.5,6897.7,6907.0,6742.1,6760.4,6796.3,6800.2,6804.1,6848.1,6880.4,7031.5,7281.8,7340.5,7367.4,8615.0,9187.0,9870.5,8826.9,8290.3,8268.7,11031.1,8594.7,8038.8,6294.4,7455.2,7459.9,7613.8,7726.6,7227.9,7469.1,7370.8,7293.1,7173.9,7243.5,7161.4,7031.4,6081.6,6817.8,3540.0,4539.9,4763.7,602.3,2641.7
3105.7,2846.7,672.0,0.0,73.1,207.4,2768.3,3281.3,4214.8,4567.1,4573.8,4664.5,3278.9,3498.9,4535.6,4682.5,4864.2,5948.2,6054.5,6433.9,6635.6,6655.3,6685.7,6688.9,6698.2,6533.3,6551.7,6587.6,6591.5,6595.3,6639.3,6671.7,6822.7,7009.3,7091.3,7073.0,7131.7,7158.6,8681.2,8406.2,8978.2,9661.7,9692.0,10549.7,8618.1,8494.0,8081.6,8059.9,8110.1,8238.8,9739.2,10914.9,10822.4,11476.3,12078.3,13433.0,12931.5,8588.9,8580.7,8036.2,8385.9,8062.5,7830.0,8047.4,8097.0,7128.6,6949.1,7246.5,7251.1,7405.0,7517.8,7019.2,7260.3,7162.0,7084.3,6965.1,6860.3,7034.7,7005.6,6952.6,6822.6,7155.3,6584.4,6528.3,5872.8,10255.4,6609.0,2914.1,2056.8,1845.8,1789.1,1733.6,3331.2,4251.5,4331.1,4554.9,393.5,1438.9,2833.7,2846.7,0.0,73.1,207.4,2768.3,3281.3,4214.8,4567.1,4573.8,4664.5,3278.9,3498.9,4535.6,4682.5,4864.2,6635.6,6655.3,6685.7,6688.9,6698.2,6533.3,6551.7,6587.6,6591.5,6595.3,6639.3,6671.7,6822.7,7073.0,7131.7,7158.6,8406.2,8978.2,9661.7,8618.1,8081.6,8059.9,10822.4,8385.9,7830.0,8097.0,7246.5,7251.1,7405.0,7517.8,7019.2,7260.3,7162.0,7084.3,6965.1,7034.7,6952.6,6822.6,5872.8,6609.0,3331.2,4331.1,4554.9,393.5,2833.7
3099.3,2840.3,598.9,549.5,0.0,201.0,2761.8,3274.9,4208.4,4560.6,4567.3,4658.1,3272.5,3492.5,4529.2,4676.1,4857.7,5941.8,6048.0,6427.5,6629.2,6648.8,6679.3,6682.4,6691.7,6526.8,6545.2,6581.1,6585.0,6588.9,6632.9,6665.2,6816.3,7002.8,7084.8,7066.6,7125.3,7152.2,8674.8,8399.8,8971.8,9655.3,9685.6,10543.3,8611.7,8487.6,8075.1,8053.5,8103.7,8232.3,9732.8,10908.4,10815.9,11469.9,12071.8,13426.5,12925.0,8582.5,8574.3,8029.8,8379.4,8056.0,7823.5,8041.0,8090.6,7122.1,6942.7,7240.0,7244.7,7398.6,7511.4,7012.7,7253.9,7155.6,7077.8,6958.7,6853.9,7028.3,6999.1,6946.2,6816.1,7148.9,6578.0,6521.9,5866.4,10249.0,6602.6,2907.7,2050.4,1839.3,1782.7,1727.1,3324.7,4245.1,4324.7,4548.5,387.0,1432.5,2827.3,2840.3,549.5,0.0,201.0,2761.8,3274.9,4208.4,4560.6,4567.3,4658.1,3272.5,3492.5,4529.2,4676.1,4857.7,6629.2,6648.8,6679.3,6682.4,6691.7,6526.8,6545.2,6581.1,6585.0,6588.9,6632.9,6665.2,6816.3,7066.6,7125.3,7152.2,8399.8,8971.8,9655.3,8611.7,8075.1,8053.5,10815.9,8379.4,7823.5,8090.6,7240.0,7244.7,7398.6,7511.4,7012.7,7253.9,7155.6,7077.8,6958.7,7028.3,6946.2,6816.1,5866.4,6602.6,3324.7,4324.7,4548.5,387.0,2827.3
3438.2,3179.2,981.6,932.2,757.8,0.0,2668.2,3181.2,4114.7,4467.0,4473.7,4564.4,3178.8,3398.8,4435.6,4582.4,4764.1,5848.1,5954.4,6333.8,6535.6,6555.2,6585.6,6588.8,6598.1,6433.2,6451.6,6487.5,6491.4,6495.3,6539.2,6571.6,6722.7,6909.2,6991.2,6972.9,7031.6,7058.5,8581.2,8306.1,8878.1,9561.6,9591.9,10449.6,8518.0,8393.9,7981.5,7959.8,8010.0,8138.7,9639.1,10814.8,10722.3,11376.2,11978.2,13332.9,12831.4,8488.8,8480.6,7936.1,8285.8,7962.4,7729.9,7947.3,7996.9,7028.5,6849.1,7146.4,7151.1,7304.9,7417.7,6919.1,7160.2,7061.9,6984.2,6865.0,6760.2,6934.6,6905.5,6852.5,6722.5,7055.2,6484.3,6428.2,5772.7,10155.3,6508.9,2814.0,1956.7,1745.7,1689.0,1633.5,3231.1,4151.4,4231.0,4454.8,293.4,1540.9,3166.2,3179.2,932.2,757.8,0.0,2668.2,3181.2,4114.7,4467.0,4473.7,4564.4,3178.8,3398.8,4435.6,4582.4,4764.1,6535.6,6555.2,6585.6,6588.8,6598.1,6433.2,6451.6,6487.5,6491.4,6495.3,6539.2,6571.6,6722.7,6972.9,7031.6,7058.5,8306.1,8878.1,9561.6,8518.0,7981.5,7959.8,10722.3,8285.8,7729.9,7996.9,7146.4,7151.1,7304.9,7417.7,6919.1,7160.2,7061.9,6984.2,6865.0,6934.6,6852.5,6722.5,5772.7,6508.9,3231.1,4231.0,4454.8,293.4,3166.2
6085.1,5826.1,3224.9,3380.2,3109.0,3587.6,0.0,513.0,1446.5,1798.8,1805.5,1896.2,2010.3,2233.9,1767.4,1914.2,2095.9,3179.9,3286.2,3665.6,3867.4,3887.0,3917.4,3920.6,3929.9,3765.0,3783.4,3819.3,3823.2,3827.1,3871.0,3903.4,4054.5,4241.0,4790.2,4771.9,4830.6,4857.5,6380.1,6105.1,6483.0,6986.4,7016.6,7781.4,5849.9,5725.8,5313.3,5291.7,5341.9,5470.5,6970.9,8146.6,8054.1,8708.0,9310.0,10664.7,10163.2,5820.6,5812.4,5267.9,5617.6,5294.2,5061.7,5279.2,5328.8,4360.3,4180.9,4478.2,4482.9,4636.8,4749.5,4250.9,4355.7,4860.9,4144.8,4664.0,4559.2,4733.6,4704.5,4651.5,4521.5,4854.2,4283.3,4227.2,3571.7,7954.3,4307.9,703.6,1466.7,1385.2,2055.4,1999.9,3599.4,4519.8,4599.3,4823.2,2929.3,4297.1,5813.1,5826.1,3380.2,3109.0,3587.6,0.0,513.0,1446.5,1798.8,1805.5,1896.2,2010.3,2233.9,1767.4,1914.2,2095.9,3867.4,3887.0,3917.4,3920.6,3929.9,3765.0,3783.4,3819.3,3823.2,3827.1,3871.0,3903.4,4054.5,4771.9,4830.6,4857.5,6105.1,6483.0,6986.4,5849.9,5313.3,5291.7,8054.1,5617.6,5061.7,5328.8,4478.2,4482.9,4636.8,4749.5,4250.9,4355.7,4860.9,4144.8,4664.0,4733.6,4651.5,4521.5,3571.7,4307.9,3599.4,4599.3,4823.2,2929.3,5813.1
6266.3,6007.3,3406.1,3561.4,3634.4,3768.8,688.5,0.0,933.5,1285.8,1292.5,1383.2,1497.2,1720.8,1254.4,1401.2,1582.9,2666.9,2773.2,3152.6,3354.4,3374.0,3404.4,3407.6,3416.9,3252.0,3270.4,3306.3,3310.2,3314.1,3358.0,3390.4,3541.5,3728.0,3782.1,3800.4,3905.7,3944.3,5535.2,5260.2,5970.0,6473.3,6503.6,7268.4,5336.8,5212.7,4800.3,4778.6,4828.8,4957.5,6457.9,7633.6,7541.1,8195.0,8797.0,10151.7,9650.2,5307.6,5299.4,4754.9,5104.6,4781.2,4548.7,4766.1,4815.7,3847.3,3667.9,3965.2,3969.9,4123.7,4236.5,3737.9,3842.7,3979.2,3631.8,3510.4,3634.2,3600.1,3631.0,3726.6,3596.5,3929.3,3361.1,3302.2,3979.7,8362.3,4715.9,1111.6,1874.7,1793.2,2463.4,2407.9,4007.4,4927.8,5007.3,5231.2,3110.8,4599.5,5994.3,6007.3,3561.4,3634.4,3768.8,688.5,0.0,933.5,1285.8,1292.5,1383.2,1497.2,1720.8,1254.4,1401.2,1582.9,3354.4,3374.0,3404.4,3407.6,3416.9,3252.0,3270.4,3306.3,3310.2,3314.1,3358.0,3390.4,3541.5,3800.4,3905.7,3944.3,5260.2,5970.0,6473.3,5336.8,4800.3,4778.6,7541.1,5104.6,4548.7,4815.7,3965.2,3969.9,4123.7,4236.5,3737.9,3842.7,3979.2,3631.8,3510.4,3600.1,3726.6,3596.5,3979.7,4715.9,4007.4,5007.3,5231.2,3110.8,5994.3
6722.7,6463.7,3862.5,4017.8,4090.8,4225.2,1583.4,1122.9,0.0,352.3,359.0,449.7,563.7,787.8,757.0,902.2,1083.9,2167.9,2274.2,2653.6,2855.3,2875.0,2905.4,2908.6,2917.9,2753.0,2771.4,2807.3,2811.1,2815.0,2859.0,2891.3,3042.4,3229.0,3283.1,3301.3,3408.4,3445.3,5036.2,4761.2,5470.9,5974.3,6004.6,6769.4,4837.8,4713.7,4301.3,4279.6,4329.8,4458.5,5958.9,7134.6,7042.0,7696.0,8298.0,9652.7,9151.2,4808.6,4800.4,4255.9,4605.6,4282.2,4049.7,4267.1,4316.7,3348.3,3168.8,3466.1,3470.8,3624.7,3737.5,3238.9,3343.6,3480.2,3132.7,3011.3,3136.9,3101.0,3132.0,3229.2,3099.2,3431.9,2862.1,2804.9,4874.7,9257.3,5610.9,2006.6,2769.7,2688.2,3358.4,3302.8,4902.4,5822.7,5902.3,6126.1,3567.2,5055.9,6450.7,6463.7,4017.8,4090.8,4225.2,1583.4,1122.9,0.0,352.3,359.0,449.7,563.7,787.8,757.0,902.2,1083.9,2855.3,2875.0,2905.4,2908.6,2917.9,2753.0,2771.4,2807.3,2811.1,2815.0,2859.0,2891.3,3042.4,3301.3,3408.4,3445.3,4761.2,5470.9,5974.3,4837.8,4301.3,4279.6,7042.0,4605.6,4049.7,4316.7,3466.1,3470.8,3624.7,3737.5,3238.9,3343.6,3480.2,3132.7,3011.3,3101.0,3229.2,3099.2,4874.7,5610.9,4902.4,5902.3,6126.1,3567.2,6450.7
6404.0,6145.0,3543.7,3699.0,3772.1,3906.5,1934.6,1474.1,351.2,0.0,6.7,131.0,245.0,568.5,1108.2,1253.4,1435.1,2519.1,2625.4,3004.8,3206.5,3226.2,3256.6,3259.8,3269.1,3104.2,3122.5,3158.4,3162.3,3166.2,3210.2,3242.5,3393.6,3580.1,3634.3,3652.5,3759.5,3796.5,5387.4,5112.4,5822.1,6325.5,6355.8,7120.6,5189.0,5064.9,4652.4,4630.8,4681.0,4809.6,6310.1,7485.8,7393.2,8047.2,8649.2,10003.9,9502.4,5159.8,5151.6,4607.1,4956.8,4633.4,4400.9,4618.3,4667.9,3699.4,3520.0,3817.3,3822.0,3975.9,4088.7,3590.0,3694.8,3831.3,3483.9,3362.5,3488.1,3452.2,3483.2,3580.4,3450.4,3783.1,3213.3,3156.1,5225.9,9608.5,5962.1,2357.8,3120.9,3039.4,3709.6,3654.0,5253.6,6173.9,6253.5,6477.3,3248.4,4737.2,6132.0,6145.0,3699.0,3772.1,3906.5,1934.6,1474.1,351.2,0.0,6.7,131.0,245.0,568.5,1108.2,1253.4,1435.1,3206.5,3226.2,3256.6,3259.8,3269.1,3104.2,3122.5,3158.4,3162.3,3166.2,3210.2,3242.5,3393.6,3652.5,3759.5,3796.5,5112.4,5822.1,6325.5,5189.0,4652.4,4630.8,7393.2,4956.8,4400.9,4667.9,3817.3,3822.0,3975.9,4088.7,3590.0,3694.8,3831.3,3483.9,3362.5,3452.2,3580.4,3450.4,5225.9,5962.1,5253.6,6253.5,6477.3,3248.4,6132.0
