0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148
0.0,2704.9,2858.6,2958.0,2952.7,3475.1,3494.2,4145.2,5056.6,5825.5,5769.4,5866.7,6269.9,6912.0,6917.6,6675.3,6707.8,6932.9,7174.9,7423.9,7932.1,8091.4,7473.1,7629.8,8033.0,8256.1,8096.8,8182.2,8490.2,8600.2,8752.5,9851.1,9194.4,9129.5,8990.2,8990.2,8867.1,8865.7,9136.3,9218.5,9357.7,9460.3,9835.9,9828.6,9912.8,9789.6,9670.1,9626.1,9626.8,9809.2,9767.7,9773.7,9720.2,9683.4,9689.8,9654.4,9670.8,9686.5,9687.2,9710.9,9591.7,9323.5,9320.9,9348.9,9348.6,9186.9,9244.4,9356.6,9353.4,9141.5,9019.7,8814.1,8753.7,7771.3,6812.5,5833.5,5784.9,5536.0,5437.0,4889.3,2989.0,1802.5,1182.5,1153.1,559.3,2704.9,2858.6,2952.7,3475.1,5769.4,5866.7,6269.9,6912.0,6675.3,6707.8,6932.9,7932.1,8091.4,7473.1,8033.0,8256.1,8182.2,8490.2,8752.5,9851.1,9129.5,8990.2,8990.2,8867.1,8865.7,9136.3,9218.5,9357.7,9460.3,9835.9,9828.6,9912.8,9789.6,9670.1,9626.1,9809.2,9773.7,9683.4,9689.8,9654.4,9670.8,9686.5,9687.2,9710.9,9323.5,9320.9,9348.9,9348.6,9186.9,9244.4,9356.6,9353.4,9141.5,9019.7,8814.1,5833.5,5784.9,5437.0,4889.3,2989.0,1802.5,1182.5,1153.1,559.3
2751.1,0.0,153.7,253.2,247.8,770.3,789.3,1440.3,2351.8,3120.6,3064.6,3161.8,3565.0,4207.2,4212.7,3970.4,4002.9,4228.0,4470.1,4719.0,5126.4,5285.7,4768.2,4924.9,5227.4,5450.4,5392.0,5477.3,5785.3,5895.4,6047.6,7129.6,6472.9,6408.1,6268.7,6268.7,6145.6,6144.2,6414.8,6497.0,6636.2,6738.8,7114.4,7107.1,7191.3,7068.1,6948.6,6904.6,6905.3,7087.7,7046.2,7052.2,6998.7,6961.9,6968.3,6932.9,6949.3,6965.0,6965.7,6989.4,6870.2,6602.0,6599.4,6627.4,6627.1,6465.4,6522.9,6635.1,6631.9,6420.0,6298.2,6092.6,6032.2,4965.6,4107.7,3009.2,3080.1,2831.2,2732.1,2184.5,284.1,1037.3,2881.2,2851.7,2890.3,0.0,153.7,247.8,770.3,3064.6,3161.8,3565.0,4207.2,3970.4,4002.9,4228.0,5126.4,5285.7,4768.2,5227.4,5450.4,5477.3,5785.3,6047.6,7129.6,6408.1,6268.7,6268.7,6145.6,6144.2,6414.8,6497.0,6636.2,6738.8,7114.4,7107.1,7191.3,7068.1,6948.6,6904.6,7087.7,7052.2,6961.9,6968.3,6932.9,6949.3,6965.0,6965.7,6989.4,6602.0,6599.4,6627.4,6627.1,6465.4,6522.9,6635.1,6631.9,6420.0,6298.2,6092.6,3009.2,3080.1,2732.1,2184.5,284.1,1037.3,2881.2,2851.7,2890.3
2904.2,110.3,0.0,102.8,84.4,678.9,698.0,1543.4,2253.7,2952.4,3167.7,3264.9,3668.1,4186.6,4192.1,4331.6,4429.2,4452.7,4449.5,4698.5,5229.6,5388.8,4747.6,4904.3,5330.5,5553.6,5371.4,5456.8,5764.7,5874.8,6027.1,7443.7,6787.0,6722.1,6582.8,6582.8,6459.7,6458.3,6728.9,6811.1,6950.3,7052.9,7428.5,7421.2,7505.4,7382.1,7262.7,7218.7,7219.4,7401.8,7360.3,7366.3,7312.8,7276.0,7282.4,7247.0,7263.4,7279.1,7279.8,7303.5,7184.3,6916.1,6913.4,6941.5,6941.2,6779.5,6837.0,6949.2,6946.0,6734.1,6612.3,6406.7,6346.3,5068.8,4210.8,3112.3,3183.2,2934.3,2835.2,2287.6,387.2,1190.3,3034.2,3004.8,3043.4,110.3,0.0,84.4,678.9,3167.7,3264.9,3668.1,4186.6,4331.6,4429.2,4452.7,5229.6,5388.8,4747.6,5330.5,5553.6,5456.8,5764.7,6027.1,7443.7,6722.1,6582.8,6582.8,6459.7,6458.3,6728.9,6811.1,6950.3,7052.9,7428.5,7421.2,7505.4,7382.1,7262.7,7218.7,7401.8,7366.3,7276.0,7282.4,7247.0,7263.4,7279.1,7279.8,7303.5,6916.1,6913.4,6941.5,6941.2,6779.5,6837.0,6949.2,6946.0,6734.1,6612.3,6406.7,3112.3,3183.2,2835.2,2287.6,387.2,1190.3,3034.2,3004.8,3043.4
2927.1,176.0,102.9,0.0,18.6,625.5,644.6,1310.4,2200.3,2899.1,3228.2,3287.8,3691.0,4133.2,4138.8,4278.2,4375.8,4399.3,4396.1,4645.1,5252.5,5411.7,4694.3,4851.0,5353.4,5576.4,5318.0,5403.4,5711.4,5821.4,5973.7,7390.3,6733.6,6668.8,6529.5,6529.5,6406.3,6405.0,6675.5,6757.7,6896.9,6999.5,7375.1,7367.9,7452.0,7328.8,7209.4,7165.4,7166.0,7348.5,7306.9,7313.0,7259.4,7222.7,7229.0,7193.7,7210.0,7225.7,7226.4,7250.1,7130.9,6862.8,6860.1,6888.1,6887.9,6726.2,6783.7,6895.8,6892.6,6680.7,6559.0,6353.3,6292.9,5091.6,4233.7,3135.2,3206.1,2957.2,2858.1,2310.5,410.1,1213.2,3057.1,3027.7,3066.2,176.0,102.9,18.6,625.5,3228.2,3287.8,3691.0,4133.2,4278.2,4375.8,4399.3,5252.5,5411.7,4694.3,5353.4,5576.4,5403.4,5711.4,5973.7,7390.3,6668.8,6529.5,6529.5,6406.3,6405.0,6675.5,6757.7,6896.9,6999.5,7375.1,7367.9,7452.0,7328.8,7209.4,7165.4,7348.5,7313.0,7222.7,7229.0,7193.7,7210.0,7225.7,7226.4,7250.1,6862.8,6860.1,6888.1,6887.9,6726.2,6783.7,6895.8,6892.6,6680.7,6559.0,6353.3,3135.2,3206.1,2858.1,2310.5,410.1,1213.2,3057.1,3027.7,3066.2
2942.8,189.7,84.3,18.4,0.0,594.5,613.6,1279.4,2169.3,2868.0,3197.2,3303.5,3706.7,4102.2,4107.7,4247.2,4344.8,4368.3,4365.1,4614.1,5268.2,5427.5,4663.2,4819.9,5369.1,5592.2,5287.0,5372.4,5680.3,5790.4,5942.7,7359.3,6702.6,6637.8,6498.4,6498.4,6375.3,6373.9,6644.5,6726.7,6865.9,6968.5,7344.1,7336.9,7421.0,7297.8,7178.3,7134.3,7135.0,7317.4,7275.9,7281.9,7228.4,7191.6,7198.0,7162.6,7179.0,7194.7,7195.4,7219.1,7099.9,6831.7,6829.1,6857.1,6856.8,6695.1,6752.6,6864.8,6861.6,6649.7,6527.9,6322.3,6261.9,5107.4,4249.4,3151.0,3221.8,2972.9,2873.9,2326.2,425.8,1228.9,3072.9,3043.4,3082.0,189.7,84.3,0.0,594.5,3197.2,3303.5,3706.7,4102.2,4247.2,4344.8,4368.3,5268.2,5427.5,4663.2,5369.1,5592.2,5372.4,5680.3,5942.7,7359.3,6637.8,6498.4,6498.4,6375.3,6373.9,6644.5,6726.7,6865.9,6968.5,7344.1,7336.9,7421.0,7297.8,7178.3,7134.3,7317.4,7281.9,7191.6,7198.0,7162.6,7179.0,7194.7,7195.4,7219.1,6831.7,6829.1,6857.1,6856.8,6695.1,6752.6,6864.8,6861.6,6649.7,6527.9,6322.3,3151.0,3221.8,2873.9,2326.2,425.8,1228.9,3072.9,3043.4,3082.0
3494.7,743.6,641.8,562.9,557.5,0.0,110.4,1152.6,2262.1,3005.3,3070.4,3679.7,4082.9,4239.5,4245.0,4384.5,4482.1,4505.6,4502.4,4751.4,5644.4,4829.5,4800.5,4957.2,5314.3,5968.4,5424.3,5509.7,5817.6,5927.7,6080.0,7647.5,6990.8,6926.0,6786.6,6786.6,6663.5,6662.2,6932.7,7014.9,7154.1,7256.7,7632.3,7625.1,7709.2,7586.0,7466.6,7422.5,7423.2,7605.6,7564.1,7570.1,7516.6,7479.8,7486.2,7450.8,7467.2,7482.9,7483.6,7507.3,7388.1,7119.9,7117.3,7145.3,7145.1,6983.3,7040.8,7153.0,7149.8,6937.9,6816.2,6610.5,6550.1,5483.6,4656.7,3557.6,3488.9,3298.2,3199.2,2702.4,802.0,1780.8,3624.8,3595.3,3633.9,743.6,641.8,557.5,0.0,3070.4,3679.7,4082.9,4239.5,4384.5,4482.1,4505.6,5644.4,4829.5,4800.5,5314.3,5968.4,5509.7,5817.6,6080.0,7647.5,6926.0,6786.6,6786.6,6663.5,6662.2,6932.7,7014.9,7154.1,7256.7,7632.3,7625.1,7709.2,7586.0,7466.6,7422.5,7605.6,7570.1,7479.8,7486.2,7450.8,7467.2,7482.9,7483.6,7507.3,7119.9,7117.3,7145.3,7145.1,6983.3,7040.8,7153.0,7149.8,6937.9,6816.2,6610.5,3557.6,3488.9,3199.2,2702.4,802.0,1780.8,3624.8,3595.3,3633.9
3570.3,819.2,717.4,638.5,633.1,222.9,0.0,1233.4,2174.0,2917.2,3335.6,3755.3,4139.9,4151.4,4156.9,4296.4,4394.0,4417.5,4414.3,4663.3,5043.9,4741.4,4712.4,4869.1,5226.3,5908.0,5336.2,5421.6,5729.6,5839.6,5991.9,7723.1,5973.5,6110.2,6862.2,6862.2,6048.4,6737.8,7008.3,7090.5,7229.7,7332.3,7707.9,7700.7,7784.8,7661.6,7542.2,7498.1,7498.8,7681.2,7639.7,7645.7,7592.2,7555.4,7561.8,7526.4,7542.8,7558.5,7559.2,7582.9,7463.7,7195.5,7192.9,7220.9,7220.7,7058.9,7116.4,7228.6,7225.4,7013.5,6891.7,6686.1,6625.7,5423.2,4568.6,3602.7,3673.6,3424.7,3325.7,2778.0,877.6,1856.4,3700.3,3670.9,3709.5,819.2,717.4,633.1,222.9,3335.6,3755.3,4139.9,4151.4,4296.4,4394.0,4417.5,5043.9,4741.4,4712.4,5226.3,5908.0,5421.6,5729.6,5991.9,7723.1,6110.2,6862.2,6862.2,6048.4,6737.8,7008.3,7090.5,7229.7,7332.3,7707.9,7700.7,7784.8,7661.6,7542.2,7498.1,7681.2,7645.7,7555.4,7561.8,7526.4,7542.8,7558.5,7559.2,7582.9,7195.5,7192.9,7220.9,7220.7,7058.9,7116.4,7228.6,7225.4,7013.5,6891.7,6686.1,3602.7,3673.6,3325.7,2778.0,877.6,1856.4,3700.3,3670.9,3709.5
4190.7,1439.6,1354.4,1275.4,1270.1,1213.9,1227.6,0.0,1059.5,1758.3,2087.4,2484.5,2887.7,2992.5,2998.0,3137.4,3235.0,3258.5,3255.3,3504.3,4449.1,4608.4,3553.5,3710.2,4550.1,4773.1,4177.2,4262.6,4570.6,4680.6,4832.9,6373.6,5115.4,5252.1,5309.0,5309.0,5190.3,5391.7,5662.2,5745.2,6455.8,6502.8,6358.8,6351.6,6435.7,6312.5,6193.1,6149.0,6149.7,6332.1,6290.6,6296.6,6243.1,6206.3,6212.7,6177.3,6193.7,6209.4,6210.1,6233.8,6114.6,5502.7,5500.0,5871.8,5871.6,5709.4,5766.9,5879.1,5875.9,5664.0,5542.3,5336.6,5279.3,4288.3,3433.7,2344.9,2505.9,2315.2,2216.2,1507.1,1346.0,2476.9,4320.8,4291.3,4329.9,1439.6,1354.4,1270.1,1213.9,2087.4,2484.5,2887.7,2992.5,3137.4,3235.0,3258.5,4449.1,4608.4,3553.5,4550.1,4773.1,4262.6,4570.6,4832.9,6373.6,5252.1,5309.0,5309.0,5190.3,5391.7,5662.2,5745.2,6455.8,6502.8,6358.8,6351.6,6435.7,6312.5,6193.1,6149.0,6332.1,6296.6,6206.3,6212.7,6177.3,6193.7,6209.4,6210.1,6233.8,5502.7,5500.0,5871.8,5871.6,5709.4,5766.9,5879.1,5875.9,5664.0,5542.3,5336.6,2344.9,2505.9,2216.2,1507.1,1346.0,2476.9,4320.8,4291.3,4329.9
5113.4,2362.3,2244.3,2165.3,2159.9,2483.2,2319.6,1059.5,0.0,866.9,1285.3,1641.3,2089.6,2101.1,2106.6,2246.0,2343.7,2367.2,2364.0,2613.0,2993.6,2691.1,2662.1,2818.8,3175.9,3857.6,3285.9,3371.2,3679.2,3789.3,3941.5,4442.2,3923.1,4059.9,4116.8,4116.8,3998.1,4199.5,4470.0,4553.0,4968.9,5071.5,5505.1,5497.8,5140.3,5125.0,5339.3,5295.3,5296.0,5244.1,5436.9,5442.9,5389.4,5352.6,5230.3,5323.6,5340.0,5355.7,5356.4,5380.1,4843.7,4587.2,4584.6,4520.6,4588.3,4798.1,4855.6,4967.8,4964.5,4752.7,4630.9,4425.3,4363.8,3372.8,2518.2,1719.0,1703.8,1527.3,1428.3,1003.1,2268.7,3399.6,5243.5,5214.0,5252.6,2362.3,2244.3,2159.9,2483.2,1285.3,1641.3,2089.6,2101.1,2246.0,2343.7,2367.2,2993.6,2691.1,2662.1,3175.9,3857.6,3371.2,3679.2,3941.5,4442.2,4059.9,4116.8,4116.8,3998.1,4199.5,4470.0,4553.0,4968.9,5071.5,5505.1,5497.8,5140.3,5125.0,5339.3,5295.3,5244.1,5442.9,5352.6,5230.3,5323.6,5340.0,5355.7,5356.4,5380.1,4587.2,4584.6,4520.6,4588.3,4798.1,4855.6,4967.8,4964.5,4752.7,4630.9,4425.3,1719.0,1703.8,1428.3,1003.1,2268.7,3399.6,5243.5,5214.0,5252.6
5788.6,3037.5,2944.1,2865.2,2859.8,2803.6,2965.9,1759.3,988.9,0.0,418.3,774.4,1222.7,1234.2,1239.7,1379.1,1476.7,1500.3,1497.0,1746.0,2126.7,1824.2,1795.2,1951.9,2309.0,2990.7,2419.0,2504.3,2812.3,2922.4,3074.6,3575.2,3056.2,3192.9,3249.9,3249.9,3131.2,3332.6,3603.1,3686.1,4102.0,4204.6,4638.2,4630.9,4273.4,4258.1,4472.4,4428.4,4429.1,4377.2,4569.9,4576.0,4522.5,4485.7,4363.4,4456.7,4473.1,4488.8,4489.5,4513.2,3976.8,3720.3,3717.7,3653.7,3721.3,3931.2,3988.7,4100.9,4097.6,3885.8,3764.0,3558.3,3496.9,2505.9,1651.3,905.6,836.9,967.5,868.5,852.4,2943.9,4074.7,5918.7,5889.2,5927.8,3037.5,2944.1,2859.8,2803.6,418.3,774.4,1222.7,1234.2,1379.1,1476.7,1500.3,2126.7,1824.2,1795.2,2309.0,2990.7,2504.3,2812.3,3074.6,3575.2,3192.9,3249.9,3249.9,3131.2,3332.6,3603.1,3686.1,4102.0,4204.6,4638.2,4630.9,4273.4,4258.1,4472.4,4428.4,4377.2,4576.0,4485.7,4363.4,4456.7,4473.1,4488.8,4489.5,4513.2,3720.3,3717.7,3653.7,3721.3,3931.2,3988.7,4100.9,4097.6,3885.8,3764.0,3558.3,905.6,836.9,868.5,852.4,2943.9,4074.7,5918.7,5889.2,5927.8
