0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
0.0,0.0,654.9,468.7,1802.5,1849.6,2976.7,3049.8,3184.2,3386.8,4782.5,4726.9,6324.5,7324.4,7244.9,7548.3,4839.1,5050.1,5761.6,6274.6,7208.1,6361.5,6368.1,7657.9,6171.2,6492.2,7529.0,7675.9,7857.5,8814.1,9019.7,8865.7,9136.3,9218.5,9357.7,9460.3,9835.9,9828.6,9912.8,9789.6,9670.1,9626.1,9626.8,9809.2,9767.7,9773.7,9720.2,9683.4,9689.8,9654.4,9670.8,9686.5,9687.2,9710.9,9591.7,9323.5,9320.9,9348.9,9348.6,9186.9,9244.4,9356.6,9353.4,9141.5,8753.7,7771.3,6812.5,5833.5,5784.9,5536.0,5437.0,4889.3,2989.0,1182.5,1153.1,559.3,0.0,0.0,654.9,468.7,1849.6,2976.7,3049.8,3184.2,4726.9,6324.5,7244.9,5050.1,5761.6,6274.6,7208.1,6361.5,6368.1,7657.9,6171.2,6492.2,7529.0,7675.9,7857.5,8814.1,9019.7,8865.7,9136.3,9218.5,9357.7,9460.3,9835.9,9828.6,9912.8,9789.6,9670.1,9626.8,9767.7,9720.2,9683.4,9689.8,9654.4,9670.8,9686.5,9687.2,9591.7,9323.5,9320.9,9348.9,9348.6,9186.9,9244.4,9356.6,9353.4,6812.5,5833.5,5536.0,5437.0,4889.3,2989.0,1182.5,1153.1
140.0,334.1,0.0,555.8,1889.6,1936.7,3063.8,3136.9,3271.2,3473.9,4869.6,4814.0,6411.6,7411.5,7332.0,7635.4,4926.2,5137.2,5848.7,6361.7,7295.2,6448.6,6455.2,7745.0,6258.3,6579.3,7616.1,7763.0,7944.6,8901.2,9106.8,8952.8,9223.4,9305.6,9444.8,9547.4,9923.0,9915.7,9999.9,9876.7,9757.2,9713.2,9713.9,9896.3,9854.8,9860.8,9807.3,9770.5,9776.9,9741.5,9757.9,9773.6,9774.3,9798.0,9678.8,9410.6,9407.9,9436.0,9435.7,9274.0,9331.5,9443.7,9440.5,9228.6,8840.8,7858.4,6899.6,5920.6,5872.0,5623.1,5524.1,4976.4,3076.1,1269.6,1240.2,606.2,334.1,334.1,0.0,555.8,1936.7,3063.8,3136.9,3271.2,4814.0,6411.6,7332.0,5137.2,5848.7,6361.7,7295.2,6448.6,6455.2,7745.0,6258.3,6579.3,7616.1,7763.0,7944.6,8901.2,9106.8,8952.8,9223.4,9305.6,9444.8,9547.4,9923.0,9915.7,9999.9,9876.7,9757.2,9713.9,9854.8,9807.3,9770.5,9776.9,9741.5,9757.9,9773.6,9774.3,9678.8,9410.6,9407.9,9436.0,9435.7,9274.0,9331.5,9443.7,9440.5,6899.6,5920.6,5623.1,5524.1,4976.4,3076.1,1269.6,1240.2
118.0,911.9,1352.5,0.0,1333.8,1380.8,2508.0,2581.0,2715.4,2918.1,4313.7,4258.2,5855.8,6855.7,6776.1,7079.5,4370.4,4581.4,5292.9,5805.9,6739.4,5892.7,5899.4,7189.1,5702.4,6023.5,7060.2,7207.1,7388.8,8345.3,8551.0,8397.0,8667.5,8749.7,8889.0,8991.5,9367.2,9359.9,9444.0,9320.8,9201.4,9157.4,9158.0,9340.5,9298.9,9305.0,9251.4,9214.7,9221.0,9185.7,9202.0,9217.8,9218.4,9242.2,9122.9,8854.8,8852.1,8880.2,8879.9,8718.2,8775.7,8887.8,8884.6,8672.7,8284.9,7302.5,6343.8,5364.8,5316.2,5067.3,4968.2,4420.6,2520.2,1256.4,1226.9,1265.5,911.9,911.9,1352.5,0.0,1380.8,2508.0,2581.0,2715.4,4258.2,5855.8,6776.1,4581.4,5292.9,5805.9,6739.4,5892.7,5899.4,7189.1,5702.4,6023.5,7060.2,7207.1,7388.8,8345.3,8551.0,8397.0,8667.5,8749.7,8889.0,8991.5,9367.2,9359.9,9444.0,9320.8,9201.4,9158.0,9298.9,9251.4,9214.7,9221.0,9185.7,9202.0,9217.8,9218.4,9122.9,8854.8,8852.1,8880.2,8879.9,8718.2,8775.7,8887.8,8884.6,6343.8,5364.8,5067.3,4968.2,4420.6,2520.2,1256.4,1226.9
116.0,1851.1,2291.6,1592.1,0.0,47.1,1311.4,1682.3,1518.9,1585.4,2981.1,2925.5,4523.1,5523.0,5443.5,5746.9,3037.7,3248.7,3960.2,4473.2,5406.7,4661.1,4667.8,5856.5,4470.9,4690.8,5727.6,5874.5,6056.1,7012.7,7218.3,7064.3,7334.9,7417.1,7556.3,7658.9,8034.5,8027.3,8111.4,7988.2,7868.7,7824.7,7825.4,8007.8,7966.3,7972.3,7918.8,7882.0,7888.4,7853.0,7869.4,7885.1,7885.8,7909.5,7790.3,7522.1,7519.5,7547.5,7547.2,7385.5,7443.0,7555.2,7552.0,7340.1,6952.3,5969.9,5115.3,4032.1,4291.0,3870.7,3985.3,3224.0,1323.7,1981.2,1951.7,1990.3,1851.1,1851.1,2291.6,1592.1,47.1,1311.4,1682.3,1518.9,2925.5,4523.1,5443.5,3248.7,3960.2,4473.2,5406.7,4661.1,4667.8,5856.5,4470.9,4690.8,5727.6,5874.5,6056.1,7012.7,7218.3,7064.3,7334.9,7417.1,7556.3,7658.9,8034.5,8027.3,8111.4,7988.2,7868.7,7825.4,7966.3,7918.8,7882.0,7888.4,7853.0,7869.4,7885.1,7885.8,7790.3,7522.1,7519.5,7547.5,7547.2,7385.5,7443.0,7555.2,7552.0,5115.3,4032.1,3870.7,3985.3,3224.0,1323.7,1981.2,1951.7
248.0,1898.4,2339.0,1639.4,47.3,0.0,1358.8,1635.3,1573.1,1538.4,2934.0,2878.5,4476.1,5476.0,5396.4,5699.8,2990.7,3201.7,3913.2,4426.2,5359.7,4614.1,4620.8,5809.4,4423.8,4643.8,5680.5,5827.4,6009.1,6965.6,7171.3,7017.3,7287.8,7370.0,7509.3,7611.9,7987.5,7980.2,8064.3,7941.1,7821.7,7777.7,7778.3,7960.8,7919.2,7925.3,7871.7,7835.0,7841.3,7806.0,7822.4,7838.1,7838.7,7862.5,7743.2,7475.1,7472.4,7500.5,7500.2,7338.5,7396.0,7508.1,7504.9,7293.0,6905.2,5922.8,5068.2,3985.1,4243.9,4169.9,3938.3,3271.4,1371.0,2028.5,1999.0,2037.6,1898.4,1898.4,2339.0,1639.4,0.0,1358.8,1635.3,1573.1,2878.5,4476.1,5396.4,3201.7,3913.2,4426.2,5359.7,4614.1,4620.8,5809.4,4423.8,4643.8,5680.5,5827.4,6009.1,6965.6,7171.3,7017.3,7287.8,7370.0,7509.3,7611.9,7987.5,7980.2,8064.3,7941.1,7821.7,7778.3,7919.2,7871.7,7835.0,7841.3,7806.0,7822.4,7838.1,7838.7,7743.2,7475.1,7472.4,7500.5,7500.2,7338.5,7396.0,7508.1,7504.9,5068.2,3985.1,4169.9,3938.3,3271.4,1371.0,2028.5,1999.0
22.0,3105.7,3546.2,2846.7,1391.8,1438.9,0.0,73.1,207.4,393.5,1789.1,1733.6,3331.2,4331.1,4251.5,4554.9,1845.8,2056.8,2768.3,3281.3,4214.8,4567.1,4573.8,4664.5,3278.9,3498.9,4535.6,4682.5,4864.2,5820.7,6026.4,5872.4,6142.9,6225.1,6364.4,6466.9,6842.6,6835.3,6919.4,6796.2,6676.8,6632.8,6633.4,6815.9,6774.3,6780.4,6726.8,6690.1,6696.4,6661.1,6677.4,6693.2,6693.8,6717.6,6598.3,6330.2,6327.5,6355.6,6355.3,6193.6,6251.1,6363.2,6360.0,6148.1,5760.3,6179.1,3923.3,2840.2,3099.0,3025.0,2793.4,2298.5,687.5,3235.8,3206.3,3244.9,3105.7,3105.7,3546.2,2846.7,1438.9,0.0,73.1,207.4,1733.6,3331.2,4251.5,2056.8,2768.3,3281.3,4214.8,4567.1,4573.8,4664.5,3278.9,3498.9,4535.6,4682.5,4864.2,5820.7,6026.4,5872.4,6142.9,6225.1,6364.4,6466.9,6842.6,6835.3,6919.4,6796.2,6676.8,6633.4,6774.3,6726.8,6690.1,6696.4,6661.1,6677.4,6693.2,6693.8,6598.3,6330.2,6327.5,6355.6,6355.3,6193.6,6251.1,6363.2,6360.0,3923.3,2840.2,3025.0,2793.4,2298.5,687.5,3235.8,3206.3
152.0,3099.3,3539.8,2840.3,1385.4,1432.5,549.5,0.0,201.0,387.0,1782.7,1727.1,3324.7,4324.7,4245.1,4548.5,1839.3,2050.4,2761.8,3274.9,4208.4,4560.6,4567.3,4658.1,3272.5,3492.5,4529.2,4676.1,4857.7,5814.3,6019.9,5866.0,6136.5,6218.7,6357.9,6460.5,6836.1,6828.9,6913.0,6789.8,6670.4,6626.3,6627.0,6809.4,6767.9,6773.9,6720.4,6683.6,6690.0,6654.6,6671.0,6686.7,6687.4,6711.1,6591.9,6323.7,6321.1,6349.1,6348.9,6187.1,6244.6,6356.8,6353.6,6141.7,5753.9,6172.7,3916.9,2833.7,3092.6,2872.2,2786.9,2225.5,614.4,3229.3,3199.9,3238.4,3099.3,3099.3,3539.8,2840.3,1432.5,549.5,0.0,201.0,1727.1,3324.7,4245.1,2050.4,2761.8,3274.9,4208.4,4560.6,4567.3,4658.1,3272.5,3492.5,4529.2,4676.1,4857.7,5814.3,6019.9,5866.0,6136.5,6218.7,6357.9,6460.5,6836.1,6828.9,6913.0,6789.8,6670.4,6627.0,6767.9,6720.4,6683.6,6690.0,6654.6,6671.0,6686.7,6687.4,6591.9,6323.7,6321.1,6349.1,6348.9,6187.1,6244.6,6356.8,6353.6,3916.9,2833.7,2872.2,2786.9,2225.5,614.4,3229.3,3199.9
146.0,3438.2,3878.8,3179.2,1588.3,1540.9,932.2,757.8,0.0,293.4,1689.0,1633.5,3231.1,4231.0,4151.4,4454.8,1745.7,1956.7,2668.2,3181.2,4114.7,4467.0,4473.7,4564.4,3178.8,3398.8,4435.6,4582.4,4764.1,5720.6,5926.3,5772.3,6042.8,6125.0,6264.3,6366.9,6742.5,6735.2,6819.3,6696.1,6576.7,6532.7,6533.4,6715.8,6674.2,6680.3,6626.7,6590.0,6596.3,6561.0,6577.4,6593.1,6593.7,6617.5,6498.2,6230.1,6227.4,6255.5,6255.2,6093.5,6151.0,6263.1,6259.9,6048.1,5660.2,6079.0,3823.2,2740.1,2998.9,2925.0,2693.3,2641.2,997.1,3568.3,3538.8,3577.4,3438.2,3438.2,3878.8,3179.2,1540.9,932.2,757.8,0.0,1633.5,3231.1,4151.4,1956.7,2668.2,3181.2,4114.7,4467.0,4473.7,4564.4,3178.8,3398.8,4435.6,4582.4,4764.1,5720.6,5926.3,5772.3,6042.8,6125.0,6264.3,6366.9,6742.5,6735.2,6819.3,6696.1,6576.7,6533.4,6674.2,6626.7,6590.0,6596.3,6561.0,6577.4,6593.1,6593.7,6498.2,6230.1,6227.4,6255.5,6255.2,6093.5,6151.0,6263.1,6259.9,3823.2,2740.1,2925.0,2693.3,2641.2,997.1,3568.3,3538.8
114.0,3434.7,3875.3,3175.7,1584.8,1537.4,809.0,411.1,835.6,0.0,1638.9,1583.4,3181.0,4180.9,4101.3,4404.7,1695.6,1906.6,2618.1,3131.1,4064.6,4416.9,4423.6,4514.3,3055.6,3275.6,4385.4,4532.3,4714.0,5670.5,5876.2,5722.2,5992.7,6074.9,6214.2,6316.8,6692.4,6685.1,6769.2,6646.0,6526.6,6482.6,6483.2,6665.7,6624.1,6630.2,6576.6,6539.9,6546.2,6510.9,6527.3,6543.0,6543.6,6567.4,6448.1,6180.0,6177.3,6205.4,6205.1,6043.4,6100.9,6213.0,6209.8,5998.0,5610.1,6028.9,3700.0,2616.8,2875.7,2801.7,2570.0,2518.0,873.8,3564.8,3535.3,3573.9,3434.7,3434.7,3875.3,3175.7,1537.4,809.0,411.1,835.6,1583.4,3181.0,4101.3,1906.6,2618.1,3131.1,4064.6,4416.9,4423.6,4514.3,3055.6,3275.6,4385.4,4532.3,4714.0,5670.5,5876.2,5722.2,5992.7,6074.9,6214.2,6316.8,6692.4,6685.1,6769.2,6646.0,6526.6,6483.2,6624.1,6576.6,6539.9,6546.2,6510.9,6527.3,6543.0,6543.6,6448.1,6180.0,6177.3,6205.4,6205.1,6043.4,6100.9,6213.0,6209.8,3700.0,2616.8,2801.7,2570.0,2518.0,873.8,3564.8,3535.3
189.0,4797.4,5237.9,4538.4,2966.4,2919.1,2120.3,1792.8,1730.6,1695.9,0.0,192.5,2161.3,3161.2,3081.6,3385.0,1030.1,1241.1,1952.6,2465.6,3399.1,3751.4,3758.1,3848.8,3962.8,4186.4,3720.0,3866.8,4048.5,5005.0,5210.7,5056.7,5327.2,5409.4,5548.7,5651.3,6026.9,6019.6,6103.7,5980.5,5861.1,5817.1,5817.8,6000.2,5958.6,5964.7,5911.1,5874.4,5880.7,5845.4,5861.8,5877.5,5878.1,5901.9,5782.6,5514.5,5511.8,5539.9,5539.6,5377.9,5435.4,5547.5,5544.3,5332.5,4944.6,5363.4,4709.3,4142.6,4484.9,4327.4,4095.8,4032.9,2132.6,4927.4,4898.0,4936.6,4797.4,4797.4,5237.9,4538.4,2919.1,2120.3,1792.8,1730.6,192.5,2161.3,3081.6,1241.1,1952.6,2465.6,3399.1,3751.4,3758.1,3848.8,3962.8,4186.4,3720.0,3866.8,4048.5,5005.0,5210.7,5056.7,5327.2,5409.4,5548.7,5651.3,6026.9,6019.6,6103.7,5980.5,5861.1,5817.8,5958.6,5911.1,5874.4,5880.7,5845.4,5861.8,5877.5,5878.1,5782.6,5514.5,5511.8,5539.9,5539.6,5377.9,5435.4,5547.5,5544.3,4709.3,4142.6,4327.4,4095.8,4032.9,2132.6,4927.4,4898.0
