Name,Longitude,Latitude,Daily_Pickup_Totes,Weekly_Dropoff_Totes,user_ratings_total,category,rating,weekly_high,weekly_low,best_weekly_estimate,Address,geometry,Adoption,Adoption Guess,Visited ,Influence,location_type,pickup_type,id
Moody Gardens,-94.8523,29.2736,0,0,,,,,,,,,,,,,depot,Truck,
,-94.85524271265918,29.267539716885995,1,0,,,,,,,,,,,,,outdoor,Truck,1020.0
Galveston Primetime,-94.8542107,29.2530127,2,2,1321.0,movie_theater,4.2,4200,600,4200,"8902 Seawall Boulevard, Galveston Movie theatre)",POINT (-94.8542107 29.2530127),Skeptical,Med,No,Low,indoor,Truck,
Dolphin World Inc No 2,-94.85317,29.25173,1,1,5.0,restaurant,2.0,210,30,210,"718 41st Str Galveston, TX 77550",POINT (-94.85317 29.25173),Skeptical,Med,No,Low,indoor,Truck,
Jimmy's Curbside Restaurant and Grocery,-94.8531793,29.2506985,2,1,8.0,restaurant,4.5,,,750,"9001 Seawall Boulevard, Galveston",POINT (-94.8531793 29.2506985),Curious,Med,No,Med,indoor,Truck,
SEA BEAN Coffee Cafe,-94.8532271,29.2506218,2,1,7.0,cafe,4.5,,,750,"9001 Seawall Blvd Galveston, TX 77551 (Jimmies)",POINT (-94.8532271 29.2506218),Skeptical,Med,No,High,indoor,Truck,
Seahorse Grill,-94.86803806,29.24448719,1,1,237.0,restaurant,4.5,105,15,105,"3802 Cove View Blvd Ste C Galveston, TX 77554",POINT (-94.868038059798 29.244487190776),Curious,Med,Yes,Low,indoor,Truck,
Seawall Coffee Company,-94.86782336,29.24463873,2,1,47.0,restaurant,4.5,1050,350,1050,,POINT (-94.8678233612548 29.244638725096),Curious,Med,Yes,Low,indoor,Truck,
,-94.86778062999728,29.243452340388263,1,0,,,,,,,,,,,,,outdoor,Truck,2024.0
Cooper's Landing,-94.8780445,29.2407199,1,1,219.0,restaurant,4.3,700,280,700,"11150 Termini-San Luis Pass Road, Galveston",POINT (-94.8780445 29.2407199),Skeptical,Med,No,Low,indoor,Truck,
Mario's Pizza,-94.9373606,29.2082758,1,1,219.0,restaurant,3.5,0,0,93.75,"13708 Termini-san Luis Pass Rd Galveston, TX 77554",POINT (-94.9373606 29.2082758),Skeptical,Med,Yes,Low,indoor,Truck,
,-94.93739816125932,29.2085240573132,1,0,,,,,,,,,,,,,outdoor,Truck,2026.0
Hummel's General Store & Deli,-94.9374899,29.20822,2,1,22.0,convenience store,4.5,700,100,700,,POINT (-94.9374899 29.20822),Skeptical,Med,No,Med,indoor,Truck,
,-94.94920025811072,29.200509132181256,1,0,,,,,,,,,,,,,outdoor,Truck,2025.0
,-94.95608616231785,29.196347559108165,1,0,,,,,,,,,,,,,outdoor,Truck,3034.0
Nate's Westend Seafood & Steaks,-94.9850694,29.1752194,1,1,1470.0,restaurant,4.0,,,93.75,"17515 Termini-San Luis Pass Road, Galveston",POINT (-94.9850694 29.1752194),Skeptical,Med,No,Low,indoor,Truck,
Galveston Food Truck Park,-95.0404814,29.1415146,1,1,6.0,food,5.0,,,0,"Nest to the Wet Whistle Bar in Sea Isle, 21510 Termini-San Luis Pass Road, Galveston",POINT (-95.0404814 29.1415146),Skeptical,Med,No,Low,indoor,Truck,
,-95.0468334206239,29.144976394730858,1,0,,,,,,,,,,,,,outdoor,Truck,2027.0
The Sandbar Grille,-95.0470522,29.1449775,1,1,292.0,bar,4.0,2000,1400,2000,"21706 Burnet Drive, Galveston",POINT (-95.0470522 29.1449775),Skeptical,Med,Yes,Med,indoor,Truck,
The West End Marina and Restaurants,-95.0470457,29.1449947,1,1,803.0,bar,4.1,300,150,300,"21706 Burnet Drive, Galveston",POINT (-95.0470457 29.1449947),Skeptical,Med,No,Med,indoor,Truck,
,-95.11776778416598,29.085700851392566,1,0,,,,,,,,,,,,,outdoor,Truck,2028.0
,-94.95403603262106,29.19352527673134,1,0,,,,,,,,,,,,,outdoor,Truck,3033.0
Waterman's Restaurant,-94.94924164,29.2073822,1,1,350.0,restaurant,3.0,,,93.75,"14302 Stewart Rd Galveston, TX 77554",POINT (-94.9492416381836 29.2073822021484),Skeptical,Med,Yes,Med,indoor,Truck,
,-94.9278228922708,29.210431153328607,1,0,,,,,,,,,,,,,outdoor,Truck,3032.0
,-94.89604294830498,29.2277225320811,1,0,,,,,,,,,,,,,outdoor,Truck,3031.0
,-94.87811761972976,29.23872499917516,1,0,,,,,,,,,,,,,outdoor,Truck,3030.0
,-94.8738468189325,29.2405914297026,1,0,,,,,,,,,,,,,outdoor,Truck,3025.0
,-94.86949678276189,29.26546777295611,1,0,,,,,,,,,,,,,outdoor,Truck,2022.0
Lil’ Buffalo Grille,-94.8706411,29.2610884,1,1,216.0,restaurant,4.8,350,35,350,"13 Evia Main, Galveston",POINT (-94.8706411 29.2610884),Curious,Med,No,Low,indoor,Truck,
Sugar Bean,-94.8704183,29.2610286,1,1,476.0,cafe,4.7,200,50,200,"11 Evia Main, Galveston",POINT (-94.8704183 29.2610286),Curious,High,No,High,indoor,Truck,
Tin Cup's Caddy Shack,-94.8556317,29.2539288,1,1,197.0,bar,4.6,,,140.625,"9020 Stewart Road, Galveston",POINT (-94.8556317 29.2539288),Skeptical,Med,No,Low,indoor,Truck,
,-94.8585634701748,29.25802666551796,1,0,,,,,,,,,,,,,outdoor,Truck,2023.0
Sapori,-94.8412938,29.2592634,1,1,365.0,restaurant,4.5,0,0,93.75,"7611 Stewart Road, Galveston",POINT (-94.8412938 29.2592634),Curious,High,Yes,Low,indoor,Truck,
Gino's Italian Restaurant and Pizzeria,-94.832217,29.2753139,1,1,1056.0,restaurant,4.3,35,5,35,"6124 Stewart Road, Galveston",POINT (-94.832217 29.2753139),Skeptical,Med,Yes,Low,indoor,Truck,
Cajun Greek,-94.8316408,29.2769392,1,1,999.0,restaurant,4.0,50,25,50,"2226 61st St Galveston, TX 77551",POINT (-94.8316408 29.2769392),Curious,High,Yes,Med,indoor,Truck,
Mario's Ristorante,-94.8315,29.27708,1,1,215.0,restaurant,3.5,210,175,210,"2202 61st St Galveston, TX 77551",POINT (-94.8315 29.27708),skeptical,Med,Yes,Med,indoor,Truck,
Yamato,-94.8316258,29.2780918,1,1,936.0,restaurant,4.4,,,93.75,"2104 61st Street, Galveston",POINT (-94.8316258 29.2780918),Skeptical,Med,Yes,Low,indoor,Truck,
Hooters,-94.83244,29.2797,1,1,175.0,restaurant,2.0,280,40,280,"6028 Heards Ln Galveston, TX 77551",POINT (-94.83244 29.2797),Skeptical,Med,No,Low,indoor,Truck,
,-94.83901023515826,29.29108366340304,1,0,,,,,,,,,,,,,outdoor,Truck,1018.0
,-94.83971047446586,29.29032253864521,1,0,,,,,,,,,,,,,outdoor,Truck,2017.0
Bronco Burritos,-94.82237832,29.29176564,1,1,289.0,restaurant,4.5,7000,1000,7000,"4917 Broadway St Galveston, TX 77551",POINT (-94.822378320166 29.2917656429058),Skeptical,Med,No,Med,indoor,Truck,
Koop's BBQ Kitchen,-94.8173499,29.2931568,2,1,211.0,restaurant,4.8,0,0,750,"4501 Broadway Avenue J, Galveston",POINT (-94.8173499 29.2931568),Skeptical,Med,Yes,Low,indoor,Truck,
Rail Road Museum,-94.8091242,29.2983795,1,1,408.0,restaurant,4.6,400,100,400,"2602 Santa Fe Pl, Galveston",POINT (-94.8091242 29.2983795),Curious,med,Yes,Low,indoor,Truck,
,-94.79578217640906,29.30090513320724,1,0,,,,,,,,,,,,,outdoor,Bike,1007.0
