id,name,categories,longitude,latitude,display_address
ChIJscm5wLZhUXkRJq6EPCZ7Wz4,Hawaiʻi Volcanoes National Park,"national_park, tourist_attraction, park, point_of_interest, establishment",-155.4661859,19.496366899999998,"Hawaii Volcanoes National Park, HI 96718, USA"
ChIJx9lxWmPBU3kRPeD698ZPqcU,Kīpuka ‘Āinahou Nene Sanctuary,"park, point_of_interest, establishment",-155.4155542,19.6009135,"Hawaii, USA"
ChIJZ9wCr6TCU3kRWJzawJJhYVQ,Pu'u 'Ula'ula (Red Hill) cabin,"lodging, point_of_interest, establishment",-155.4644229,19.5302491,"Volcano, HI 96785, USA"
ChIJK2uDtVPvU3kRSrYYmUeLu30,Mauna Loa Observatory Trailhead,"hiking_area, park, point_of_interest, establishment",-155.57540849999998,19.5380996,"Hawaii, USA"
ChIJP94VPFOUU3kRtzH7Y3mRTIQ,Gilbert Kahele Recreation Area,"park, tourist_attraction, point_of_interest, establishment",-155.526556,19.7490924,"44-5400 Daniel K. Inouye Hwy, Waimea, HI 96743, USA"
ChIJ69yGVgbAU3kRdBhlHbsixhc,Pu'u Huluhulu Cinder cone parking lot,"parking, point_of_interest, establishment",-155.4666857,19.6885749,"Island of, HI, USA"
ChIJXbFhVfm9U3kRry-VIM2HKVg,Mauna Kea Ice Age Natural Area Reserve,"national_park, tourist_attraction, park, point_of_interest, establishment",-155.4748835,19.7915039,"Mauna Kea Humu'ula Trail, Hawaii, USA"
ChIJs9E_Al6_U3kRA-AmhHn4y0A,Mauna Kea Humu'ula Trailhead,"hiking_area, park, point_of_interest, establishment",-155.45645589999998,19.7621423,"Mauna Kea Humu'ula Trail, Hawaii, USA"
ChIJLVdCujfHU3kR0QAEKLTJ8XA,Kaulana Manu Nature Trail,"hiking_area, park, point_of_interest, establishment",-155.3662229,19.670442599999998,"State Rte 200, Hilo, HI 96720, USA"
ChIJgTPcravAU3kRF1wdcVy3ILo,Pu'u O'o Trail,"hiking_area, tourist_attraction, park, point_of_interest, establishment",-155.3843164,19.6769922,"Island of, Hilo, HI 96720, USA"
ChIJu5M2NRW-U3kRkHM2H-aGWXY,Mauna Kea State Park - Halepōhaku Area,"park, tourist_attraction, point_of_interest, establishment",-155.4512349,19.7585035,"75 Aupuni St, Hilo, HI 96720, USA"
ChIJ60hzYwbAU3kRGrsmwf6bO60,Pu'u Huluhulu,"hiking_area, park, point_of_interest, establishment",-155.46701099999999,19.6874787,"State Rte 200, Hilo, HI, USA"
ChIJ0WOCRBq_U3kR_htLBTxFTw0,Pu'u Kalepeamoa,"park, point_of_interest, establishment",-155.4588554,19.7538964,"Hawaii, USA"
ChIJofnPHA24U3kR7XsXw2HV1o4,Pu'u O'o Trailhead,"park, point_of_interest, establishment",-155.3842874,19.677072799999998,"State Rte 200, Hilo, HI 96720, USA"
ChIJE_u3hEm_U3kR2PyGMdCwww4,Parking spaces for commercial tours,"parking, point_of_interest, establishment",-155.4561953,19.7577183,"Island of Hawai'i, Hawaii, USA"
ChIJqSoDXFSUU3kRWm2Aa9_wjm8,Hwy 200 @ Gilbert Kahele Recreation Park (at flag poles),"bus_stop, transit_station, point_of_interest, establishment",-155.526611,19.749,"Hawaii 96743, USA"
ChIJX55LcwCVU3kRQnM_cyOlw_Y,Ka'ena Point Natural Area Reserve,"hiking_area, park, point_of_interest, establishment",-155.5234855,19.7283057,"Kaena Trail, Waimea, HI 96743, USA"
