Sr.,Latitude,Longitude
0,19.420495,-154.963506
1,19.431946,-154.992803
2,19.485038,-155.079802
3,19.478791,-155.057941
4,19.485484,-155.062849
5,19.489053,-155.063741
6,19.492622,-155.061659
7,19.492176,-155.056454
8,19.521919,-155.135719
9,19.537088,-154.971983
10,19.58899,-155.055413
11,19.609067,-155.023141
12,19.607134,-155.01868
13,19.600293,-155.017936
14,19.601631,-155.023141
15,19.604457,-155.024777
16,19.607728,-155.036972
17,19.611446,-155.036972
18,19.620221,-155.038756
19,19.625277,-155.0453
20,19.6284,-155.04649
21,19.628549,-155.041285
22,19.662456,-155.073705
23,19.66971,-155.021219
24,19.677891,-155.077074
25,19.669027,-155.068925
26,19.674738,-155.082369
27,19.688749,-155.089124
28,19.689796,-155.087935
29,19.689843,-155.078227
30,19.686929,-155.063044
31,19.686691,-155.061616
32,19.688381,-155.06214
33,19.692593,-155.061997
34,19.68662,-155.057643
35,19.687477,-155.058832
36,19.688191,-155.057881
37,19.688,-155.057333
38,19.68712,-155.056857
39,19.689071,-155.057857
40,19.692973,-155.06076
41,19.69383,-155.061664
42,19.694044,-155.060212
43,19.692902,-155.058975
44,19.693045,-155.0575
45,19.693758,-155.058832
46,19.695043,-155.05907
47,19.697566,-155.060165
48,19.697637,-155.059427
49,19.699303,-155.05938
50,19.700778,-155.058404
51,19.700421,-155.056191
52,19.697946,-155.056905
53,19.698327,-155.057571
54,19.699755,-155.058166
55,19.699088,-155.056524
56,19.698279,-155.056667
57,19.697827,-155.055335
58,19.698993,-155.055287
59,19.697494,-155.053954
60,19.692688,-155.052384
61,19.693687,-155.05286
62,19.700825,-155.044508
63,19.701301,-155.045484
64,19.700564,-155.046364
65,19.702539,-155.04634
66,19.711319,-155.036108
67,19.711533,-155.034895
68,19.736613,-155.005907
69,19.735137,-155.005526
70,19.738397,-155.010927
71,19.735756,-155.011427
72,19.735732,-155.012403
73,19.739682,-155.037613
74,19.73233,-155.043038
75,19.73183,-155.044323
76,19.731366,-155.044145
77,19.728368,-155.065524
78,19.72744,-155.065203
79,19.726583,-155.066202
80,19.725869,-155.06688
81,19.724656,-155.066416
82,19.725013,-155.064168
83,19.711414,-155.069058
84,19.713163,-155.068023
85,19.713163,-155.069236
86,19.717589,-155.071735
87,19.716696,-155.071556
88,19.715804,-155.072341
89,19.71791,-155.075518
90,19.717839,-155.076731
91,19.71791,-155.079622
92,19.709772,-155.084405
93,19.708594,-155.08312
94,19.710308,-155.082692
95,19.715019,-155.082371
96,19.717803,-155.081978
97,19.716946,-155.075411
98,19.718909,-155.077588
99,19.707274,-155.077481
100,19.70656,-155.077624
101,19.705275,-155.078516
102,19.710772,-155.075518
103,19.711593,-155.075268
104,19.709772,-155.074947
105,19.710415,-155.074162
106,19.7117,-155.072912
107,19.701706,-155.071199
108,19.702491,-155.068558
109,19.692569,-155.070771
110,19.693354,-155.071306
111,19.693283,-155.073162
112,19.700635,-155.073483
113,19.698422,-155.075447
114,19.697459,-155.074483
115,19.700207,-155.072484
116,19.700742,-155.071556
117,19.702491,-155.083905
118,19.705703,-155.091044
119,19.706596,-155.089616
120,19.704526,-155.08851
121,19.704097,-155.089973
122,19.704704,-155.092043
123,19.698137,-155.086618
124,19.699029,-155.08619
125,19.700064,-155.085333
126,19.697851,-155.085583
127,19.697494,-155.084905
128,19.697066,-155.084191
129,19.696352,-155.083549
130,19.697066,-155.082514
131,19.699886,-155.082406
132,19.699921,-155.083513
133,19.698601,-155.084619
134,19.697851,-155.084191
135,19.698458,-155.083549
136,19.698279,-155.082371
137,19.715471,-155.098182
138,19.722012,-155.116889
139,19.720405,-155.116639
140,19.719121,-155.10272
141,19.718978,-155.089192
142,19.719727,-155.088443
143,19.720727,-155.087015
144,19.72169,-155.085373
145,19.721619,-155.090763
146,19.721476,-155.080698
147,19.722119,-155.082839
148,19.72194,-155.084374
149,19.722761,-155.086016
150,19.722583,-155.086837
151,19.722868,-155.088407
152,19.724224,-155.088264
153,19.723225,-155.084909
154,19.723903,-155.08548
155,19.723511,-155.086408
156,19.725295,-155.085695
157,19.725795,-155.08623
158,19.726366,-155.086444
159,19.725795,-155.087658
160,19.726616,-155.085659
161,19.725688,-155.085123
162,19.725545,-155.083589
163,19.725188,-155.082768
164,19.724581,-155.083232
165,19.725117,-155.084267
166,19.724867,-155.084695
167,19.724367,-155.083839
168,19.723868,-155.083589
169,19.723939,-155.082804
170,19.722725,-155.08184
171,19.724653,-155.090798
172,19.723118,-155.099614
173,19.722476,-155.098936
174,19.727794,-155.091691
175,19.728686,-155.091726
176,19.727829,-155.090549
177,19.726437,-155.092012
178,19.72683,-155.090335
179,19.745162,-155.112907
180,19.755423,-155.091105
181,19.779813,-155.08706
182,19.776065,-155.088547
183,19.787308,-155.092295
184,19.789687,-155.092295
185,19.789925,-155.095329
186,19.781359,-155.092116
187,19.977367,-155.219061
188,19.983851,-155.231434
189,19.853082,-155.150515
